zachary захарий
kubrat кубрат
keep пазят
grape грозде
french френските
districts околиите
jewish еврейска
said казва
birth раждане
napoleon наполеон
tribe племе
persons фигури
report отчита
muscles мускулатурата
know познава
petrov петров
stoyanov стоянов
huge огромния
russians руснаците
produce произвеждат
stage етап
europeans европейци
strike удар
exact конкретни
elite елит
criticized критикува
predominantly преобладаващо
along редом
supplying подаване
fk фк
slavonic славянската
related свързан
areas местности
parties партията
transfers пренася
emperor императора
gogh гог
chicago чикаго
neighbourhood махала
antony антоний
built изградено
convinced убеден
partly отчасти
vanquish подчинява
instruments инструменти
arteries артериите
chapel параклис
success успех
protection опазването
collected събрани
taken взети
treasure съкровище
doubt съмнение
deviate отстъпят
criticism критика
rotation завъртане
hires наема
folk фолк
rivers реките
dependence зависимост
herbology хебраистика
doctrine доктрина
men мъжете
technology технологията
building гради
needs нуждите
adriatic адриатическо
david давид
resistance отпор
heirs наследници
diana диана
santa санта
clothing облекло
bones кости
typical типичната
present присъства
horse конна
barrage бараж
diseases болести
prophets пророците
romans римляните
started започнало
defenders защитниците
tree дърво
pastures пасища
electric електрическия
knowledge познанието
restored възстановена
his неговото
galaxies галактиките
stages етапи
destructions разрушения
hot горещи
somewhat донякъде
titles титли
italy италия
minute минута
organs органи
search търсят
establishing установяването
algeria алжир
balance баланс
long дълъг
trace следа
contains състои
liver дроб
back отпреди
car кола
buy купи
valencia валенсия
illuminati илюминати
weaved тъкани
conflict противоречие
descriptions описания
f ф
coastal крайбрежните
containing съдържащ
palestine палестина
gandalf гандалф
woods горите
trade търговия
gray сивите
nativity рождество
titan титан
reject отхвърлят
went заминава
led водени
will волята
study изучава
roads пътища
occurs възниква
walk разходка
bob боб
contemporary съвременния
large дебелото
countries държавите
migration миграция
vagina вагината
makes карат
unknown неизвестен
flow поток
very самото
from от
closer приближава
which което
merger сливането
hoffmann хофман
services услуги
doorstep прага
earth земни
forced принуден
allegations твърденията
covers покриват
needed необходим
actions действия
karlovo карлово
soldiers армейците
wall стената
spirits настроения
atomic атомен
el ил
federal федерално
committee комитети
tolerance толерантност
central централно
war война
mihail михаил
trojans троянците
no няма
preferred предпочита
roads пътищата
groove бразда
mccarty маккарти
follow следват
bosphorus босфора
definition определението
apparently видимо
differentiate обособяват
typical типично
ribbon лентата
world световен
mild меки
intestine черво
their техният
river река
herbs билки
comparison сравнение
assen асен
without без
leonardo леонардо
quiet квиет
located намиращ
frenchmen французите
profess изповядва
success успеха
student студентски
brown браун
macedonia македония
vary варират
give предоставя
given дял
stretch простират
investments инвестиции
chamber камера
circle кръговрат
originates произхожда
gaul галия
support подкрепата
families семейства
results резултати
waterfall водопад
submission подаване
especially особено
bat прилепчета
according според
classification степента
land земите
conclude сключват
rila рилска
obtained получени
sept септ
government правителството
name роман
lev лева
saint светец
plamen пламен
act постъпва
pavlovich павлович
half пола
bodies телата
anna анна
compile съставят
severe тежък
albums албуми
motion интерпретация
back обратната
latin латиницата
abandon напусне
cleopatra клеопатра
duke херцог
workers работниците
discover откриват
pacific тихия
emperor василевс
government правителствените
balkan балканските
offensive офанзива
excavations разкопки
marcus марк
tv телевизионни
industry индустрията
vocabulary лексика
record рекорд
animal животно
marine пехота
urban градската
completed завършена
youth младежки
carme карме
pressure налягане
thracian тракийска
contract договорът
eduard едуард
and и
infantry пехота
lady лейди
passage поречието
pine бор
its си
authority авторитета
general обща
popularity популярността
europa европа
turkish турска
maternal майчин
ability способност
translation превод
early ранен
started породени
dead мъртва
phones телефони
bulgarian българските
co-emperor съимператор
beginning начало
posed породени
sent изпратени
architectural архитектурен
ban забрана
flow вливат
print печата
property имущество
one един
statements изказвания
pleven плевен
parliament парламент
denies отрича
large мащабни
revival възраждането
behavior поведението
christian християнска
separated отделена
image образът
kamen камен
destination дестинация
substances вещества
international международните
arena арена
based основан
steel железни
lower долния
quarter четвърт
bases бази
established създадената
snowy снежна
happened случило
criticism критики
producers производители
devices уреди
has оказват
features черти
field терен
liquid течност
wood дървен
senate сенатът
america америка
trading търговски
that че
hektor хектор
snakes змии
paulo пауло
city градски
summer лято
give дават
concentrate концентрира
maya маите
gdp бвп
commands заповядва
macedonians македонците
module модул
hemingway хемингуей
today днешния
withdraws оттегля
became превърнал
work работно
era епохи
robert робърт
small малките
natural природно
honour честа
continue продължи
zagora загора
poor лошото
born родени
declination деклинация
bearer носители
consequences последствията
traditions традиции
piece парче
expression изразяване
long далечни
near близко
gamelan гамелан
program програма
brussels брюксел
dubrovnik дубровник
carefully внимателно
om ом
forth четвърто
solar слънчевият
sport спортни
african африканските
term термина
kingdoms кралства
nose носа
formed формира
love любов
predecessor предшественик
consecutive последователи
as какъвто
gauda гауда
common общи
republics републики
travel пътува
tubes тръби
attract привличат
emission излъчването
understanding разбирания
background фона
self-government самоуправление
supremacy надмощие
cloud облак
sea морското
lists списъци
work работна
promote насърчава
converts преобразува
confirmed потвърждава
dozens десетки
cluster рой
error грешката
judicial съдебната
ace ас
by посредством
godly божия
villages селата
memoirs мемоари
modern модерна
nations нации
choreography хореография
right право
lisbon лисабон
park парк
replaced заменена
invasion нахлуване
fight борят
large голямо
studio студиен
transfers прехвърля
wooden дървен
present днешен
portuguese португалците
final финала
strike стачка
himself самият
radev радев
six шестте
announcement обявяването
russian руската
fund фонд
personal лични
mladenov младенов
have притежават
term срок
william уилям
master майстор
christopher христофор
city градско
meet отговаря
who който
leave напуснат
achieve постигне
one едното
fiction художествената
area площ
confidence доверие
appearance поглед
process обработва
prc кндр
es ес
main основния
justinian юстиниан
indians индианците
said казано
marinov маринов
serves връчва
southern южен
german германско
tongue езикът
position позиции
defense защита
number брой
introduced въведена
conclude сключва
close близко
children детски
script писменост
concerns отнася
subject подчинени
teodor теодор
sun слънце
has разполага
types типове
chronicles хроники
initial първоначалната
contradiction противоречие
largest големият
stages етапа
falcon сокол
muscles мускули
greek гръцката
which коя
yield отстъпват
cauchy къщи
contributes допринася
prove доказват
yearly годишни
indeed действително
signs знаци
chess шах
hits хитове
honorable почетен
islam ислям
winds ветрове
settlements селища
aegean егейско
middle близкия
ruling управляващите
region крайна
soldiers войници
new нови
respiration дишане
cause пораждат
minh мин
happens оказва
tales предания
buses автобуси
back връщат
apostle апостол
elderly възрастни
varna варненска
reds армейците
advertisements реклами
request искане
le льо
survivors оцелели
bearers носители
plays пиеси
have наложи
said твърди
british британския
dupnitsa дупница
enter постъпва
cells клетки
tv телевизионните
writing писането
firm фирмата
which който
what какви
subject предмет
leukocytes левкоцитите
continent континента
xx хх
presents отразява
leaders водачите
creativity творчеството
line линията
equal равен
camellia камелия
democracy демокрацията
evaluation оценки
grave гроб
united единно
society обществото
existed съществувал
rule длъжността
streaming поточно
inside вътре
estimates оценки
animals животни
hephaestus хефест
week слаби
islam исляма
alternative алтернативни
authorities власти
magellan магелан
many множеството
drawings рисунки
state държавност
houses къщите
completion завършване
slate шисти
new ново
peter питър
portuguese португалски
cars автомобилите
lake езерото
bladder мехур
home дома
considerable значителен
difficult трудни
berlin берлинския
province провинция
peninsula полуострова
codes кодове
substance субстанция
definition дефиниция
scientists учените
girls девойки
ancestor предшественик
formally тържествено
specimen образец
race рода
building изгражда
cd диска
engineering машиностроене
career кариера
mountains горите
exit изход
mixed смесени
ores руди
another другият
tomb гробницата
impossible невъзможна
istanbul цариград
high висш
arabs араби
announcement съобщения
minimum минимум
neighboring съседните
eclogues буколики
rumelia румелия
rings пръстените
what какво
communism комунизма
guidance ръководството
rumen търбух
late късната
cooperate сътрудничи
natural естествения
burton бъртън
spin въртене
her й
native родом
red червен
picture картината
description описание
separately отделно
literary книжовен
composer композитори
understandings схващания
inherited наследен
coaches треньори
circulation обръщение
respect отношение
indicator показател
accuracy точност
must трябва
style стил
discovered разкрити
distances разстояния
natural природни
consist състоят
maintenance поддръжката
assemblies събрания
agriculture земеделие
improve подобрява
prince княза
develop разработват
serial пореден
unique уникален
detachment отряд
winter зимните
regional регионална
supplies снабдява
library библиотеката
hellene елин
milano милано
is изнася
book книгата
close близки
married омъжена
telephones телефони
exchange обмен
started започнал
fossil изкопаеми
passage пътека
heads ръководители
always винаги
attacks пристъпи
fascist фашистка
david дейвид
angles ъглите
electrical електротехника
rent наем
spoke спица
taken взето
back обратно
reef рифове
then тогавашния
european европейско
blockade блокада
discovery откритието
princess княгиня
foreigners чужденци
painting живопис
establish поставят
winter зимата
runway писта
miracles чудеса
following следните
recovered възстановен
hollow куха
case кутия
remove премахнат
writing писанието
accused обвинен
seul сеул
science научно
truce примирието
acquires придобива
significant значителна
born родена
gradually постепенното
chosen избрана
abdomen корем
employed заето
plants растения
southern южното
left лява
paraguay парагвай
mix смесват
authority авторитет
niger нигер
saturday събота
structure устройството
peaceful мирното
constructed изградено
bow лък
financial финансов
information информация
trips пътувания
actresses актриси
characters герои
academy академията
upper горен
definitions определения
undergoes търпи
panama панама
monetary валутен
prepare подготовка
dear скъпи
high високи
location разположението
i.e. тоест
federal федерална
mary мария
material материални
ows дължи
pernik перник
apostle апостола
comments коментари
occurrence настъпването
synthesize синтезира
years години
storm бури
europe европа
american американските
park пък
strait пролив
suburb предградията
fondation изграждането
communication комуникация
children детска
current ток
considered считан
metallica металика
la ла
expressly изрично
illness болестта
word дума
company дружеството
huge огромното
hamilton хамилтън
adults възрастни
liberty свобода
proportion съотношение
proposal предложението
jordan йордания
comintern коминтерна
twenty двадесет
earlier ранната
author писател
herodotus херодот
rise покачване
armed въоръжени
atlantic атлантическият
industry промишлеността
large голям
effendi ефенди
what каква
captain капитан
lasts трае
water воден
adopt приемат
canal канал
through по
format формат
license лиценз
species вида
lazar лазар
auricle предсърдие
buildings обекти
manhattan манхатън
get стигне
flowers цветя
great голямо
source източника
riches богатство
acquaintances познати
reign царуването
weaponry въоръжение
again отново
state държавата
stations гари
team отряд
modern модерни
citizen гражданин
arrive пристигат
present представят
new нова
approach подход
improved подобряване
gives дава
insurance осигуряване
insufficient недостатъчно
islands островите
married женен
prophet пророк
zimbabwe зимбабве
soldier воин
among измежду
crisis криза
unsuccessful неуспешни
sequence поредицата
count преброяване
reparations репарациите
hotels хотели
liverpool ливърпул
effective ефективно
future бъдеще
heat топлина
spent прекарват
women жената
mayor кмет
northeast североизток
such такова
math математическа
rainfall валежите
insects насекоми
manage успява
marking отбелязване
trade търговска
construction изграждането
caribbean карибско
own своята
unknown непознати
symbol символът
input вход
take вземе
arabs арабите
socialism социализма
formation формиране
preparation препарат
first първоначалното
evaluation оценка
duration продължителността
left ляво
one единият
sculptor скулптор
german германски
saints светци
treatment лечението
outlines очертава
culture културата
comply спазват
marine морски
its свое
army армия
communists комунистите
scandals скандали
pfk пфк
genetic генетични
eastern източното
bilbo билбо
adopted приета
promises обещава
some някой
are стават
science науката
castle дворец
distant далечни
occupations занимания
insisting настояване
distribution разпространение
poorly зле
covering обхващащ
serafim серафим
kuwait кувейт
appear появи
salts соли
transmit предаде
medicine лекарство
short кратко
matter материя
river речните
byzantine византия
be бъде
inscription надпис
reproductive половата
start тръгват
is се
diameter диаметърът
currency валута
mean означават
back завръща
income доходи
process процеса
planes самолета
complicated комплексът
northwest северозападна
pearl седеф
effect действието
herman херман
tryavna трявна
preparation подготовка
options варианти
weapon оръжие
bolshevik болшевишката
controversial спорен
hypothesis хипотезата
cuisine кухня
members членовете
year целогодишно
seed семена
degrees степени
rules правила
land земя
idea идеята
lungs дробове
build построява
isotope изотоп
khan хан
common обща
precipitation утаяване
function предназначение
some някои
despite въпреки
transient преходен
constitutional конституционна
sends изпращат
participants участници
kim ким
tournament турнир
stored съхранени
track следите
plovdiv пловдив
ludvig лудвиг
symbols символи
corruption корупция
modernization модернизация
covering обхващащо
mixed смесена
georgian грузинци
respect спазват
killed загиват
set поставени
expressed изразен
making направата
names названия
european европейски
iceberg айсберг
traiana траяна
exclusively изключително
swine свине
muslim мюсюлмански
could могли
led довело
throne трона
construction строеж
mate мат
oak дъб
uneven неравномерно
have имат
impregnated оплождане
archaeological археологическите
poles поляци
satellites спътници
saviour спасител
king кинг
major главна
resemble наподобяват
employed заети
considered считат
prefecture префектура
rail железопътната
administrative административен
bulgarian българско
literature литературни
future бъдещи
gates гейтс
locomotive локомотив
makes прави
influences въздействия
russian руска
needful нужни
realistically погледнато
presents връчва
quickly бързо
collection сбирка
legislation законодателство
uniting присъединяване
emperors императори
thracians траки
anus ануса
appear появяват
gerb герб
connect свърже
teams отборите
occupancy владение
rich богатите
schools школи
ulfilas вулфила
natural природна
models образци
disappointment разочарование
pseudonym псевдонима
babylon вавилон
lying лежи
kingdom карлово
gods богове
second вторични
coordinates координати
portuguese португалския
rise издигат
them тях
weaponry оръжия
occasion повод
ruse русе
graphite графит
greeted посреща
case съдебна
museums музеи
communications комуникации
claims претенции
establish формиране
reception прием
estimated възлиза
lot лот
brad брад
long дългите
varna варненско
saddam саддам
months месеци
construction строителна
actual същинската
verification проверка
captain военачалник
shown доказано
continuation продължение
brain мозък
luther лутер
building строят
you ти
central централна
social обществения
model модела
some някое
defense отбранителни
emperors императорите
building строеж
called наречените
regional регионални
functions функциите
assessment оценка
clay глинени
opposite обратна
abilities способности
slavery робство
third третият
ottomans османците
uranium уран
a а
orthodox православното
know знае
divided разделено
spirit дух
conquer завземат
movie филм
chain веригата
resources препратки
believed вярвали
sophia софия
objects обекти
thracian тракийско
thessaloniki солун
male мъжката
road шосе
funds фондове
avoid избегне
vampire вампир
results резултатите
understood разбира
load заряд
personal личния
side страна
houston хюстън
mila мила
bull бул
too твърде
conquered завладян
drastically драстично
officials чиновници
school школата
power сила
nature характера
european европейските
take взема
paris париж
or или
gnu гну
pi π
sanctuary светилище
enter влизат
high висока
cana кана
ends крайните
separate отделена
creates създава
sycamore чинар
pleasure удоволствие
outgrowth филиз
side странични
electrons електроните
gravity гравитация
solutions разтвори
documents документите
britain британия
conversion покръстването
church църковното
knowledge познание
airports летища
it същият
tasos тасос
ends завръща
preserved съхранени
black черен
with са
astronomer астроном
population популацията
fast пост
arrow стрела
passes преминава
municipality областта
appear явяват
writer писателя
caves пещери
end края
tour турнета
users потребители
transitional преходен
relative относителната
remove отстранява
group група
sozopol созопол
chosen избран
approved одобрен
eventually евентуално
actions действията
metabolism метаболизъм
excessive прекалено
slovenian славянските
moon лунните
become станали
present сегашния
outside отвън
parallel успоредно
murals стенописи
sciurus катерици
eastern източно
prosecution преследване
fans феновете
alongside успоредно
vidin видинското
three трима
context контекста
penetrates прониква
ended прекъсва
recorded записан
coup преврат
land сушата
ruling управляващата
suitable подходяща
type видът
short кратки
aimed насочена
similarity подобие
known известен
vaz ваз
metal метални
protect запази
article статията
called наречен
prove докаже
castles крепостните
makers дейци
ingredients съставки
southwest югозападна
statue статуя
typical типичен
site сайта
watch часовници
her нейни
iron железни
occupation владение
successive следващият
moment момента
atomic атомно
unemployment безработица
railroads линии
agriculture стопанство
lovech ловеч
asks моли
family семейството
fame славата
analysis ана
legend легенда
falls изпада
spanish испанската
layers пластове
central централен
hinata хинаяна
proves доказва
buddhism будизма
has оказва
districts области
clip клип
holy светоний
rhythm ритъм
caspian каспийско
post пощенски
necessity нужда
feature свойство
transistors транзистори
pasi паси
isac исак
predecessors предшественици
boy момчето
protests протести
powerful силния
show сочат
honor чест
uzbekistan узбекистан
own себе
king цар
charlie чарли
studio студио
publishing публикува
parents родители
beaten бит
terrain терена
diameter диаметър
automotive тата
short къса
amounts възлиза
veselin веселин
functioning функциониране
sherpa шерпа
vampires вампирите
released освобождава
roman римската
room помещение
fast бързи
preserve запазят
gypsies цигани
leading водещите
unfortunately съжаление
colonies колонии
week седмицата
nets мрежи
german германска
castles крепости
areas територии
service служба
locality местност
exposure експозицията
itself самия
built построена
goalkeeper вратар
remains останките
retreat отстъпва
economic икономическо
sage салвия
elementary началното
capitulation капитулацията
want иска
crusade кръстоносен
you теб
combine комбинат
constitute съставляват
threat заплаха
palace дворец
own своя
musculature мускулатурата
pressure налягането
agree съгласни
tick кърлеж
as както
questions въпросите
foundation фондация
accurate точни
sergey сергей
distinguish разграничава
sort род
latitude ширина
off бреговете
joseph джоузеф
areas районите
happens случва
feelings чувства
top връх
was беше
so така
larger едър
ways начини
population населението
nationals национални
corresponds съответства
turns завива
curds извара
recalled напомня
officer офицер
numbers наброява
division разпределение
working работещи
contamination заразяване
statistic статистически
take вземат
plan плана
name дейвид
villa вила
intensive интензивни
soils почви
latin латинското
actively активно
experiences преживявания
beautiful красивата
artificial изкуствени
agricultural селскостопански
science научна
length дължината
mite кърлеж
bloc блок
firms фирми
dutch холандски
sokolov соколов
maintenance поддържане
therefore следователно
layers слоя
livestock добитък
specified определена
angel ангел
munich мюнхен
wedding сватбата
atomic атомни
departments отдели
technology техника
sky небето
lions лъва
slows забавя
calculations изчисления
relates отнася
secular светски
modern модерните
twelve дванадесет
elevated издигнат
issue издават
gorki горки
introduced въведен
close приближава
organized организира
conflict конфликтът
soluble разтворими
protect защитават
kind род
fourth четвъртото
folk народни
luca лъка
signs признаци
dps дпс
which чийто
thick плътен
lies крие
back обратна
greek гръцко
wanted искал
generate генерира
blood кръвта
clean чист
built построени
danger опасност
sofia софия
role ролята
beautiful красива
violent насилствено
lines линиите
case падеж
interesting интересни
removes премахва
called нарича
two двата
park парка
problems проблемите
museum музей
lincoln линкълн
invade завземат
denied отказват
european европейска
title надпис
takes заема
remain остане
merger сливане
child дете
slaughter клането
eastern източни
kolev колев
observations наблюденията
royal кралската
their тяхно
gross брутният
players участници
radiation излъчване
crassus крас
reverse обратната
part компонент
existence съществуване
service обслужване
gaga гага
darwin дарвин
rome рим
canopus канопус
released пуска
core ядрото
flows потоци
seven седем
hard твърд
square кв
habana хавана
night вечер
continued продължило
team отбора
initial първоначалните
casandra касандра
average средните
countryside провинцията
wales уелс
purely чисто
become станала
aton атон
summer летния
operas опери
vardar вардар
style стила
growth ръст
vital жизнен
loss загубата
damage увреждане
help помощ
mainly главно
macedonian македонския
preserve съхранява
bulgarian български
ghosts духове
negative отрицателни
temperate умерен
differentiated обособена
position позиция
iron метъл
power могъщество
ecstasy екстази
fifth петата
said каже
byzantium византия
industry промишленост
civilian граждански
sri шри
kills убиват
feast празника
diodorus диодор
dishes съдовете
discovers открития
attribute приписват
i аз
reduced намалява
shore брега
rain вали
rhenium рений
california калифорния
support подкрепят
accept приел
level нивото
su су
congregation събор
visited посещава
engines двигатели
diabetes диабет
message изказване
arise стават
out изложени
response отговори
protocol протокол
todor тодор
him му
discussions дискусии
dead починали
island остров
governor управител
base настилка
outskirts покрайнини
autonomous автономни
monday понеделник
listed изброени
city шумен
order орден
pedagogy педагогика
spring пролет
heart сърдечната
name карме
set набор
limit ограничи
open открита
short кратка
budget бюджет
creation създаването
shows личи
hisar хисаря
vintage реколта
import внос
course течения
solution разтвор
growth растежът
kana кана
development разрастване
her нейна
presented представен
fc фк
funes фюнес
dimitrova димитрова
reward наградата
henrik хайнрих
present настоящият
processors процесорите
lada лада
vihren вихрен
questionable спорни
form сформира
works творбите
convicted осъден
radiation лъчи
john йоан
renaissance ренесанс
gathering събирането
enlightenment просветление
demonstrate демонстрира
musical музикален
stefano стефано
next следващия
newspaper вестник
scotland шотландия
same същи
reforms реформите
there съществуват
ads реклами
keeps настоява
odesa одеса
court съдебни
wood дървесина
maks макс
