mainly galvenokārt
placing izvietojums
oral mutes
other otru
differently atšķirīgi
lose zaudēt
founded nodibināja
more pilnu
obtain nokļūt
shape figūras
television televīzijas
rate likmes
felt sajūta
the noteiktās
comes nāk
executive izpildvaru
german ģermāņu
fee maksa
museums muzeji
depicted attēloja
policy politikai
rome romu
implemented īstenoja
gregarious bara
flag karogi
is lr
improve uzlabotu
frost sāls
hand roku
bridge placdarms
liquid šķīdums
primus pirmos
stretching stiepjas
millions miljoni
short tuvajiem
area telpās
conflicts konfliktus
distribute izplatīt
joseph jozefa
equal vienlīdzību
titanium titāns
president priekšsēdētāja
quantity daudzumu
himalayan himalaju
suddenly pēkšņi
perform pilda
not nepieder
go dodas
structure struktūru
time brīža
stone akmeni
water ūdeņi
events notikumu
currents straumju
population populācijas
year gadā
lifestyle dzīvesveidu
romanian rumāņu
minimum minimāli
trapeze trapeces
reduced samazināja
coaches treneri
leader vadītāji
democracy demokrātiju
level līmeni
lighting zibens
patridge irbe
mammals zīdītāji
degree mērā
base bāzi
prefecture prefektūra
will būs
building apbūve
significant nozīmīgākā
hinduism hinduismā
christian kristieši
use izmantot
desert tuksneši
inherent raksturīgs
active aktīvās
spectral spektrā
intensive intensīvi
nation nāciju
method metodi
focused koncentrējās
directed vērsta
collar sākās
tapes lentas
combining apvienojot
huge milzīgā
famous slavens
understands apziņas
built celta
wealthy bēgt
result rezultātā
various dažādu
task uzdevumus
buildings celtnes
partners partneri
word vārdu
strong spēcīgs
element elementa
capital galvaspilsētas
view ņemot
degree pakāpes
published publicēja
offers piedāvā
colonization kolonizācija
physical fizikālās
women sieviešu
such šāds
bulgarian bulgāru
threatened draudēja
apparat aparāta
galaxies galaktiku
cats kaķiem
archipelago arhipelāgs
thermodynamic termodinamika
mushrooms sēnēm
trona troņa
science zinātnes
gallery galerijas
duchy hercogiste
phenomenon parādība
other pārējās
thunder pērkona
oscar oskars
space telpu
humidity mitruma
old vecās
specialist speciālistu
better labāk
large lielām
library bibliotēku
swimming peldēšana
black melnās
depart atiet
instruments instrumentiem
identity identitātes
venezuela venecuēlas
forwards uzbrucēji
plans plāniem
romani romāni
county apriņķo
annelid posmtārpi
country novadu
personal personīgā
differences atšķirības
managers vadītāju
orderly sakārtota
resistance pretestību
enemy ienaidnieku
opportunities iespēju
protection aizsardzība
collapse sabrukums
impressionist impresionisma
sources avotos
alloy sakausējums
minimize samazinātu
gravel grants
army armiju
long garš
colombia kolumbija
not neatbilst
story stāstu
wanted gribēja
russia krievijā
stage stadijā
activities pasākumus
reflects atspoguļo
parameters parametri
awakening atmodas
away attālumā
egg piem
insect kukaiņi
at pie
atmosphere atmosfērā
writer rakstnieks
spani spāņi
combination kombināciju
chamber palātas
ties saišu
member deputātus
inhabited apdzīvotā
songs dziesmas
not netiek
round kārtā
posts amatus
life dzīvei
highest lielākas
cosmos visumā
thousands tūkstošiem
host uzņem
faze fāze
follow sekot
elsewhere citur
persian persiešu
costs izmaksas
four četriem
british britu
heroes varoņu
general vispārējā
declared pasludināts
started sākusies
thermal siltuma
spiritual garīgo
collapse sabrukumu
drop kritums
court tiešo
institution tādēļ
floral ziedu
successful veiksmīga
theory teorijā
edge malā
valmiera valmierā
view uzskatot
bagpipes dūdas
clean tīri
package pakete
transitional pārejas
principle princips
orthogonal taisnleņķa
emerging parādās
carbon ogleklis
victoria viktorija
artisanal amatniecības
participation piedalīšanos
inclusive iekļauts
laboratory laboratorijā
out veikšanai
role loma
marsh purvs
exist pastāv
visible redzamas
ethiopia etiopijas
mary mariju
today patlaban
columbus kolumbs
goals mērķus
labor darbaspēks
lowland zemiene
god dievībām
bacterial baktēriju
called dēvēta
administrate martins
leadership vadībā
attack uzbrukt
area zonu
packages paketes
duchy hercogisti
chronicle hronikā
understand saprot
j. j
upside augšu
frost salnas
fuel degvielu
longing ilgas
ista īstā
allowed piešķirts
area laukuma
norway norvēģija
war varšavas
hands rokām
danish dāņu
regions reģionus
elements elementu
weapons ieročiem
eastern austrumu
gaul gallijas
author autora
left-wing kreisā
murder slepkavības
peeks skatās
goal mērķu
meles mēles
o ō
atom atoms
vinci vinči
division sadalīšanās
regions reģioniem
view skats
elaborate izstrādāts
network tīklu
ssr lpsr
more vairākas
eurasian eirāzijas
honor godu
squirrel vāvere
was nebija
very ļoti
court tiesu
daughter meita
institution iestādēs
quick īru
organs orgāns
presidency prezidentūras
army armijai
musical muzikālo
new jaunus
ground zemes
lithuania lietuvu
viennese vīnes
manners tikumu
loss zudums
planet planēta
pin tapa
hypothesis hipotēze
more sīkāk
particularly sevišķi
age laikmeta
sizes izmēri
war karoja
saga sāgā
following šādām
their savi
ingredients sastāvdaļa
roles lomas
left atstājusi
cup kausā
formation veidošana
boat laivu
race sacīkšu
independently neatkarīgi
economics ekonomiskajām
emission emisijas
beliefs ticējumi
lifting celšanās
writers rakstnieku
maintain saglabāt
record rekordi
composer komponists
address adresi
independent neatkarīgu
types tipi
phonetics fonētika
building vairošanās
site vietnes
hold notur
third trešdaļu
strain spriegums
large lielās
claims apgalvo
shop veikals
civilization civilizācijas
stone akmens
basketball basketbola
mythologist mitoloģija
anticipate paredzēt
success panākumus
view skatu
them viņiem
spit kāpu
egg olu
obtaining iegūstot
construction celtniecībā
county apriņķis
this šinī
artificially mākslīgi
swan gulbis
final gala
save saglabātu
hokkaido hokaido
evolution evolūcija
home mājās
long ilga
technical tehniski
prophets pravieši
area fogteja
lungs plaušās
myanmar mjanmas
small nelielas
apartment dzīvokļu
archeologico arheoloģija
area zonās
color kr
band joslu
stata štatā
village ciema
sun saulei
main pirmā
zeus zeva
currency valūtu
tissue audi
month mēnesi
again vēlreiz
spirit garš
focus uzsvars
lesbian lesbiete
achievement sasniegumu
within izpratnē
port ostas
second otrajā
teeth zobiem
fact facto
flags karogi
introduce ieviest
gravity smaguma
diseased slimība
avoid izvairītos
company rotas
period periodu
answer atbildes
did darīja
blood asinis
americans amerikāņi
substance vielā
connected savienotās
brazilian brazīlijas
transfer pārsūtīšanai
people tauta
audit revīzijas
sketches skices
university universitātes
resident iemītnieki
joule džouls
motion kustībā
independent neatkarīgs
diversity dažādība
jointly kopīgi
references atsauces
baby mazulis
time laikam
minimum minimums
components sastāvdaļām
ball lode
reducing samazinot
yoga jogas
hardness cietību
arguments jautājumos
they tie
quarters ceturtdaļas
text tekstos
total kopējais
syria sīriju
view apskatīt
archaeological arheoloģiskie
ancient senajiem
romans romiešiem
was ticis
blood asins
buddhism budisma
pleasure priekš
fire ugunsgrēks
toll nodeva
large lieliem
power ļaudis
horse zirgs
dozen desmitus
june jūnijs
best labākajiem
layer slāņus
investment ieguldījumi
mid vidum
designated apzīmēja
present pašlaik
court tiešu
romanticism romantisms
indiana indiāņu
conception koncepcija
figures skaitļiem
province provinču
hockey hokeju
distinguish atšķir
reform reformas
road ceļā
obtained iegūtas
old vecā
literary literārā
tin alvas
africa āfriku
started sāka
potato kartupeļi
christian kristiešu
wealth bagātības
was esot
changing mainot
sings dzied
one vienā
unity vienotība
prohibited aizliegta
businesses uzņēmumiem
active aktīvu
renaissance renesanse
significantly būtiski
french frančiem
parliamentary saeimas
yellow dzeltenās
fragments fragmentus
disc disku
address adrese
lowest zemākas
trying cenšas
nationalism nacionālisma
central vidusatlantijas
ethiopia etiopiju
rich bagāts
transport transports
union vienībā
regional rajona
muscle muskuļi
latvian latvijas
water ūdeņu
homeland tēvzemes
hardware aparatūras
clean tīra
design dizaina
appointed iecelts
latvians latviešiem
pat pēta
polyploidy poliploīdija
swan gulbja
neutrality neitralitāti
lives dzīvo
scotland skotijā
life dzīves
neighborhood apkārtnes
extended attiecināts
farm saimniecības
played nospēlēja
production ražošanu
hand roka
karta kārta
line līnijā
horse zirgu
nuclear kodola
average vidējais
external ārējais
amateur amatieru
hockey hokejs
country apgabala
of savienotās
behaviors uzvedību
jupiter jupitera
katrina katrīna
orbit orbīta
their savos
dadu gadus
maintaining saglabājot
titanic titāniks
divided iedalīja
minorities minoritāšu
raise paaugstinātā
articulated saistāma
soviet padomju
triangle trijstūris
iraqi irākas
dialects dialekti
monarchs valdnieki
after gaļu
rapid straujais
next blakus
central centrālāzijas
memorial piemiņas
privileges privilēģijas
symbolizes simbolizē
county apriņķa
well-known pazīstamākajiem
sun tr
festival festivāls
discs apstrādei
high augstsprieguma
independent neatkarīgo
ban aizliegums
food barība
business darījumu
pagan pagānu
fragments fragmenti
pc datora
army armijas
criteria krīt
present tagadnes
transport transportu
family ģimeni
range klāsts
police policijas
month mēneša
records ieraksti
molecule molekula
artist mākslinieks
stork stārķis
dialects dialektiem
marsh purvu
fast strauji
health veselību
high augstās
solid cieta
indians indiešu
poverty nabadzību
interaction mijiedarbības
ties saites
progress norisi
mate mātes
fled bēga
before pirms
rounds kārtās
muslims musulmaņiem
outstanding izcilu
election vēlēšanās
win uzvarām
approved apstiprināta
published iznāk
area telpas
six sešus
new jaunajos
rather drīzāk
plato platons
hosts uzņem
waterway ūdensceļš
building būve
changed izmainīja
called dēvēti
silicon silīcijs
nature būtību
demand pieprasījuma
temperature temperatūrai
fields laukos
lowest mazākās
considered uzskatīts
rate kuršu
wave viļņi
spectrum spektrs
economy ekonomikai
candelas kandela
directly tieši
factor faktors
airport lidostā
add pievienot
highest augstākais
pole pols
movement kustībā
promise solījumu
jura jūrā
galilei galilejs
parents vecāki
active aktīvas
pills pilis
period periods
arteries artērijas
ban aizliegumu
historically vēsturiski
computer dators
range grēda
drive disku
ree brīvo
more pilna
lines līnijām
assuming pieņemot
adams ādams
occupied okupēja
favorites izlasei
club klubu
share dalās
segment segmenta
opponents pretiniekiem
five pieci
boyle boila
organisms organismu
ultraviolet ultravioleto
alps alpi
fusion sakausējums
internet internets
mineralogy mineraloģija
stage skatuves
heroes varoņi
production produkcijas
intensely intensīvi
jose hosē
complex sarežģītas
flow plūsmas
buddhist budistu
writing rakstības
figura figūrām
former bijušo
owned piederošo
italy itālijas
mass masa
always vienmēr
record rekords
fund fonda
winners ieguvēji
thousand tūkstošu
causes cēloņi
file klusā
manual rokas
monopoly monopolu
caesar cēzara
factor faktoru
illness slimības
janis jānis
ecology ekoloģija
modernization modernizācija
previously iepriekš
duchy hercogistes
minerals minerāli
resist pretojās
tram tramvaju
egypt ēģipte
deteriorated pasliktinājās
antique antīkās
calls aicina
five piecos
vienna vīne
monument pieminekļa
but toties
lifelong mūža
release izdala
standard standarta
forced piespieda
christianity kristietības
stiffness pretestība
ethanol etanols
economic ekonomikas
famous slavena
modern mūsdienu
venice venēcijas
wrote rakstīja
elements elementiem
cat kaķi
great lieliski
football futbola
description aprakstu
purpose mērķim
bolshevik boļševiku
king karali
aspasia aspazija
responsibilities pienākumus
load kravas
china ķīnu
notes banknotes
punic pūniešu
blood asinīm
performance izrādes
mechanics mehānikas
range grēdas
region reģiona
nation nācija
told atzina
history vēstures
cube kubu
armstrong ārmstrongs
hero varoņa
japanese japānas
giving dēvēja
fight cīnīties
industry rūpniecību
long gara
vertical vertikālā
cactus čakstes
