other अन्य
advice सलाह
stones पत्थरों
lakes झीलें
cider साइडर
increase बढ़ा
accused दोषी
return वापसी
your तेरा
singer गायिका
responsible उत्तरदायी
assam आसाम
almost प्रायः
speech भाषण
historians इतिहासकारों
goddess देवि
think सोचने
go चलकर
expose पर्दाफाश
those जिन्हें
merchants व्यापारियों
lame लंगड़ा
translation अनुवाद
work कृति
35 ३५
vibration हलचल
zone अंचल
unbeliever काफिर
architecture स्थापत्यकला
naresh नरेश
districts झीलें
encouraging प्रोत्साहित
alaknanda अलकनन्दा
successful सफ़ल
sonia सोनिया
all सकल
1919 १९१९
rest विश्राम
thinking चिंतन
appears दिखाता
unsolicited अविश्वास
heat गर्मी
wear धारण
king राजेंद्र
got पाए
sutra सूत्र
channel चैनल
attach जुड़ा
steam भाप
pollution प्रदूषकों
type प्रकार
active सक्रियता
education शासित
spirit जोश
sublime विशिष्ट
skills कौशल
ideal आदर्श
balia बलिया
tackling निपटने
blind अन्ध
moon चांद
slum बस्ती
voice कण्ठ
herd झुंड
feather पक्षी
movement आंदोलनों
want चाहते
8th आठवें
art वास्तु
sector सेक्टर
eyes आंखों
boundary सीसा
lye झूठ
taste स्राव
project परियोजनाओं
physical भौतिकी
insight अंतर्दृष्टि
accomplishment सिद्धि
goddess देवी
ammeter अमीटर
all सबमें
showroom प्रयोगशालाओं
edward एडवर्ड
earthly पार्थिव
months महीनों
alehouse मधुशाला
then फ़िर
boundary सीमायें
said बोलते
active क्रियाशील
metaphor अलंकार
urvashi उर्वशी
monarchism राजतन्त्र
work रचे
measurement क्षेत्रफल
express जताई
death मृत
will पड़ेगी
adsorbent अवशोषक
bombay बॉम्बे
courage साहस
lieutenant लेफ्टिनेंट
moss हरिता
intellectual विद्वान्
raw कच्चे
expected अनुमानित
ended ख़त्म
treasury कोश
potter पॉटर
wanted चाहिये
equality समभाव
middle बीच
hygiene स्वच्छता
16th १६वीं
achievement सिद्धि
food खाद्य
power सत्ता
distributed बाँटा
celebrated मनाई
they इन्हें
grammer व्याकरण
attractive आकर्षक
unknown अज्ञात
bali बाली
your तेरी
friendship दोस्ती
god प्रभु
unsuccessful विफल
master आचार्य
demon यक्ष
episode संस्करण
programming प्रोग्रामन
place नालन्दा
slow धीमी
rig ऋग्
independent स्वतन्त्र
assembly सभाओं
tika टीका
gauge गेज
gandhiji गांधीजी
fierce भयंकर
illegal अन्याय
meet मिलना
told बताये
wash धोने
obama बराक
transitional परवर्ती
weak शिथिल
hence अतः
claims दावों
slip पर्ची
incidents घटनाएं
just महज
summit चींटी
past अतीत
width चौड़ाई
dictionary शब्दकोश
successfully सफलतापूर्वक
unanimously एकमत
light दीप
identify पहचाने
independence स्वाधीनता
factory उद्योग
akbar अकबर
transformer ट्रान्सफार्मर
itching खुजली
emerge उठ
will पड़ेगा
operating प्रचालन
release रिहा
s एस
location प्रांत
molecules दाद
1969 १९६९
smoking धूम्रपान
genitals भग
valley तराई
curtain परदे
what क्या
poems कविताएँ
forecast पूर्वानुमान
taste अभिरुचि
conversion विवर्तन
scale भत्ते
demon सुर
worry दुख
people वासियों
combination युग्म
diagnosis निदान
episodes कड़ियों
vedas वेदों
dinkar दिनकर
reference टिप्पणी
patil पाटिल
letter चिट्ठा
beauty सुन्दरता
settle बसाया
equidistant समानांतर
like लोभ
cultivated उगाई
nominal नाममात्र
november नवम्बर
next अगली
newborn नवजात
finial कलश
christians ईसाइयों
influences प्रभावों
ray बीम
selection वरन
happen पड़ता
dictionary शब्दकोष
eclipse ग्रहण
fund फंड
demanded माँगा
ours अपने
astronomy खगोल
lord प्रभु
malay माले
test जांच
traditions रिवाजों
atmosphere जैवमण्डल
2003 २००३
divide विभक्त
demolished ध्वस्त
doctors चिकित्सकों
space स्पेस
publication प्रकाशन
sons पुत्रों
flesh मांस
journey यात्रा
doubtless निसंदेह
tiwari तिवारी
enforced चलाया
thighs जंघा
brahmins ब्राह्मणों
buying खरीदी
extract अर्क
think समझते
fasting उपवास
environmental पर्यावरणीय
passing गुजरने
start शुरू
person व्यक्ति
valiant पराक्रम
lord अधिपति
stand उठी
yours तेरा
district जनपद
percentage प्रतिशत
successful सार्थक
1905 १९०५
maniac पागल
ours हमारी
birth जन्म
solution समाधान
youth जवान
artist कलाकारों
expression अभिव्यक्ति
touch स्पर्श
horses घोड़ों
enter काष्ठ
field खेत
writing लिखते
born जनित
demanded माँगी
germs विषाणु
band वॉट
identified चिन्हित
have हो
landslide भूस्खलन
centre केन्द्र
island लक्षद्वीप
orders आदेशों
upanishads उपनिषद
arjuna अर्जुन
non-metal अधातु
connect जोडने
rajasthan राजस्थान
ball गोले
start शुरु
surname तोमर
put लगाती
strong कड़े
dialects बोलियाँ
joint जुडा
impart आयतन
motile गतिशील
organizer संयोजक
obligated बाध्य
covered आच्छादित
sharp प्रखर
plow उगाया
patriotism देशभक्ति
cell कोशिका
effect असर
decide निश्चय
path पद्धति
native निवासी
resident वासियों
chaturthi चतुर्थी
run चल
communication सम्पर्क
happening संगठन
converted आकृष्ट
cricketer क्रिकेटर
fertilizers कीटनाशकों
situation अवस्था
machine यंत्र
association संघ
admit भरती
kind उदार
globe गोलक
sounds ध्वनियों
delhi दिल्‍ली
index तालिका
units इकाइयाँ
guardian संरक्षक
petty क्षुद्र
pests कीटों
dramatics नाट्यशास्त्र
necessity आवश्यक्ता
1947 १९४७
suffering पीड़ित
going गई
weight भारी
senate राज्यसभा
eighth अष्टमी
perfect पुण्य
raw कच्ची
kubera कुबेर
lungs फेफड़ों
glorious प्रतापी
notice सुचना
acceptance स्वीकृति
reached पहुंची
italian इतालवी
garden बाड़ी
target निशाना
leafs पत्ती
tears आँसू
faint निर्बल
control नियन्त्रण
disease रोग
state राज्‍य
chromosomes क्रोमोसोमों
delayed प्रचलित
judiciary न्यायपालिका
instrument यंत्र
placed बैठता
went गया|
carry वहन
consider माने
chastity शील
foreign प्रवास
16th सोलहवीं
resolved संकल्प
elected चुनी
frequency आवृत्ति
yield पैदावार
spy गुप्ता
player वादक
penance तपस्या
feeling वेदना
wing पंख
topics विषयों
tea चाय
actual वास्तविक
desires चाहते
adoration पूजन
sulfur गन्धक
dialect विभाषा
century शती
but किन्तु
seen देखता
understood समझा
keep रखें
strategic सामरिक
purity शुद्धता
god परमात्मा
express अभिव्यक्त
neutral निष्पक्ष
fort बुर्ज
glands ग्रंथियों
ladies स्त्रियों
special खास
free स्वच्छंद
good भला
states अवस्थाओं
surname अब्बास
accept स्वीकार
poetess गायत्री
6th छठी
remove मिटा
celebrated मनाए
born पैदा
paradise कैलाश
party दावत
goddess कार्तिकेय
incidental आकस्मिक
subjective समुचित
shop दुकान
under अधीनता
tomb मकबरा
characterization वर्णन
genre शैली
camel ऊँट
ship नौका
harbor बंदरगाहों
northern पूर्वी
race जाति
november नवंबर
painting चित्रकारी
world लोक
amritsar अमृतसर
serial बारी
cycle साइकिल
oxygen ऑक्सीजन
reached पहुंचा
dead पार्थिव
courtyard प्रांगण
there वहां
pit गड्ढे
ciment सीमेंट
works कामों
gobind गोबिंद
painting चित्रकला
prayer उपासना
wine सुरा
lookout चौकी
trade ट्रेड
approximately औसतन
kingdom जगत
would होगा
reside रहा
moment घड़ी
vulva योनि
tank टैंक
saving बचाने
raw कच्चा
traditions परंपराओं
minerva मिनर्वा
old पुरा
copper ताम्र
possession कब्ज़ा
bhagwat भागवत
study पढ़ते
followers समर्थकों
chitta चित्त
korean कोरियाई
organised संस्थागत
silk रेशमी
texas टेक्सास
understood समझी
aircraft वायुयान
diverted हटाकर
buyer ग्राही
agree माने
actually वस्तुत
continue रखने
prose गद्य
cross काटती
aries मेष
holes छिद्रों
owner स्वामी
there वहाँ
pillars स्तंभों
third तृतीया
constructed निर्मित
electricity विद्युत्‌
equivocal द्विआधारी
germ कीड़े
diagram आरेख
shelter आश्रम
achieve सिद्ध
syllabus पाठ्यक्रम
school स्कूली
truth सच
hebrew हिब्रू
wi वाई
techniques तकनीकों
york यार्क
greek यूनानी
wash धोना
conquering अर्जित
pain ईद
learned सीखा
caves गुफाएं
necessary जरूर
tourists सैलानियों
republic गणतन्त्र
care ध्यान
came आईं
architecture वास्तुशिल्प
happiness उल्लास
short-lived अल्पायु
professor आचार्यों
torque उत्तोलक
winters सर्दियों
kept रखकर
north उत्तरी
recognized पहचाना
fill भरने
enabled स्वायत्त
measurement माप
s स
science सहस्रों
mosque मस्जिदों
ditch कुण्ड
bangles चूड़ी
men मेन
journey सफर
black कृष्णा
problem समस्या
ride सवारी
statistics आंकडों
clash मुठभेड़
pop पॉप
advertised प्रसारित
2004 २००४
read पढ़ा
subject कथावस्तु
herath हेरात
partnership साझेदारी
incapable अक्षम
question सवाल
highest उच्चतम
lovely मनोरम
parallel समानान्तर
sing गा
heat तप
search संभालने
local स्वदेशी
kapil कपिल
physical दैहिक
1976 १९७३
flop विफल
centre केंद्र
independence स्वतंत्रता
paradise परलोक
price दाम
castes जातियां
signature हस्ताक्षर
floor मंजिल
fast तेजी
ordered व्यवस्थित
respect अभिमान
meet मिलन
singer गायन
pull उखाड़
audience दर्शकों
day दिन
poems छंदों
egyptians मिस्रवासियों
see देखे
govind गोविंद
called कहलाता
static स्थिर
disease रोज
celebrate मनाई
towns कस्बे
alcoholic मादक
week निर्बल
put लगाते
suppression स्तंभन
flow बहार
similarity समता
countries देशो
pandavas पांडव
lower नीचे
aerial आकाशीय
choice चयन
pure पवित्र
sports खेल
knowledge विद्याओं
leaves पत्तियाँ
we हमें
curd रायता
playing वादन
pimples व्रण
six छठ
celebrate मनाया
projected उभरा
self खुद
daily दैनन्दिनी
related सम्बद्ध
become जाएगी
stand खडा
particle कण
sitting बैठे
please कृपया
brave वीरों
from मकार
type तरह
spreading फैलाने
alphabet वर्ण
attachment संबंध
hide छुपाने
1997 १९९७
offensive काफिर
deth निधन
ocean महासागर
omitted हटा
brave वीर
stayed बसी
stay रहेगी
yours तेरे
intelligent प्रतिभा
list सूची
holding रोकना
10 १०
language भाषा
tree पेड
travel संचार
saffron भगवा
mother जननी
faith विश्वास
care निदान
lily लिली
rest आराम
virus जीवाणु
proton प्रोटान
nationalism राष्ट्रवाद
hands हाथों
acquire अर्जित
supervision देखरेख
tackle निपटने
1954 १९५४
opposite विपरीत
get मिल
84 ८४
technology टेक्नालजी
cache इकठ्ठा
called कहलाती
generation जनन
research संशोधन
karthikeyan कार्तिकेय
writers लेखकों
14 १४
guess अभिकल्पना
heart हृदय
quick त्वरित
leading अग्रणी
telling कहने
us हमें
treasure खजाने
syndrome सहलक्षण
list सूचि
worry परेशानी
language अम्हारिक
ages युगों
high ऊंची
masjid मस्जिद
curve वक्र
dreams सपने
flow बहा
educate सिखाने
order आज्ञा
predominance प्रधानता
latitude अक्षांश
newspapers पत्रिकाओं
boon वरदान
aravali अरावली
shore बेसिन
degraded अपमानित
outspoken मुखर
lakh लाख
abraham अब्राहम
basis आधार
collective सामूहिक
novel कथानक
verse पद्य
definitely अवश्य
electoral चुनावी
fat वसा
decoction क्वाथ
curse श्राप
geography भूगोल
view दृष्टिकोण
assam असम
chants मंत्रों
notes आलेख
best सर्वश्रेष्ठ
sudarshan सुदर्शन
asking मांगने
fondness पसंद
eldest ज्येष्ठ
would जाएगी
neolithic नवपाषाण
expenditure व्यय
transformation रूपांतरण
against खिलाफ़
mid मय
continent महाद्वीप
apocalypse क़यामत
immoral अनैतिक
doing कराते
paper कागज़
projection प्रक्षेप
advise बताती
chances मौके
republic गणतंत्र
srivastav श्रीवास्तव
part अंग
metallurgy धातुकर्म
1 १
writer निबंधकार
show दिखाने
attribute एट्रीब्यूट
complementary पूरक
autonomous स्वायत्त
rajguru राजगुरु
afghanistan अफ़ग़ानिस्तान
nasa नासा
beauty छवि
grip पकड़
great गौरवशाली
valley वैली
extinct दफन
protected संरक्षित
hope उम्मीद
unsuitable अनुचित
manufacturing विनिर्माण
announce घोषित
gangadhar गंगाधर
fix तय
equality बराबरी
hatred द्वेष
fast तेज़
directions निर्देशों
stone पत्थर
fight लड़ा
portuguese पुर्तगाली
symbol प्रतीक
tissue ऊतक
disease रोगों
unit एकक
arranged विनियमित
leafs पत्ते
jammu जम्मू
lifespan जीवन
worship अर्चना
interest रुचि
heavy भारी
stop स्तंभन
incomplete अधूरा
love प्रणय
ports बंदरगाहों
what वॉट
course कोर्स
nobel नोबल
cave गुफा
support सहारा
related संचारित
good भले
might सकेगा
ankara अंकारा
level स्तरीय
responsibility भार
chariot रथ
systematic आयोजित
castes जातियाँ
regional क्षेत्रीय
dam बांध
user प्रयोक्ता
soldier सैनिक
upcoming आगामी
criticism आलोचनाएँ
hindi हिन्दी
drinking पीने
intellectual दिमागी
regulation अधिनियम
bat बैट
statistical सांख्यिकीय
every हरेक
excited उत्तेजित
forcefully बलपूर्वक
invitation निमंत्रण
firmness दृढ़ता
kashmiri कश्मीरी
gate दरवाजा
him इसको
egg एग
executive कार्यपालक
experimental प्रयोगात्मक
bowling गेंदबाजी
waiting प्रतीक्षा
boys लड़के
plentiful संपदा
see देखी
firstly सर्वप्रथम
town टाउन
exploitation हनन
pure शुद्ध
writer राउटर
collection पंजीकरण
magazine संचिका
without हीन
close घनिष्ठ
not नही
exchange विनिमय
worship आराधना
nation देश
similarity समानांतर
yoghurt दही
sight नज़र
basin बेसिन
injected टीकाकरण
responsibility ज़िम्मेदारी
forceful जोरदार
luck भाग्य
metalloid उपधातु
culture संस्कारों
oxygen आक्सीजन
shani शनि
unusual असामान्य
reciprocal पारस्परिक
prawn झींगा
truly सचमुच
importance अवशेषों
head खोपड़ी
inferior हरिजन
medium माध्यमों
uterine गर्भाशय
song गीत
sugar शर्करा
writings रचनायें
boat नौका
publications प्रकाशनों
marine समुद्री
total समूचे
sea समुद्रों
polish पोलिश
atmosphere माहौल
pressure दाब
sankar संकर
peak चोटी
topics निष्कर्षों
father बाप
take लेता
monkeys वानरों
international राजशाही
virtue सदाचार
reliance रिलायंस
amravati अमरावती
hindu हिन्दुओं
blueprint मानचित्र
we हम
animals जन्तु
erase मिटाने
judgement फैसला
mainly मूलत
precisely संक्षेप
gain लाभकारी
oceans समुद्रों
maratha मराठा
arithmetic अंकगणित
depicts दर्शाती
quick तत्काल
bees २०
elected चुनकर
exhibition प्रदर्शनों
seen दिखाई
qualified योग्य
rajasthani राजस्थानी
goose हंस
repentance पश्चाताप
20th बीसवी
commando कमांडो
narrate सुनाई
knickerbockers नेकर
relate सम्बद्ध
epic महाकाव्यों
academy अकादमी
patients रोगियों
low नीच
excitement उत्तेजना
vehicle गाड़ी
opposition खिलाफ़
pages पन्ने
territory सल्तनत
device डिवाइस
matching मिलान
homeopathy होमियोपैथी
approved स्वीकृत
berth घाट
revolt विद्रोह
universe सृष्टि
magh माघ
scientists वैज्ञानिकों
knowledge विधाओं
thyroid घेघा
legislation विधान
left बाएँ
national राष्ट्रीय
1948 १९४८
honest सज्जन
behaviour व्यवहारिक
read पढ़े
basically बुनियादी
petition मुकदमा
the इस
beliefs विश्वासों
ghosh घोष
pilgrimage तीर्थयात्री
grand धूमधाम
bijapur बीजापुर
september सितंबर
life जिंदगी
devotee श्रद्धालु
solution उपाय
right आधिपत्य
noted नामी
reality वास्तविकता
cyclone तूफान
pictures तस्वीरों
medical चिकित्सकीय
recording रिकॉर्डिंग
managers प्रबंधकों
united एकजुट
old-age वृद्धावस्था
threads धागे
group समूह
lawsuit मुकदमा
voices स्वरों
pension पेंशन
burning दहन
squid व्यंग्य
within भीतर
project प्रकल्प
rameshwaram रामेश्वरम
lane गली
distant सुदूर
button बटन
controversial विवाद
links लिनक्स
expedite शीघ्र
brain खोपड़ी
compiled संकलित
name सफारी
amitabh अमिताभ
secession अलगाव
implementation क्रियान्वयन
sedentary आसीन
deaths मौतें
obstacle विघ्न
mouth मुँह
state जिलों
vicinity पार्श्व
me में
morya मौर्य
green हरित
election मतदान
atom अणु
vivekananda विवेकानंद
bottom तल
only एकमात्र
market मंडी
mehta मेहता
failure विफलता
understand समझा
desire नियत
coloured रंगे
tied बांधकर
direct सीधा
utility उपयोगिता
electronic इलेक्ट्रॉनिक
help सराहा
captured खींचा
pongal पोंगल
deducted काटा
honest ईमानदार
seth सेठ
census जनगणना
tune ताल
god देव
resonance अनुनाद
fish मीन
ban प्रतिबन्ध
exercise आभासी
comments टिप्पणियों
merging समन्वय
solution प्रावधान
sweets अल्पना
eat खा
rearrange सुव्यवस्थित
blogs चिट्ठे
temple मंदिर
jebel जेबेल
oriya उड़िया
student शिष्य
army थलसेना
glance झलक
treasure खजाना
oath शपथ
spot कलंक
yagna यज्ञों
problems समस्याएँ
politician राजनीतिज्ञ
begin आरम्भ
keep संभालने
sacrifice बलिदान
belgium बेल्जियम
height ऊंचाई
university विश्‍वविद्यालय
centuries शताब्दियों
101 १०९
eradication निवारण
finalising निर्णायक
woman नारी
contaminated संक्रमित
reaching पहुंचते
place गंतव्य
play नाटककार
rectangle चतुर्भुज
best श्रेष्ठतम
1976 १९७६
break तोड़कर
hiv एचआईवी
greetings प्रणाम
capacity क्षमता
sentences वाक्यों
welfare भलाई
buying खरीदते
jump कूद
duel दोहरी
road सड़क
accept अधिग्रहण
insistence आग्रह
tested परीक्षित
gauri गौरी
manners आचार
identification पहचान
persuade समझाने
sunrise सूर्योदय
first पहली
century पध्दति
rust जंग
rashes दाद
showed दर्शाया
another अन्‍य
electron विद्युदणु
unseen अनदेखी
britishers अंग्रेजो
open खुले
either या
light प्रकाशिकी
kautilya कौटिल्य
town नगरी
open खोल
goal उद्देश्य
branch शाखा
conventional लौकिक
waves तरंगों
solution विलयन
more अधिकतर
quietly चुपचाप
presentation प्रस्तुतिकरण
research चिन्तन
school स्कूल
c++ सी++
publish प्रकाशित
reaching पहुँचकर
familiar अंतरण
necessary जरूरी
same सम
fog कोहरा
floor फर्श
multifaceted बहुमुखी
your तेरे
dating डेटिंग
suspicion संदेह
story कथानक
licence लाइसेंस
increasing बढ़ाना
sports खेलों
related सम्बंधी
realisation चेतना
flow बहाव
immune प्रतिरोध
fight लडाई
by हाथों
repeal खंडन
ruler सुल्तान
rajput राजपूत
out निकाले
standard प्रतिमान
muscle कलाई
parts दलों
men पुरुषों
dots बिंदुओं
costs जातियों
fertilizer उर्वरक
winds हवाएं
wax मोम
mohandas मोहनदास
richman धनवान
rock पाषाण
shaked मिलाया
greenhouse ग्रीनहाउस
spin घूर्णन
high ऊंचा
those उन
repeat दोबारा
paper कागज
graceful चैतन्य
durga दुर्गा
noise शोर
yearly वार्षिक
mosques मस्जिदों
stiff गाढ़ा
see देखो
death मौत
own अपने
culprit दोषी
below निचली
segments खंड
garbage कचरे
conscious होश
left बचा
logic तर्कों
end अंत
nepali नेपाली
present समकालीन
notes नोट्स
prostitute वेश्यावृत्ति
vagina योनि
lion शेर
some थोड़े
dance नाट्य
plants वनस्पतियों
drinking पीना
wrong गलत
mentioned उल्लिखित
italy इटली
file फाइल
paris पेरिस
left बाएं
integral अभिन्न
first पहला
field क्षेत्ररक्षण
included समाविष्ट
online आनलाइन
known मालूम
wars लड़ाइयाँ
tens दसों
sustain निर्वाह
hashish भांग
healthy निरोग
pressure दबा
reply जबाव
intoxication मद
strength प्रबलता
last गत
tangible मूर्त
creative सृजनात्मक
footstep पग
available उपलब्ध
8 ८
awadhi अवधी
test परीक्षण
strict रूढ़िवादी
couplet दोहा
audiences श्रोताओं
facilities सुविधाएँ
berlin बर्लिन
mile मील
walk चलता
contemporary रूपान्तर
doctors चिकित्सक
infinity अनन्त
greek ग्रीक
dropped गिराया
kingdom बादशाहत
path साध्य
directory निर्देशिका
dot टीका
obstructed बाधित
initial प्रारूपिक
prawns झींगा
leaved छोड़ी
initial शुरुआती
wi-fi वाई
you तुम्हें
workspace कार्यक्षेत्र
server सर्वर
leg पाँव
lover प्रेमिका
circular गोलाकार
rational युक्ति
meerut मीटर
place चम्बल
last अन्तिम
giant दैत्यों
laws कानूनों
price राशि
sac कोशों
form स्वरूप
critic आलोचक
volcano ज्वालामुखी
seventeen सत्रह
laying चढ़ाना
curtains परदे
rise उदय
getup उठ
prediction पूर्वानुमान
home घर
sea समुद्र
psyche चित्त
under तहत
ken केन
wanted चाहा
thames थॉमस
respect पूज्य
commemorate त्यागी
success सफ़लता
pregnant गर्भधारण
press प्रेस
only ही
gija गीज़ा
against ख़िलाफ़
ancient वृहद
regional प्रादेशिक
know जानें
south दक्षिणी
womb कोख
ovary अंडाशय
done कीं
possible सम्भव
australia ऑस्ट्रेलिया
fast जल्द
misra मिस्र
lever उत्तोलक
stop रोकने
hydrocarbons हाइड्रोकार्बन
are हैँ
feel आभासी
praise स्तुति
telugu तेलुगू
island द्वीप
also भि
neighbour पड़ोसी
brand ब्रांड
animals जन्तुओं
creator प्रणेता
proportion अनुपात
witness साक्ष्य
future भावी
about बारे
fact यथार्थ
fanatic कट्टरपंथी
too भि
statues प्रतिमाओं
flower फूल
adorned सुशोभित
versed निपुण
voluntarily स्वतः
judgement फैसले
him उनके
for लिए
senses इंद्रियों
small लघु
awareness जागरण
beauty चेतना
lines लाइनों
population जन
invalid अधातु
issues मुद्दा
summer गर्मियों
biology जीव
electrical वैद्युत
jaishankar जयशंकर
player खिलाडी
boot बूट
powder चूर्ण
working कार्यकर्ता
keeping बहाल
legs पांव
purity पवित्रतम
grace शोभा
sing गान
hurdle आपत्ति
lavish विलास
battery बैटरी
works क्रियाओं
sun सोम
mangeshkar मंगेशकर
want चाहिए
talk वार्ता
empty थोथ
tendency प्रवृत्ति
five पांच
date दिनांक
along समेत
maurya मौर्य
chest धड़
socialism समाजवाद
matchstick माचिस
cast जातियां
mature परिपक्व
roaming घूम
which जोकि
release रिलीज़
violation हनन
telugu तेलुगु
take लेते
logic तर्क
bindi टीकों
pillow तकिया
festival मेला
quicksand दलदल
throne राजगद्दी
disc मंडल
west पश्‍चिम
means उपकरण
curds दही
european यूरोपियन
hand बांह
opinion मत
sandy रेतीले
authority प्राधिकरण
choice पसन्द
ambika अम्बिका
national नेशनल
39 ३९
nalanda नालन्दा
experienced अनुभवी
media मिडिया
statue प्रतिमाओं
abundant प्रचुर
double गुणा
satyagraha सत्याग्रह
instrumental वाद्य
seldom कभीकभी
gods ईश्वरीय
july जुलाई
energies शक्तियों
gate गेट
lamp दीपक
generations पीढ़ियों
apartheid रंगभेद
haj हज
tram ट्राम
unhappy नाराजगी
name आशुतोष
organism जैव
1961 १९६१
switzerland स्विट्जरलैंड
vrindavan वृंदावन
connected आश्रित
magnitude कांतिमान
level स्तर
orange नारंगी
beneficial लाभप्रद
as ज्यों
maktoum मकतौम
applied लागू
desert मरुस्थल
efforts क्रियाकलाप
qualification योग्यता
circumstance प्रासंगिकता
system सिस्टम
inevitable अनिवार्य
souls आत्माओं
tuesday मंगल
mansingh मानसिंह
poor गरीबी
attracted ऑर्कुट
doer कर्ता
halfway अनियंत्रित
behavior आचार
cd सीडी
supportive मददगार
insulted अपमानित
geographical भौगोलिक
telling बताते
flowers फूलों
importance महत्वपूर्ण
symbolic सांकेतिक
head सिर
elected निर्वाचित
instead बदले
increased बढ़ाया
vision दृष्टि
exit निकासी
whoever जिन्होने
official आधिकारिक
sesame तिल
jews यहूदियों
interrupt अवरोध
happened पहुँची
youtube यूट्यूब
argue वाद
name अबु
obey निभाया
enrich संपन्न
the जिन्हे
swivel कुण्ड
regard आदर
send भेजना
leaning झुकाव
kush कुश
self स्वंय
resistant प्रतिरोधी
study अध्यापन
safety सुरक्षा
kargil कारगिल
height ऊँचाई
basically मूलतः
enhanced बढाता
desktop डेस्कटॉप
attack चढ़ाई
uterus गर्भाशय
destruction क्षरण
kabul काबुल
