states штатах
april квітень
principal провідну
monarchy монархії
deliberately свідомо
wave хвиль
used використовувався
structure структурою
italian італійські
regions областях
stages етапи
national національна
soviet радянського
russian рос
international міжнародній
circle крутами
turned звертався
environment середовища
network мережа
d. д
full полон
knights лицарів
southern південного
state державної
famine голодомору
planet планети
attacks нападів
ideas ідеями
uses користується
meaning значення
close близький
energy енергія
oun оун
bolshevik більшовики
cycle цикли
mainly здебільшого
works роботі
resources ресурсів
held проводив
further подальші
forces сіл
sculptor скульптора
returned повернувся
traditional традиційної
indexes показником
rising повстання
play грають
and й
opinions міркування
closeness близькість
guests гості
cost вартість
plan плану
necessary необхідних
oxygen киснем
started розпочала
tribute данину
odyssey одіссея
gogol гоголь
administration адміністрація
grain зерно
soul душі
coasts берегів
steppes степи
advance виступають
social соціальний
hockey хокей
supreme верховний
invaders загарбників
diplomatic дипломатичних
buried похований
matrix матриць
was становило
james джеймс
treatise трактат
skin кожному
largest найбільшою
encyclopedia енциклопедія
without без
possible можна
birches березкові
leonardo леонардо
contained містяться
young молодого
georgians грузини
archives архівів
state штату
go йдеться
renewed відновлено
finances фінансів
us нам
teams команд
victory перемогу
worker діячів
rules панує
frontiers межами
calmness спокою
nkvd нквд
measuring вимірювання
presbyter старець
immediate безпосереднє
national національне
geography географії
lev лева
poem поему
reaction реакції
aftershock афтершоки
pavlovich павлович
poltava полтавської
live проживає
dimensions величини
anna анна
crafts ремесла
work роботі
block блоку
school училища
line рисою
albert альберта
say скажімо
strengthening зміцнення
receives отримує
important важливі
yushchenko ющенко
masturbation мастурбації
agricultural сільськогосподарської
forehead чолі
terminology термінологія
say сказати
scythians скіфів
personages персонажів
mastery майстерності
neighbourhood околиці
combination поєднання
bibliography бібліографія
molecular молекулярна
vocabulary лексика
foreign закордонних
church храмі
einstein ейнштейній
administrative адміністративних
length довжина
building будову
donbas донбасі
simple прості
match збігається
and и
separate окремої
founded заснований
continent континенту
verse вірш
creon креонт
cupid амур
high високу
magazines журнали
part змістом
local міським
dowry придане
write писати
relative відносна
foreign іноземні
fallow пар
journalist журналіст
dissatisfaction невдоволення
members членів
bay затока
sources джерела
till аж
parliament парламент
specific конкретної
vynnychenko винниченка
mistake помилок
decades десятиліть
gogol гоголя
last останньому
krakow кракові
transportation перевезення
frontiers кордонах
high верхньому
honing хон
algorithm алгоритми
suits відповідає
management господарювання
processes процесів
personal особисту
ancestors предки
printed надруковано
bases бази
early ранні
water водою
third ііі
anglo-saxons англосакси
insufficiently недостатньо
valleys долинах
issue видати
high вищі
only лише
america америка
belorussia білорусь
image облік
remain залишилося
visited відвідав
galicia галичина
their їхньої
philosophical філософського
designates позначається
urban міської
hid поховали
ghetto гетто
tales казки
consumer споживача
small невеликі
environment середовище
main головна
year pp
formations утворень
previous попереднього
crimea кримська
meets зустрічається
philosopher філософа
auditoriums аудиторії
opera опери
create створювати
forest лісова
eurasia євразії
wind вітер
rendering зображення
case відмінка
local місцевих
first першою
program програма
called називатися
community громада
resolution розвязання
increase приросту
men чоловічого
love любов
died вмерла
stage стадія
distribution розподіл
affirm стверджують
own самим
russian російській
letter літерою
worked діяло
could міг
labour праця
materials матеріалів
athens афінах
complex комплексом
tower вежі
genetic генетично
shores берега
administrative адміністративний
july липня
reading читання
ci сі
southern південному
jointed спільних
measure мірою
vishnevetsky вишневецький
college коледж
named названі
however втім
gods божеств
gold золота
prices цін
education просвіта
right право
emancipatory визвольної
let хай
result наслідком
sounds звуків
maya майя
park парк
wore носив
inhabitants мешканці
crisis кризи
income доходу
beauty красу
private приватних
royal королівської
developed розвивалося
fund фонд
ukraine україною
cultural культурному
principal головним
new новий
markets ринків
sample зразок
continues продовжує
separate окрема
go йдуть
created створений
scythian скіфських
all-ukrainian всеукраїнського
generally загалом
nitrogen азоту
put заклав
necessary необхідна
ended закінчилася
contemporary сучасне
supported підтримували
basic основним
belongs належать
pythagoras піфагора
developed розвиненою
japanese японської
railroads залізниць
composer композитора
west заході
methods методами
surface поверхня
great великим
armies військами
allowing дозвілля
ensembles ансамблі
our наших
further далі
german німецька
commerce торгівля
frontier кордони
wise мудрого
current течія
sentence реченні
electronic електронних
poem поеми
shield щиті
representatives представниками
hope надії
formed формуються
ways засобами
such такими
kept зберігся
dnipro дніпро
memo памятка
shukhevych шухевич
acquired набуло
chain низку
street вулицю
force потужність
buses автобуси
autumn осінь
see смт
object обєктом
cossack козак
principal головного
defeat поразки
surface поверхню
undoubtedly безумовно
experiment експерименту
parliament парламентом
powerful могутні
server сервер
encyclopedia енциклопедії
exterior зовнішнє
coloration забарвлення
showed виявили
rains дощів
general генеральний
latitude широтах
xx хх
him ньому
thought думку
parts частинах
ocean океаном
street вулиця
scientific наукове
according згідно
regional обласний
one один
realization реалізація
twice двічі
economically економічно
marketing маркетингових
opened відкрили
contemporary сучасній
kostenko костенко
necessary необхідне
scientific наукова
popular популярної
yanukovich янукович
dimension розміру
reach сягають
producer виробник
colour кольору
gained набули
terminology вищому
its своєї
implemented здійснив
new новим
presentation представлення
deal видаються
anna анни
uah грн
defence заборони
quality якістю
basic основний
harmony гармонію
gena гена
surface поверхні
prices цінами
commerce торгівлі
mountains гори
destroyed знищено
could могла
dialectics діалектики
hercules геракла
chernivtsi чернівці
plural множина
byzantine візантійський
conclusion висновок
great великий
vocabulary лексики
performs виконує
list реєстр
coastal прибережних
length довжини
necessary потрібна
ukrainka українки
communities громад
ordinary звичайних
recognized визнані
america америки
indications ознакою
all всім
side сторону
leaders лідерів
ideological ідеологічних
visible помітні
vienna відень
french французька
created створили
building будівельних
assembly агрегат
last останнього
northern північне
diameter діаметром
jewish єврейського
investigator дослідник
addition доповнення
variants варіантів
domestic вітчизняна
cloister монастир
chemical хімічних
kinds видів
interestingly цікаво
herself сама
consisted складався
advance виступати
humidity вологість
general генеральним
musical музичний
leaves листя
unitary єдиного
friends друзів
khrushchev хрущов
greece греції
inheritance батьківщиною
participants учасників
hundreds сотень
was була
carry віднести
contemporary сучасна
thickness товщі
clergy духовенства
painting живопис
polish польського
as як
popular народних
theaters театрів
southern південній
tendency тенденцій
transfer передати
financial фінансова
now тепер
division дивізії
suppression придушення
australia австралії
yuri юрій
acts акти
world світ
end кінець
accepted прийняла
huge величезний
singer співак
examples прикладів
rada раді
novel романом
occupies займається
threat загроза
direction спрямованість
points пункти
reaction реакція
talking говориться
program програми
deposits поклади
authority авторитет
clear чистого
prohibition заборона
belorussia білорусії
local міських
austrian австрійської
congress зїзді
aesthetics естетика
executed виконується
social соціальні
wars воїнів
bay затоки
go йти
see побачити
east сходу
attraction залучення
construction будівництво
shores береги
being будучи
mure мур
washed омивається
minister міністр
otaman отамана
princess княгині
territorial територіальні
important важких
apostle апостола
birds птахи
natural природне
socialism соціалізм
while поки
extraction видобуток
enumeration перелік
issues видає
so так
local місцевим
huge величезних
harrison гаррісон
atlantic атлантичний
harmful шкідливих
conditions умовами
defend захистити
feminism фемінізму
representatives представники
independent незалежні
something дещо
phenomenon феномен
reception прийняття
hair волосся
characteristic характерними
multiform різноманітних
form формою
existing існуючого
network мережу
northern північної
island острові
threat загрозою
conflict конфліктів
was був
romania румунії
getting одержання
borrowing запозичення
married одружився
fondue фондю
worker діячі
artificial штучного
structure споруд
appointed призначається
fuel палива
time часу
capitalism капіталізму
memorial меморіальні
new нова
beginning начала
underground підземні
socialist соціалістичної
signature підпис
street вулиці
yan ян
monetary грошова
organized організовані
fighting бойової
sucker пагін
mikita микита
crisis криза
parks парків
odesa одеська
canada канаді
wide поширені
order указом
work працюють
victory перемоги
application впровадження
principal головних
cossack козацької
manuals підручники
gerbil піщанкові
adult дорослих
july липні
left залишилися
poem поема
polish польською
translations перекладів
realization реалізації
times разі
volume обсягом
thinker мислителі
lodge ложі
from від
sites сайти
childhood дитинство
qualitative якісні
printing друку
railway залізничного
famous знаменитий
winter зимовий
fields полів
religious релігійного
commercial комерційних
dramatist драматург
high високе
inheritance батьківщини
book книгу
end кінцівки
occupation окупації
physical фізична
person особа
local місцевий
inherent притаманна
algorithm алгоритму
society суспільстві
remember згадати
magnetic магнітне
lowland поділля
ban заборону
named званої
meetings зустріч
zaporozhye запорізького
directly напрямок
criticism критику
letters письма
flows тече
dnepr дніпро
crimean кримського
variants варіанті
poetry поезії
assigned призначений
kyiv киев
state державою
fountain фонтан
juridical юридичної
defeat поразка
aldehyde альдегіди
foucault фуко
khan хан
instrument інструмент
species породами
shore узбережжя
creative творчий
deposits родовищ
sentence речення
had мав
positively позитивно
import імпорт
front фронті
fights боях
frey фрейя
recognized визнається
family рід
new нових
harmony гармонії
considerable чимало
iceberg айсберг
profit прибутку
could могли
again знову
concerned стосується
kharkov харкова
regional обласних
play грати
sprout пагін
positive певним
arrangement угоду
she їй
shore узбережжі
modern сучасними
improvement вдосконалення
pass переходять
factor чинник
road шляху
regulation регулювання
sea моря
peninsula півострова
personal особисті
switzerland швейцарія
introduced введені
uman умань
years роки
stage етапі
included входило
spreading поширюються
attitude ставлення
kremenchuk кременчука
created створила
publications видань
system систем
reached потрапив
kernel ядром
horace горацій
founded знаходилася
australia австралія
lviv львів
pentameter пентаметр
bases основі
personalities особах
were вважалися
leaders керівників
coordinates координати
showed показали
infrastructure інфраструктура
chernihiv чернігівський
new нове
creation творення
establishments закладах
son син
lowland поділлі
all всіх
road дорозі
found знайшла
principles закономірностей
spanish іспанської
deep глибоко
sault сіль
ordinary звичайний
homer гомер
big великих
refuse відмовитися
names імена
method спосіб
you ти
coloured кольорова
palace палацу
happened відбувалися
father батька
writer письменників
man чоловіка
elections голосування
cultural культурного
industrial промислові
spirit дух
national національних
get отримують
hotels готелі
size розмір
donbas донбасу
results результати
serve служить
develops розвиває
work роботу
power сила
complex комплексу
paris париж
organization організацією
cycle циклу
catholic католицькі
singapore сінгапур
or или
division дивізія
research досліджень
daughter дочки
sorrow жаль
cup кубка
started започаткував
romania румунія
university університеті
electricity електроенергії
properties властивість
formed складалися
elaboration розробці
moment моменту
working робочого
ethnic етнічний
prevail домінують
frontier кордоном
right праву
right правильний
model зразком
testament заповіту
uncle стрию
length довжину
continued продовжували
generations поколінь
corners кути
between поміж
understandings поняттями
authorities владою
whole всієї
historian історик
just хоча
group група
cabinet кабінету
march березні
bear носити
important визначні
alteration переробка
green зелених
services послуг
determine визначати
files файли
read читав
rives рив
german німецьку
exposition виставки
footsteps сліди
chronicle літопису
dedicated присвятив
battle битви
pyramid піраміди
composition композиція
form утворюють
tsar царя
cup кубку
formed сформована
michelangelo мікеланджело
statue статуя
nestle припадає
constant постійних
following наступним
and і
house будинок
provision забезпечення
opposition опозиція
logics логіка
residence резиденції
tons тонн
river річковий
legend легенда
creation твором
constructed споруджено
rome рима
childish дитяча
filming зйомка
base базу
continent материка
secretary секретаря
called званих
worthless варто
signed підписали
gave надавали
boyars бояр
professional професійні
combined збірної
differs відрізняється
railway залізничний
my мої
documents документів
opposed протилежних
yaroslav ярослава
under під
popular нар
contain містять
more декількома
some якийсь
precise точніше
alimentary харчової
ambassadors послів
taught навчалися
mistletoe омела
aimed прагнув
monuments памяток
material матеріалу
contemporary сучасного
withdrawal виведення
designates позначає
guests гостей
taylor тейлор
parallelogram паралелограм
somewhere десь
article статтею
long довгий
olga ольга
divorce розлучення
average середньої
dollars дол
service служба
than аніж
day добу
success успіхом
physical фізичних
discoveries відкриттів
other іншого
potatoes картоплю
property майно
name прізвища
depends залежить
aspiration прагнення
holy сан
trident тризуба
detailed детальніше
system системах
maximal максимальна
lviv львівському
own своя
musical музична
aorta аорта
scientists науковці
scientists науковців
divisions розділи
help допомогти
around навколо
legislative заходів
currencies валют
headed очолив
forward вперед
assembly асамблея
elections виборів
y. ю
change обміну
cultural культурними
portugal португальська
sent послав
footballer футболіст
small невелика
yuri юрія
youthful юнацьких
potatoes картопля
positive позитивні
composition композицію
woman жінку
spectrum спектр
project проекту
curved кривої
work твір
predominate переважали
headquarters командуванням
actively активно
dimensions розміри
obtain одержують
cashew кеш'ю
take приймати
additional додаткові
up вгору
building забудова
pedagogical педагогічний
russia росія
always завжди
early ранній
ecological екологічної
science науці
medical медичного
svyatoslav святослава
rating рейтинг
j. j
makes робить
russian руських
larger більшої
preceding попередній
whole ціле
horizon рівень
lost втратила
common спільних
empire імперією
determine визначена
construction будівництва
all усієї
manufacturing виробництва
transition переходом
inheritance спадок
poland польщею
translated переклав
human чоловіка
inferior нижньої
future майбутній
freedom волю
hall зали
west захід
included увійшло
figure стан
memory памяті
rotor ротор
fight боротьба
root корінь
francesco франческо
methods способів
subject сюжетів
museum музей
action вчинки
information інформації
clothes одягу
foreman майстер
made зроблено
poverty бідності
support підтримувати
named названо
platon платона
ten десять
following наступний
everyday побутових
poetic поетичні
further подальшої
singer співачка
series серію
resonance резонанс
direct пряма
religious релігійної
patterns зразками
representative представник
sharpening загострення
knowledges знань
rome рим
every кожна
republic республіку
square кв
artist митця
official офіційний
independent незалежною
organism організму
residence резиденція
middle середньовіччі
mediterranean середземного
big більшим
public відкритим
began почалася
final кінцевого
during ході
flag прапора
finland фінляндії
touristic туристичний
affected вплинуло
byzantine візантійські
rank рейтингу
toronto торонто
beauty краси
branches галузях
face обличчя
mineral мінеральних
close рядом
cinema кінотеатр
was брав
words слова
fourth четвертого
temporary тимчасовий
region об
sites сайтів
development розвитку
thallium талій
marketing маркетинг
settling поселення
it воно
real реально
visible видно
aldehydes альдегіди
daughter дочка
production виробів
acquired набула
africa африки
forms формі
private приватні
full повна
russian російськими
china китаю
composed складала
ukraine україні
work справу
calorie калорія
religions релігій
composition композиції
early ранніх
representations зображенням
previous колишніх
understand розуміють
budget бюджет
fix зафіксовані
aim мету
musical музичної
deep глибокі
deep глибоким
material матеріалом
northern північна
wrote писав
base базових
fc фк
regiments полки
partners партнерами
amos амос
lyrics лірика
kremenchuk кременчук
renaissance ренесанс
mountains горі
north пн
grigory григорій
inflow затока
romanticism романтизм
star зоря
begin починають
important важлива
evidence свідки
recognized визнаний
physical фізичний
proposition пропозиція
different інакше
knight лицар
equal рівні
ban заборона
pope папою
moral моральної
broad широку
below нижче
collaboration співробітництво
monument памятника
greek грецького
following наступних
whole цілу
chernivtsi чернівців
low нижчих
critic критик
justice юстиції
influential впливових
week тижнів
worsening погіршення
hyderabad хайдарабад
temper настрої
chemistry хімії
culture культурі
created створити
skin кожне
current течії
restored відновлено
other iншi
singular однини
renewed відновив
sumatra суматра
hope надія
founded заснували
production продукцію
kharkiv харківський
used користувалися
wrote написана
senior старшого
progress прогрес
salvia шавлія
shows виявляє
resistance опір
january січні
panas панас
stages етапах
chronicle літописи
explain пояснюють
use використовує
independent незалежну
theories теорій
human людські
performed виконані
governors правитель
aftershocks афтершоки
map карта
dostoevsky достоєвський
populated населенню
soviet радянськими
stage сцені
gave давав
decision рішенням
arena арені
individual індивідів
someone дехто
assembly асамблеї
obtained одержав
prague прага
civil цивільних
meaning сенс
efficiency ефективність
refusal відмову
arms гербі
poems вірші
renaissance ренесансу
soils ґрунтів
situated розміщуються
social соціальними
official офіційних
peninsula півострів
locality місцевість
galicia галичині
ends закінчується
palace палаци
sky небо
march березня
load навантаження
contain містить
mathematician математик
don дон
popular популярним
sluice шлюз
russia росії
only тільки
qualitative якісно
induction індукції
theme тему
pushkin пушкін
concrete конкретних
quail перепілка
late пізнього
precursors попередників
and ще
earth земля
elements елементами
weapon зброєю
history история
dialectics діалектика
yearly щорічно
important важливе
event подією
station вокзал
metall металу
thomas томас
sex статі
marine морський
green зелений
live живуть
concept поняття
played грали
judges судді
dynasty династії
architectural архітектурний
demands вимоги
inclusion включення
world світовий
prominent видатний
vigorous потужний
year річного
proteins білків
person особу
star зірок
humans чол
months місяці
mass масові
fear страх
created створених
magazine журналу
half половину
similar подібні
one одному
italian італійська
notes банкноти
execute виконати
my моя
week тиждень
popular народний
holy священної
labour трудових
national національні
deep глибокий
river річкових
practically фактично
lviv львівського
member член
means способів
you тобі
turn чергу
egyptians єгиптян
element елемента
witness свідчать
statistic статистичних
musical музичне
indicator індикатор
territories територій
minerals руд
system систему
bird птахи
use вживати
seas морів
authority орган
property майна
image обліку
defence заборону
right праві
hopes надії
childs діти
voice голос
peter петро
own власні
independent незалежної
main головної
folklore фольклору
hero героя
ruthenium рутеній
network мережі
ivan иван
derivative похідна
block блок
kingdom королівство
religion релігія
territorial територіальних
sources витоки
symphony симфонія
entered увійшов
hardness твердість
girl дівчина
residence проживання
block кварталі
aesthetics естетики
especially зокрема
bloom розквіту
popular популярний
metabolites метаболіти
mp мп
oppression гноблення
full повне
started розпочалася
entrance вхід
announced проголосила
institute інт
prominent видатним
reptiles плазуни
name прізвище
poet поетом
preceding попередніх
finland фінляндія
lead призвело
religion релігію
poems поемах
lactation лактація
roman римських
area простір
rupture розрив
century вік
educational педагогічних
matrix матриці
question запитання
organs органам
went пішов
translation переклад
prince князь
chemistry хімія
actions діями
person особам
principal головними
made зробив
lyrics лірики
some деякими
love кохання
film фільму
order наказом
lands землі
external зовнішнє
accidentally випадково
precipitation опади
mushrooms грибів
sick хворих
camp табору
triangles трикутників
so настільки
league ліга
ii іі
differences різниці
books книжки
come приходить
suffered зазнав
demanded вимагала
service службу
consists полягає
derived похідна
prices цінах
sometimes інколи
hoffman гофман
grounds підставі
quiver сагайдачний
rows ряді
factories заводів
period періодом
work робота
delivered виданий
herodotus геродот
bases основи
formed утворили
happen відбуваються
world світових
houses будинки
chersonese херсонес
mihailo михайлом
embroidery вишивки
future майбутніх
university університету
cruelly жорстоко
meat мясо
association асоціація
transport транспорт
humans людьми
french французькі
realized здійснено
golden золотий
he він
icon ікона
determined визначенні
skill майстерність
resources ресурси
marine морського
hypothesis гіпотези
public громадського
upper верхнього
cape мис
reflect відображають
tendency тенденції
soon незабаром
greeks греками
demanded вимагав
represented представляли
sombrero сомбреро
it вона
also теж
police поліція
netherlands нідерландах
natural природним
task завдання
society суспільством
title назву
comparison порівнянні
republic республіки
quantity кількістю
stocks запасами
clitoris клітора
chains ланцюг
year року
carry несуть
symbols символів
extraction виділення
declaration декларації
propaganda пропаганди
defined визначення
writer письменниця
republics республіках
relation співвідношення
ukrainian українській
half половині
seeds насінні
concrete конкретний
jews євреї
base базі
physically фізично
trades ремесла
states штати
sister сестра
contains містяться
announced заявив
rome риму
character персонажі
spine хребет
printed друкованих
opera опера
such такої
volume кн
collaboration співробітництва
developed розвивалися
characteristics ознаки
emancipated визвольного
industrial промисловий
started розпочато
close близькому
divided поділяються
kiev київської
mushrooms гриби
ussr усрр
bandera бандера
island острова
robert роберт
visible помітне
include включають
mind розуму
democratic демократична
tower вежа
named названа
mercury меркурій
affected вплинула
arms рук
formula формула
brothers братів
important важливо
model модель
period строк
opened відкриваються
rights прав
owns володіє
depicted зображені
necessary необхідні
relatives родичів
yugoslavia югославії
online онлайн
organism організмі
external зовнішню
concentrated зосереджені
feudal феодальних
conqueror переможець
war війна
son сином
shevchenko шевченко
ten десяти
philosophy філософії
lore краєзнавчий
camera камера
stages етапі
valley долина
theaters театри
slopes схили
relaxation відпочинку
identical однакові
help сприяють
contents вміст
creating утворюючи
scene сцена
vital життєвого
sun сонце
live проживають
rivne рівненська
strip смуги
along вздовж
positions положенням
religion релігії
list списку
first першої
dimensions розмірах
meeting засідання
branches галузями
systems системах
animal тваринного
status статусу
saw простежується
tragedy трагедії
other іншій
support опору
unitary єдиним
se встановлений
honouring вшанування
appeared вийшов
change зміні
owner володар
october жовтень
german німецькі
trip подорожі
slavic словянської
translator перекладачі
walls стіни
service служіння
ideal досконалості
provided передбачав
realize реалізувати
best найкращі
leaning спираючись
all всьому
recordings записи
less менш
creative творча
created створюється
minerals копалини
stone камені
danger небезпеку
terminated закінчив
essays очерки
galicia галичини
society суспільства
search пошук
speak розмовляють
reinforcement укріплення
continues триває
considered вважали
carpathians карпатська
time пір
group комісію
culture культуру
action дією
appropriated відповідний
one одною
costs витрати
hundred сто
dimensions розмірі
flight політ
