drinking potable
matter materia
complies cumple
considered consideradas
taiwan taiwán
understood comprendido
execution ejecución
incapable incapaz
enlightened ilustrados
turn girar
locally localmente
family familiares
interruption interrupción
nationality nacionalidad
geologic geológicos
towards hacia
serves ejerce
consequences consecuencias
ancestors ancestros
female hembras
cosmetic estéticas
conservative conservadores
act actúan
adolescents adolescentes
satellites satélites
roman romanas
whatever quiera
stripe franja
base basó
entrances entradas
weakness debilidad
themes temas
distortions distorsión
original originaria
back espalda
accountancy contabilidad
been podido
throws lanzamientos
little escasa
pies pieza
left quedado
mainly principalmente
photograph fotografía
meetings juntas
warlock mago
normal normales
emerges surge
wings alas
references referencias
moved trasladado
specific determinada
other otra
entered entraron
wilhem wilhelm
coordinates coordinación
attack atentado
haga do
decisive determinantes
specialists especialistas
iron acero
strand hebra
arrow flecha
recycling reciclado
winds vientos
influence influye
grow crecen
influenced influyó
instance instancia
talking hablando
regimes regímenes
sparta esparta
light ligera
important relevantes
get hacer
squared cuadrada
behavior conducta
introduce presentan
purposes fines
cell móvil
majic magia
french franceses
glands ganglios
make haga
initiation inicio
success éxito
imitation imitación
assassinated asesinado
encourage promueven
volcanic volcánicas
was obtuvo
who oms
mode modalidad
pain dolor
east este
archeological arqueológicos
full lleno
gilt dorado
diet dieta
polynomial polinomios
adequate adecuada
elevated elevados
second segunda
visits visitas
scarce escasos
their su
sacrifices sacrificios
exercise ejercen
considered consideran
performance rendimiento
players jugadores
permanence permanencia
expressionist expresionista
creative creativo
secrets secretos
cyprus chipre
projections proyecciones
bridges puentes
taken llevado
privilege privilegio
explicit explícita
however embargo
employ emplear
enough basta
adopt adoptar
minor leve
sections secciones
measure medida
when cuándo
practice practican
multinational multinacionales
declare declarar
customs costumbres
soon pronto
curve curva
away distancia
deliver emiten
stamens estambres
hatred odio
administration administrativas
single solo
plains llanuras
lo it
beast bruto
reading lectura
grew crecido
diverse diversa
interprets interpretado
lines barras
prayers oraciones
appending añadiendo
advanced avanzados
lack falta
issues ediciones
switzerland suiza
anthropologists antropólogos
nominations nominaciones
ours nuestras
liquids líquidos
synthesize sintetizar
result resultan
fight luchar
victims víctimas
tough difícil
constitute constituyen
emotion emoción
deterioration deterioro
carry llevan
guarantee garantizar
equally igualmente
chronicle crónicas
fits cabe
born nace
batteries baterías
known reconocidas
occupies ocupa
murdered asesinado
mandatory obligatorio
enough suficiente
projection proyección
small pequeños
start empezar
baltic báltico
offer ofrecer
linguistics lingüísticos
play jugar
students estudiantes
or o
one una
higher superiores
coup golpe
reject rechazar
made realizada
through través
directed dirigidos
surpass superar
georgian georgianos
closed cerrado
winning consecución
treatment trató
reoccur recurrir
approach abordar
telescopes telescopios
subjects sujetos
front anteriores
followed sucedieron
mainly mayormente
founded fundada
people gente
agreement arreglo
previous previa
particle partícula
capable capacidad
predominates predominan
rectangle rectángulo
shaped formaron
compound compuesto
powder polvo
clothes ropa
consequent consiguiente
set establecen
invented inventado
dances danzas
mosaic mosaico
arctic ártico
then luego
beverages bebidas
acts actúa
efficient eficaz
especially especialmente
broadcasts emite
border límite
achieved logró
young joven
together junto
twofold doble
will habrá
economical económicas
administrative administrativas
located ubicada
wanted quería
reacts responde
areas esferas
locals localidades
wheels radios
remained quedaron
or u
eleven once
antique antiguo
proposed propuso
find encuentra
vitamin vitamina
replace reemplazar
commander comandante
movie cinematográfica
agreement consenso
grow crecer
theoretician teórica
order fin
lives vidas
intense intensa
group grupo
informations informaciones
trust confianza
discrimination discriminación
revolutionary revolucionarios
shop taller
hog cerdo
decline rechazan
monastery monasterio
fetus feto
electromagnetic electromagnético
watcher vigilante
western occidentales
small pequeña
practice practicar
result resultar
kind tipo
globules glóbulos
liked gustaba
forming formar
shots tiros
following siguientes
elimination retirada
sign signo
band banda
teachers maestros
physical físicos
referred referido
resort volver
statistics estadístico
attainment consecución
agreement acuerdo
looking buscando
fall caída
sins pecados
cytoplasm citoplasma
alternate alterna
reform reforma
gene gen
mills molinos
word palabra
keeps mantiene
field terreno
profit ganancia
put colocó
homes casas
minority minoría
mechanism dispositivos
microtubules microtúbulos
employ emplean
babylon babilonia
captured capturado
relative relativas
europe europa
names nombres
analysis analiza
t pasan
dismiss rechazan
clinics clínicas
sixth sexta
a na
nowadays actualidad
epoch época
american estadounidense
select solucionar
dynamic dinámicas
low bajos
achieved consiguieron
happened sucedieron
awareness conciencia
group agrupa
decreased disminuyó
increased incrementado
consume consumir
used usan
front frente
robe manto
unions uniones
taxa taxones
acquired conseguido
makes elabora
respect respeto
concedes otorga
space espacial
intimately íntimamente
effectiveness eficacia
kilns hornos
prejudice prejuicios
dedicated dedicadas
hearing oído
incomplete incompleta
optic óptico
reconstruct reconstruir
did hiciera
board placa
activities activas
have tenga
charity caridad
critics críticas
pass pasa
distinguishes distingue
edges bordes
secretary secretaría
channel canal
reflections reflexiones
surveys encuestas
reject rechazan
remains permanece
recuperation recuperación
autonomous autónoma
electronic electrónico
multiplication multiplicación
metallurgy metalurgia
porter portería
systems sistemas
cardboard cartón
groups agrupaciones
electronic electrónicos
acquired adquirieron
code codifican
cubism cubismo
abuse abuso
chapter capítulo
has posee
ascendency ascendencia
arrived llegaron
sanchez sánchez
crossings cruces
slopes vertientes
birthrate natalidad
test examen
reveal revela
phosphate fosfato
chosen seleccionados
modify modificar
alphabet alfabeto
ignorance ignorancia
conducted condujeron
closing cierre
accident accidente
grown crecido
widespread extendida
victim víctimas
offer ofrecen
offensive ofensiva
faithful fieles
live viven
recommendations recomendaciones
recuperate recuperar
death fallecimiento
ascribed atribuye
affect afecto
archaeological arqueológicas
gravitational gravitatoria
dilatation dilatación
have presentan
return volvería
combustion combustión
fall declive
sent envió
names nombra
grammatically gramatical
others restantes
prince príncipe
violates viola
round vuelta
preview previos
patrician patricios
root raíz
meet encontrar
activates activa
interiors interiores
gestion gestión
develop elaborada
distinguish distinguir
would debería
cause causar
obtaining obtener
breaks brotes
automobiles automóviles
beginning inicios
palestine palestinos
stellar estelar
augustus augusto
city condado
church iglesia
can pueda
proton protones
due dadas
lands islas
order ordenar
county condado
perhaps quizás
hall paseo
hallucinations alucinaciones
times ocasiones
muscle musculares
roof techo
usually usualmente
twin gemelos
constructs construye
hall salón
communications comunicaciones
willing dispuestos
organized organizado
sporting deportivos
questions cuestiones
remained quedaban
signal señal
recollection recolección
indies indias
founder fundador
freely libremente
zero nula
several varios
future futuro
even siquiera
evolutionary evolutiva
ordered ordenados
plans planes
clitoris clítoris
rare rara
speculation especulaciones
collectives colectivos
around torno
special especial
successive sucesivas
forest forestales
change cambio
grain grano
capacities capacidades
efficiency eficiencia
front fachada
planning planificación
miscegenation capilares
patient pacientes
cellphones móviles
october octubre
estimated calcula
mass masiva
computer ordenador
couple pareja
ingestion ingesta
feel siente
whoever cualquiera
want quieren
code código
trace tracia
constructed construidas
died falleció
favors favorece
take tomar
repercussions repercusiones
lighter ligeros
belong pertenecen
critiques críticas
selenium selenio
close cercanos
juliet julieta
gland glande
supposedly según
crew tripulación
upload subir
common colectivos
pass pase
seriously seriamente
from proveniente
biologics biológicos
lakes lagunas
requires exige
known conocían
assert afirmar
have llevan
angiosperms angiospermas
refusal negativa
prepare preparar
included contenía
amount alcanzan
observed observó
raises plantea
serious sería
consecutive consecutivos
professionals profesionales
property hacienda
asked preguntó
failure falla
unification unificación
gentleman caballeros
causes lleva
shut cerrar
designation nombramiento
got llegó
carries conlleva
released liberada
liberate liberar
protons protones
judaism judaísmo
plasma plasmática
proceed procede
maximum máxima
beads cuentas
recurring periódica
axon axón
keys teclados
recognized reconocidas
gender género
remaining restantes
perform actuar
for pues
serious seria
was venía
combine combina
intended intento
hard duros
oxygen oxígeno
received recibieron
compromises compromisos
achieve logrando
container contenedor
visited visitar
edition edición
adaptations adaptaciones
culture cultivo
tales relatos
capture captar
creature criatura
arrangements arreglos
formed formados
destiny destino
beat ronda
achievements logros
croatia croacia
that aquello
having contar
centers concentra
decree decreto
danish danés
created creadas
relief relieve
advertising anuncio
injection inyección
eighth viii
expectations expectativas
foundation fundación
postulated postula
based basados
took tomaron
descendant descendiente
pipes tubos
derivates deriva
controlled controladas
intestine intestino
complementary complementaria
intent intención
held sostenía
impacts impactos
can puede
chambers cámaras
humanism humanismo
attempted intentaron
recover recuperar
relationship relación
outside fuera
research investigaciones
columbus colón
cause causan
intelligence inteligencia
circles círculos
marked marcada
contained contener
childhood niñez
predominates predomina
national nacional
mineral minerales
flat planas
males machos
described describió
scene panorama
globalization globalización
perceive alcanzan
wave oleada
salomon salomón
incorporated incorpora
opposite opuestos
overcoming superando
schools colegios
were sufrieron
wake raíz
achieve lograr
eukaryote eucariota
speculation especulación
impeded impidió
broken rompió
allele alelos
true verdadero
spinal médula
gave dio
develop desarrollan
winnings ganancias
put poner
break descanso
egypt egipto
better mejor
hpv vph
coast litoral
rhymes rimas
right derecha
ads anuncios
railroad ferrocarril
returned volvió
modern moderno
storms tormentas
deducted deduce
have llevar
worship adoración
main mayoritaria
commonly comúnmente
acids ácidos
assist asistir
technological tecnológico
attempts intentos
prefer prefieren
dysfunction disfunción
gospel evangelio
percentage porcentajes
ceramic cerámica
true verdaderas
fictitious ficticio
stories relatos
curved curvas
probe sonda
produce genera
weather climáticas
chemical química
violent violentos
margaret margarita
insisted insistió
treatment tratamiento
visitors visitantes
imitate imitar
extends extiende
statistics estadísticas
gives da
deforestation deforestación
hat sombrero
definitely definitivamente
olympic olímpicos
limited limitados
fables fábulas
dome cúpula
focus foco
use utilización
stating afirmando
holds porta
trustworthy fiable
rated calificó
stela estela
start comenzar
shape figura
brazil brasil
sets establecía
soccer football
defeat derrota
agencies organismos
archaeology arqueológica
raised incrementado
none ninguno
industries industriales
married casado
egyptian egipcios
spanish castellano
rhyme rima
manage ejercido
very bien
row fila
feudal feudales
quite bastante
lateral laterales
settlement asentamientos
go van
public públicos
distant distante
terminate césar
style estilo
egypt egipcio
imply suponía
land tierra
clinic clínica
personalities personalidades
times épocas
found encontradas
wheat trigo
ancient antiguas
criticized criticó
may puede
reason motivo
imply conlleva
napoleon bonaparte
blanco white
wolf lobo
contestants participantes
huge inmensa
condemned condenado
electromagnetic electromagnética
propose proponen
relies radica
waterfall cascada
worked trabajado
classical clásico
versions adaptaciones
participants participantes
politics políticos
immediately inmediato
titles títulos
plastic plásticos
claims sostiene
forty cuarenta
give darle
preceding anteriores
doing realizando
servants siervos
union unión
preclude evitar
studied estudió
admiration admiración
used usaba
of del
formats formatos
safe seguros
provides provee
deciding determinantes
threat amenaza
should conviene
those esos
letters letras
teachings enseñanzas
associate asocian
crossed cruzada
zoology metatarso
eternal eterno
frames marcos
transform transforman
remained permanecieron
stay estancia
are hallan
goal finalidad
expand expandir
substitute sustituto
increment incrementar
record registro
business empresarial
declared declaró
estates estados
complete completo
specification especificación
telephony telefonía
max mac
race carrera
legends leyendas
ministers ministros
function funcionan
figures cifras
republics repúblicas
followers seguidores
without sin
benefit beneficio
marn arnm
displace desplaza
synthesis síntesis
apocalypse apocalipsis
genesis génesis
increase aumentó
low baja
event suceso
gods dioses
few pocas
terms térmicos
beginning comienzos
commitments compromisos
push empuje
prepare prepara
zone zona
requests demandas
promote fomentar
distinct distintas
easter pascua
transfer trasladar
could podía
proposed proponía
used utilizadas
put ponen
instruments instrumentos
all todos
coding codificación
plan planteó
communists comunistas
reunite reunirse
idleness ocio
with con
parenthesis paréntesis
related afines
refer refieren
monitoring seguimiento
lexicon léxico
nose nariz
sentence sentencia
try probar
fans fanáticos
was era
quartet cuarteto
turkey turquía
lengths longitudes
propagate propaga
alteration alteración
grease grasas
lakes lagos
latest últimas
bibliography bibliografía
treated tratan
lead llevar
except excepto
surface superficiales
utility utilidad
inside dentro
ancient antiguo
become quedar
find encontraban
appendix apéndice
certainly seguramente
uses utiliza
association asociación
his suyos
our nuestra
ribosomes ribosomas
thawing fusión
background fachada
scalar escalar
hemoglobin hemoglobina
guitars guitarras
outstanding relevantes
portraits retratos
employed empleadas
said afirmaba
languages lenguajes
big grandes
suspected sospecha
contest concurso
direct dirigirse
title título
label etiqueta
presenting presentando
will testimonio
done hecho
other otro
drive conducir
aptitude aptitud
tradesmen comerciantes
located ubicado
supercup supercopa
open abierta
nato otan
electricity electricidad
volume volumen
factories fábricas
got llegado
left dejado
baroque barroca
characteristics características
aristotle aristotélica
drinking tomando
saint santa
cell célula
occasionally ocasionalmente
allowed permitían
taste sabor
gets consigue
august augusto
h2o ho
lathe torno
employee empleado
altering alteración
photos foto
be sean
yard patio
destroy derrotar
lymphocytes linfocitos
gnp pib
exposition exposición
my mis
justification justificación
speciation especiación
consumption consumo
essential esenciales
light ligeros
planned planeado
trainer entrenador
owner amo
came venía
educative educativos
breakthrough revelación
groups grupos
described descritas
associates asocia
to ante
toltec toltecas
electronic electrónica
adequate adecuados
created elaborado
inertia inercia
numerous numerosas
specimens ejemplares
rare raro
beso kiss
worldwide mundial
sacred sacro
integrated incorporado
crossing cruces
logic lógicas
fixed fijado
associated asociados
maximum máximo
rational racionales
satisfy satisfacer
effective eficaces
linear lineal
sciences ciencias
clothes vestimenta
glasses vasos
modifications modificaciones
opposition opositores
microwave microondas
slogan lema
terrorism terrorismo
mental mentales
gravitational gravitatorio
have tengo
expressed expresó
sites sitios
contribute aportan
put pusieron
span abarcan
various variantes
observe observar
finalized finalizó
etymology etimología
closed cerrada
soviet soviético
regarding cuanto
minutes minuto
prehistoric prehistoria
fantasy fantástico
track pista
graphite grafito
brutal bruto
continuous continuas
urine orina
weight pesada
was hubo
outdoor descubierta
rich ricos
novelty novedad
tell decirse
cover cubierta
withdrawn retirado
established establecidas
sizes tamaños
ecological ecológicos
gravitational gravitacional
points puntos
the unas
favor favorecer
registered registrados
started inició
literature literatura
surge surgen
dialogues diálogos
serf siervos
identify identifica
botany botánica
president presidente
lofty altas
moved trasladó
like semejante
evident evidente
attempts intenta
turks turcos
copy copia
empiricism empirismo
quadrate cuadrada
below abajo
signed firmaron
intensively intensamente
balance balanza
fixation fijación
satisfy cubrir
counting contar
extend extienden
fleet flota
viewers espectadores
prevent impedir
explains explican
specific específico
establish determinó
release estreno
govern rigen
come llegado
constant permanente
aerials aéreas
provinces provincias
loaded cargado
invasions invasiones
initiated iniciado
placed sitúan
possessions posesiones
surround rodean
profession profesión
mesoamerican mesoamericanos
sensation sensación
accessories accesorios
climate climáticos
wild salvaje
vintage clásico
surrounds rodean
sunday domingo
meter metro
inspired inspirada
set conjunto
book libro
exposed expuestos
organelles orgánulos
headings partidas
subsidies subsidios
revolt sublevados
white blancos
elderly anciano
petals pétalos
wish desea
when cuando
originating originarios
stamp sello
animals animales
put pone
gregorian georgianos
standards estándares
below continuación
stretches extensiones
thrace tracia
use empleó
order vistas
master maestras
attacks ataques
methane metano
civilizations civilizaciones
purchased adquirido
loves ama
independent independientes
opposing opuestas
types tipos
thing asuntos
hold sostienen
analyze analizar
performed realizaba
processor procesador
makeup maquillaje
constantly constantemente
assure aseguró
thermal térmica
concentrate concentran
comedy comedia
influential influyente
orthodox ortodoxos
economist economistas
exposed expone
kept conservado
start comienzo
purchased adquirieron
promise promesa
camp campo
glans glande
some algunas
suffering sufrimiento
searched buscaba
large largos
integrate integrar
as ya
zero cero
lighting iluminación
situations situaciones
counterpart homólogos
determine determina
epidemics epidemias
dates fechas
search búsqueda
manifestation manifestación
socialists socialistas
spheres esferas
traditions tradiciones
food comida
originated originado
pupil discípulo
workers obreros
moon luna
rebuild reconstruir
regimens regímenes
precepts preceptos
missing desaparecido
mountains cordilleras
support soporte
originally originalmente
strike alcanzan
ensemble conjunto
european europeas
daily diarios
guides guías
pilot piloto
strict estricto
behind detrás
stories cuentos
provoke provocar
media comunicación
sure segura
end hecho
oeste west
coastal costera
independently independientemente
passions pasiones
versailles versalles
composition composición
charges cobra
measuring medición
shares comparte
foot pie
celebrated célebre
block bloqueo
minor pequeños
allies aliados
wide ancho
motors motores
constituent constituyentes
frequent frecuentes
cited mencionado
underwater submarinos
english ingleses
cost costo
subjects temáticas
because raíz
own propias
carve grabar
consciousness conciencia
marked marco
interpret interpreta
forced obligado
diaries diarios
my mí
argentinian argentinas
manipulation manipulación
fell caído
documentary documental
sensitivity sensibilidad
operation operación
compensate compensar
period periodo
stains manchas
keeps conserva
appeared aparecía
session sesiones
dull lerdo
check verificar
judea judía
practical prácticos
against contrarios
expected previsto
saw vieron
decadence decadencia
developed elaboró
ways maneras
primitive primitivo
obtained obtuvieron
excellence excelencia
acting actuando
celebrated celebrada
few poca
ancestor ancestro
poor pobre
had contaba
benefit bien
summer verano
navarre navarra
corrosion corrosión
plays juega
made hizo
knights caballeros
last últimos
highlight resaltar
days días
priests sacerdotes
direct directo
flicker parpadeo
outbreak brote
protected protegido
taste gusta
ours nuestro
line fila
photography fotografía
tail cola
tactics tácticas
carving talla
completely completa
adapted adaptada
cord hilo
move trasladar
fully completo
analogue análogo
barrier barrera
string cuerda
peaks picos
could pudo
perception percepción
meaning significación
liberator libertador
election elección
facilitate facilitar
teenagers adolescentes
considered consideraron
legal jurídicos
relativistic relativista
trying tratando
anthropology antropogénico
gradient gradiente
inform informa
understanding entendimiento
usually solía
writings escrituras
initial inicial
standard convencionales
stability estabilidad
economics pib
denies niega
grease grasa
access acceder
june junio
monuments monumentos
creator creador
right adecuada
footage tomás
buddhism budismo
grant otorgó
march marcha
bear soportar
serve servir
void vacío
argentinean argentino
united unidas
expanded expandió
separate separados
handle manejar
female femenina
conclusion conclusión
sea mar
universality universalidad
scheme esquema
throws lanza
appearance apariencia
red rojos
defined define
statements afirmaciones
integrate integran
roles papeles
door usa
support soporta
habitats hábitats
reduce reducen
guideline directiva
varied variado
promote promueve
publicity promoción
diminished disminuido
expenses costes
mount cerro
narrates narra
war guerrilla
intermediate intermedios
pythagoras pitágoras
northeastern noroeste
disputes disputas
surface superficies
natives indígenas
show transmitir
franc franco
sin pecado
inverse inverso
function funcionar
justified justifica
traditionally tradicionalmente
increasing aumentando
author autora
affect afecta
learn aprender
sheet hoja
made realice
lost perdieron
assume asumir
high altos
directed dirigen
hobby afición
front portada
serious graves
truth verdad
venezuelans venezolanos
smooth liso
vertices vértices
involves relaciona
talents talento
valid válida
interview entrevista
provides aporta
substantially considerablemente
failure fallo
businesses negocios
synonymous sinónimo
potential potencial
medications medicamentos
kingdom reinado
grouped agrupan
stravinsky stravinski
champions campeones
reflection reflexión
listing listado
meteorology climatología
writing escritura
fable fábulas
contemporary contemporánea
drives conduce
dimensions dimensiones
east oriente
diminish disminuyendo
others demás
change cambia
nearby cercanas
again volvieron
2 ii
rates tasas
rule dominar
duty deber
planet planeta
believing creyentes
observed observado
opponent adversario
terrestrial terrestre
endoplasmic endoplasmático
modality modalidad
paths caminos
interim intervalo
outbreaks brotes
driven impulsado
opposes opone
crime crimen
moved mudó
traders comerciantes
cleanness limpieza
crash choque
settled resuelto
galaxies galaxias
gives otorga
mystic mística
estate hacienda
cocoa cacao
convention convenio
maximum máximos
ready dispuestos
ball pelota
pump bomba
couple par
whose cuyas
exception excepción
alcohols alcoholes
mixed mixta
energy energía
fortress fortaleza
members integrantes
founding fundador
universe universo
affair asuntos
clear claros
applies decirse
livestock ganado
large gran
used usada
guiana guyana
owner propietario
castilian castellano
hits tocar
due debió
hospitals hospitales
documented documentado
declare dicen
determined determinado
had presentado
like parecido
exercises ejercicios
grandmother abuela
good buenas
observatories observadores
related relacionado
anarchy anarquismo
protagonists protagonistas
literary literarios
last último
suppose suponía
scandal escándalo
historian historiador
chinese chino
impact consecuencias
iraq irak
actual actuales
predict predecir
kitchen cocina
saw veía
back vuelven
models modelos
wars luchas
increases incrementos
superiority superioridad
sport deporte
express expresarse
native originaria
fact facto
assure asegurar
repercussion repercusión
together unidas
hypertension hipertensión
isotopes isótopos
groups agrupación
goals cuantas
conquer conquistar
local locales
inquisition inquisición
destinies destinos
got tenían
usually suele
said afirma
formal formales
adults adultos
keyboard teclado
suffer sufren
informs informa
last última
merchandise mercancías
visions visiones
sell vender
military ejércitos
showed mostrado
relatives familiares
cold frío
issues problemas
playing jugar
perhaps quizá
item noticia
modern modernas
embarkation embarcó
proof prueba
adding aumentando
administration administración
treaty tratado
musician músicos
manufacture fabricar
dark oscuros
summit cumbre
campaign campaña
repertoire repertorio
framework marco
judge jueces
beijing pekín
traveled viajó
picture cuadro
etcetera etcétera
revision revisión
hygiene higiene
erection erección
was fuese
ancient antigua
regions regiones
need necesitan
directed dirigieron
sources fuentes
mortal mortales
understood entiende
tectonic tectónicas
discovery descubrimientos
mere simple
geography geografía
gave dieron
abandoned abandonó
ally aliada
advertisement anuncio
basis fundamento
christianity cristianismo
determines determina
throw lanzaron
constituted constituido
can capaz
chief jefe
due medida
yes sí
deserts desiertos
thermometer termómetro
add agregar
these dichas
adventure aventura
long largo
findings hallazgos
competition competencia
different diferentes
short corta
steadfast firme
radiation radiaciones
inflicted causadas
voltage voltaje
volcano volcán
usually habitualmente
attack atacar
responded comentó
clinic clínico
institutional institucional
topple derrocar
your tu
shirts camisas
homosexuals homosexuales
planning ordenamiento
prog praga
colonel coronel
inspired inspiró
performers intérpretes
sum adición
following siguiendo
focused centró
politics política
prosperity prosperidad
euclid euclides
atomic atómico
discrete discreta
capacity facultad
revealed reveló
galilee galilea
forces obliga
pole polo
havana habana
premise premisa
executive ejecutivo
dark oscuro
plate placa
frequencies frecuencia
marshall mariscal
some cierto
pre-columbian precolombina
fix fijar
grains granos
humidity humedad
hydrogen hidroxilo
it ella
magnet imán
stars astros
circumstances circunstancias
volcanic volcánica
suggest sugieren
organize organiza
seeking buscan
bill carta
wall muros
mortals mortales
creators creadores
conservators conservadores
injured causadas
little pequeña
harshly duramente
negative negativos
characteristic característica
positive positivas
profile perfil
leaves tratan
male masculino
caribbean caribe
shepherds pastores
individuals individuos
width ancho
program programa
violent violenta
expressed expresado
assure aseguran
premiums primas
scope alcance
order encargo
maintained mantuvieron
cheerful alegre
editors editores
homework deberes
lose perder
refer referirse
tape cinta
iran irán
formations formaciones
composed compuesto
files archivos
notices ve
related relacionados
be siendo
discipline rama
incentive estímulos
complete entera
efficient eficaces
name nombre
supported apoyó
marked destacada
constructed construyó
edition editorial
deeply profundamente
alchemy alquimia
noticeable destacados
interpreting interpretando
expensive caro
definition definición
data datos
before ante
discovers descubrimientos
six seis
substantial sustancial
estimate estimación
peripheral periféricos
daughter hija
formed constituida
holland holanda
stay quedarse
place colocar
unable incapaces
denied negó
exercised ejerció
humanist humanista
bank banco
loose perder
periodic periódicas
similar afines
adult adulto
proposition proposición
comedian cómic
membrane membrana
car influyó
cuando when
arguing argumentando
caused motivó
large amplio
businessman empresarios
financial financiera
medical médicos
canadian canadiense
christopher cristóbal
sum suma
tends tiende
wealthy pudiese
oil crudo
came salió
meaning significado
atomics atómicos
write escriben
paradise paraíso
asset bien
buy compra
eagle águila
tomorrow mañana
paragraph apartado
hebrew hebreo
released liberado
doing haciendo
closes cierra
defined definidas
respect respetar
includes consta
disadvantage desventaja
american estadounidenses
gross bruto
risk riesgo
time horario
manifest manifiesto
oriented orientado
brake parten
built construyó
contribution contribuciones
period período
sitting sentado
reporters periodistas
of de
medal medalla
classics clásicos
had hubiera
philosophy filosófica
enemies enemigos
grounds suelos
catholics católicos
attack atacan
water agua
process procesar
classic clásicas
support soportar
wide ancha
assassination asesinato
forest bosque
designed diseñada
disaster desastres
arrives llegue
kings reyes
rebels sublevados
say afirman
fuel fósiles
determine definir
screen pantalla
born nacieron
dispute conflictos
little poco
familial genéticas
cited citados
tunnel túnel
mother madre
existence existencia
teeth dientes
due debida
broadcast emisión
schools escuelas
mass masa
signing firmar
coefficient coeficiente
extremes extremos
regulation regulación
gospels evangelios
play desempeñan
meaningful significativos
inform informe
for per
hard dureza
eager dispuesto
courteous cortés
primitive primitiva
extract extraer
set ponerse
interesting mesoamericanas
return volverse
remains depósito
ascent ascenso
limited limita
that aquél
jimenez jiménez
atmospheric atmosférica
sir señor
tone timbre
identification identificación
skills competencias
seconds segundos
behavior conductas
affects afecta
platforms plataformas
thermidor termidor
closed cerradas
defiance desafío
