crum vụn
dragon rồng
normal thông
defend bảo
animal súc
n. sắn
patio hiên
n. cạc
cow bò
bai bái
scabies ghẻ
coordinator phối
most hết
hall sảnh
party tiệc
sad thiu
surgery phẫu
supine ngửa
rank xếp
seed hột
intermediary trung
year nhuận
government phủ
hatred hiềm
sandal dép
v bám
intelligent khôn
warping vểnh
collect gom
glorious hách
eighth viii
territory thổ
dizzy choáng
change thay
integrity vẹn
other ta
moisture ẩm
secret bí
press bấm
estate điền
align gióng
v dội
aroma hương
medal mề
pants quần
v. bỏ
saying câu
time phen
display bày
breast ngực
punish phạt
empire đế
new mới
technical kỹ
trust niềm
sign dấu
gate cổng
commit cam
then rồi
stuff nhồi
duan duẩn
ha há
bring đem
second giây
teeth răng
n con
nazi xít
national quốc
decision quyết
car tô
protect bảo
frank thắn
disadvantaged thòi
v. siết
waste thải
bamboo trệ
rise mọc
v. tranh
jellyfish sứa
saw cưa
jar vò
n. |tên
fashion mốt
sculpture điêu
of của
summer hè
n. ứng
n. dấm
n. đay
revolution mệnh
guy gã
break rạng
quoting chợt
simple dị
business buôn
much lắm
slavic slavơ
for chở
debauched trụy
magic ảo
terms khía
lush suê
foot phút
monkey khỉ
sweat hôi
crest mào
dam đập
bright xán
staff gậy
excite kích
or cu
stain ố
encountered gặp
open há
perfect vẹn
dry khô
pin ghim
serious căng
n. nang
rough thô
row chèo
rising rông
n. cẩu
meet họp
bait nhử
said noi
pure túy
effectively đắc
village khóm
connection nối
rhythm nhịp
v. khẳng
he cậu
breakpoint dừng
v xoá
v bê
relation hệ
response ứng
v ngờ
square thửa
lock khoá
approximately xấp
sex dấm
purple tím
each mỗi
temporarily tạm
wrinkle nhăn
mate xê
escalation thang
motorcycle môtô
cricket dế
district lỵ
bank ngạn
slot khe
reach vươn
n. quẻ
defame phỉ
cap nắp
porcupine nhím
ferry phả
lack khiếm
dispose tống
rua rứa
accommodation trọ
indolent biếng
island đảo
magic ma
alum phèn
system hệ
children nhí
broth lèo
appropriate hợp
emotional chồn
threaten đe
sew khâu
n. vong
reward trao
caress vuốt
salt mặn
waterfall ghềnh
n. báo
kind dạng
move di
bad xúi
huong hường
deposit đọng
date hò
increase cường
which nào
plant trồng
central ương
hip hông
decide quyết
rise lên
interrupt ngắt
terrorism khủng
gon gòn
dose liều
n. viên
champa chămpa
chicken gà
v. lách
membrane niêm
beam chùm
tuck gài
left trái
shake lắc
impoverished cằn
mu mù
n. nitơ
year nǎm
mercilessly thừng
deter kiềm
monday hôm
cut xắt
v. kẹp
resplendent chói
heart lòng
welcome hoan
every hàng
n gòn
three tam
advocate bênh
envy ganh
leprosy cùi
shirt áo
direction hưởng
green lục
or câu
v bước
v. trích
homosexual lưỡng
related liên
abstinence khem
still vẩn
axillary nách
v. vuốt
certain chắc
right quyền
other biến
distress quẫn
the ban
argue cãi
critical gắt
hesitate chừ
n. củi
v. chững
discharge xả
never giờ
v. sót
castrate thiến
stripes vắn
conservative dặt
n phổi
way thức
braided bện
millions triệu
that nấy
medium trũng
index trỏ
enzymes enzym
dental răng
v kê
n. khánh
large lớn
damaged hỏng
decayed sún
v. thưởng
talent tài
gentle hiền
xe xẻ
partner bạn
flash lóe
flashing chớp
tendon gân
consumption thiu
ending kết
v. vùi
n hương
leave rời
damage hòng
wear diện
habit thói
chromosome nst
extra nhuận
rounding tròn
v. tránh
and gái
racket vợt
closed kín
chieftain sỏ
above trên
fabric vải
breezy phới
minded hòi
proper đắn
v. tráng
resonance nguyệt
dirty bẩn
nun ni
surinam suriname
ze trạch
come tới
yet yết
v. xiết
beam dầm
term thuật
n. máy
harvest gặt
n. kiểu
barca barça
reliable cậy
fiber sợi
magma macma
pile đống
but song
n. ke
promiscuous chạ
drift trồi
thing điểu
brazil são
application ưng
rich giầu
sacred thiêng
nhu nhừ
friable bớ
open hở
effort nỗ
v. bẻ
basic bản
tell mách
humiliated bẽ
persistent bền
gaping loét
crescent thiềm
age tuổi
flexible dẻo
disturbed khoăn
paper tờ
team toán
by bởi
biro bíró
faith tín
gruel cháo
hem viền
workshop xưởng
concept niệm
hole hốc
cleft sứt
nude khoả
v. ngửa
streak vệt
attitude thái
deserve đáng
n. tali
green xanh
defamation phỉ
v. vểnh
moment khắc
hovers đênh
excuse cớ
directory bạ
thousand vạn
full rẫy
moon trăng
toss búng
n anh
peninsula đảo
swear thề
lettuce lách
cheeks má
breathe thở
colander rái
grapes nhờ
liar tráo
select chọn
customer khách
kip kịp
base bệ
hometown quê
reinforce củng
n. sào
happy sướng
farewell tiễn
concept khái
picture ảnh
european châu
night dạ
coconut dừa
armenian armenia
black đen
she cỗ
v. ném
illustrious lẫy
thick rậm
give cho
thought tưởng
reproductive sinh
male đực
gilt thếp
cut cắt
swedish thụy
participate tham
climb trèo
n. phút
good tốt
tube ống
nests sào
solf dịu
n. thóc
vibrant sôi
country đất
grade lớp
oak sồi
n. rủi
arrogant ngạo
landslide lở
body thận
rene rené
access truy
bureau phòng
drug tuỳ
hexagram quẻ
slice chần
bag bịch
preeminent ưu
hotel sạn
admire khâm
twilight vạng
make làm
girl đưa
n ngục
quiet lặng
remnant dư
scrub xát
row dãy
welcome nghênh
pemmican ruốc
stall quầy
chan chặn
n. bảy
tumultuous xao
cat méo
period quãng
individual cá
bullet đạn
bai bãi
humble mọn
gun súng
way lối
file giũa
pan chảo
genoa genova
poem thơ
install cài
when thoạt
v. phóng
fishermen ngư
billion tỉ
childhood ấu
portrait dung
sick ốm
fish cá
intimate mật
tubers cũ
men ông
restrain chế
hazy muội
demand đòi
not khống
upset bực
insect bọ
wrathful phẫn
one một
obstinate dẳng
shot băn
kilometer kilômét
kaka kaká
silence câm
party ðảng
rush vã
admire mộ
marry cưới
back lưng
rate lệ
popular chuộng
disperse tản
n lương
n. oát
wide rộng
type gõ
run chạy
yard sân
lane ngõ
bag tủi
judge phán
rarely hoi
n ngũ
pass đỗ
not không
memories ức
disc đĩa
step bước
overall xuyến
of nhận
rpt rtp
gender gioi
ape vượn
sow gieo
n. huyền
v. núp
project đắn
leather da
recommend khuyến
mandarin quýt
n lề
v. bền
hao hạo
v. gạt
caribbean caribe
huge khổng
entangled rối
lion sư
full toản
naughty ngợm
disorder rối
consequence lụy
card thẻ
hepatitis viêm
semen dịch
descendant duệ
v. ấn
example ví
country nước
times gấp
fit đợt
shrimp tôm
n. thói
rumour đồn
we tà
steal chôm
leap nhâm
rac rác
condom su
attack lăn
worry lắng
consistent kiên
kong kông
n. quận
hello chào
destroy sập
recommend gắm
inflate phồng
hope vọng
lift xốc
teach dạy
v. lột
greek lạp
tumult xôn
sage hiền
twelve xii
eight tám
boss trùm
oval xoan
n. muống
v rủ
normally thường
n. nạn
ten lăm
organs phèo
cradle nôi
japan nagasaki
little tí
admiral đốc
v. thò
clothe áo
day khánh
digging quật
religion giáo
fluid nhớt
clean dọn
hooves vó
small xíu
teaching giảng
bullion nén
n. khối
contributed gộp
safe két
pleasure cảm
pile cọc
valley thùng
old xưa
thousands muôn
armchair bành
lowly mọn
adj mệt
grateful ơn
potato củ
native xứ
thrifty kiệm
plant cỏ
put cắm
interlacing chịt
story truyên
transmit qua
escalation leo
hungry đói
he ngải
snipe tỉa
she cô
light sáng
fixtures đạc
uranium urani
we tã
method biện
five lăm
v. chết
tie trói
guangzhou quảng
label nhẫn
n. giây
floating đênh
sun sún
thiem thiềm
crevice kẽ
judge xử
aggregates uẩn
insurance hiểm
stir đảo
mcb tép
hilt chuôi
mine quặng
nigger nhọ
flood lũ
nose mũi
lap lắp
vice phó
hide giấu
father chạ
tri trị
lest kẻo
less ít
n. thửa
buffalo ngưu
sign kí
do lắm
n. dằng
adj vững
satisfy mãn
shell vỏ
hand trao
indignant nộ
rush xông
pagoda chùa
more càng
upside úp
confusion muội
floor sàn
fellatio duyện
president tổng
n. khấu
verse vế
moss rêu
entangle vướng
he gã
hang treo
dedicate tặng
scratch cảo
report tâu
minor mọn
promise hẹn
n. miếng
v. lừa
pen bút
dictionary điển
peeled nõn
n. anđêhít
each hằng
ginger gừng
dimension thước
n. ung
preschool mầm
n. rạp
jar lọ
v. lộn
throw quăng
servant bầy
swamp đầm
pebble cuội
shrine miếu
n. thư
comments bỉnh
develop nảy
included kèm
out phá
parentheses ngoặc
about khoảng
sneaky lút
conscience lương
sun trời
buddhist phật
merge sáp
i cồn
interest lãi
n. khái
wrong chệch
incense nhang
n. võng
evil tà
v. làm
wife thiếp
money ngân
enlighten sáng
cross vượt
guy thằng
rarely ít
dirty dỗ
weak đuối
pc hđh
seconds giây
lure nhử
stand quầy
female cái
valley thung
n. tọa
always luôn
wave làn
squeeze siết
republic hoà
tiny tí
adj nhức
coward nhác
director giám
standard chuẩn
border mốc
fabricate bịa
or cầu
problem vấn
love mến
moreover nữa
health sức
each mọi
oblique xiên
strange quặc
rough ghề
lymphocyte lympho
n. chặng
adj gái
concern trăn
turn-over ngạch
mistake lầm
help giúp
threaten dọa
v. khiến
law rể
great-grandchild chắt
favourable thuận
n ngách
team dội
amount khoản
basket giỏ
fish chài
origin gốc
screw vít
violation phạm
wheat mỉ
v. chấp
straw rốm
report cáo
wild hoang
adj tươi
sharpen giũa
probe dò
cracked nứt
spoiled cưng
sip ngụm
arrest bớ
cover ẩn
almost hết
eye mắt
bad xui
mummy ướp
v thức
kennel cũi
gutters máng
pump bơm
n. khoa
sneaky lén
girl cô
sheep cửu
v. trớn
corn bắp
the dự
desire khao
dim phảng
clever khôn
purpose đích
wood củi
jungle rậm
blood máu
certainly chắc
remove dời
cabinets tủ
disgusting ghê
v. bạ
n đội
last dài
famous lẫy
frugal đạm
meaning nghĩa
marble bi
dune dãi
st. st
me nhớ
village làng
taiwan ðài
noodle bún
commerce buôn
holy thiêng
life thọ
burma miến
helium heli
appoint bổ
fringe diềm
toxic độc
single chốc
n. bậc
colonel tá
moment khoảnh
quynh quýnh
beijing bắc
state nỗi
school truởng
cap mũ
series sêri
urgent khẩn
anti- chống
land đất
hot nóng
lang lăng
like như
intense mãnh
cool mẻ
i trẫm
party đảng
prevent cản
sauce lèo
ceremony lễ
n. phác
bury chôn
preserve mứt
worship cúng
clay nện
category thê
real thực
title nhan
endure khấm
track vệt
v gầm
alley ngõ
gently nhàng
servant tớ
warfare chinh
master thạc
cinnamon quế
happy hỉ
middle vừa
agreeable đồng
dismiss phế
right đúng
mi mị
dodge né
babble róc
n. boong
merchandise hàng
bus buýt
n. ray
crying lóc
loc lộc
foreskin bì
holed thủng
mongolia mông
n nôi
rapidly mau
annual niên
jar hũ
n. sấm
vehicle tiện
n. tam
n. ủy
chan chắn
closing chốt
size cỡ
man nam
n. mắm
misunderstand nhầm
important chốt
expose lộ
thick dầy
encourage lôi
vending dạo
rules qui
decrease giảm
chart bảng
inject phụt
quickly thoắt
and cam
hac hắc
adj tín
identify identity
string chuỗi
laos lào
ill ốm
power bứt
v chà
nationalism tộc
heel gót
pigs lợn
lazy nhác
grace ân
difficult khăn
tortoise rùa
telephone thoại
v. hửu
v viếng
example dụ
n. rong
tight khít
night đêm
hu hử
rivalry kình
litre lít
brass thau
athlete vđv
grow nẩy
n. đò
membrane mảng
ever giờ
plying chuốc
comedy hải
random ngẫu
pearl ngọc
session phiên
closed khép
adj chói
n. bồi
scare hù
serious nghiễm
worse đốn
republic hòa
establishment sở
joke đùa
v. chặn
moan rên
water tát
overhang nhổ
bury vùi
uncle bác
smile cười
bothering ngàng
near gần
neighbor giềng
invite mời
stop ngáng
visit ghé
calmly thản
v dỡ
remorse năn
n. phốt
glove găng
benefit lợi
laborious vả
mish-mash hỗn
urinate đái
join gia
side mé
search kiếm
or đá
level mực
in trong
cheap kiết
gravel sỏi
v tách
adj tham
n. nấc
type loại
noisy ồn
close khép
charm bủa
sickness tật
hey kìa
religious tôn
cook đun
v phanh
own riêng
reel guồng
last rốt
fish câu
v. lắc
pathway đường
n. ni
n. mẩu
curved cong
multiplication nhờn
n thuyền
seventh vii
n cầu
camouflage nguỵ
binoculars nhòm
down cụp
dream mộng
rooster gà
although dẫu
straight thắn
carbon thán
require đòi
patio hiển
turbid lờ
awl dùi
columbia colombia
work hoạt
bright chói
shopping sắm
interview phỏng
spot đốm
find tìm
museum tàng
arch vòm
gear cưa
v. xảy
coat choàng
generative sản
brilliant rỡ
fishery ngư
matthew ơ
ai ái
subtle phảng
appropriate đáng
disposition tánh
dew sương
thuan thuận
v nối
v. nói
majority đa
welcome chao
sinus xoang
boot ủng
n. hóc
power uy
human con
city tp
n bước
support thuẫn
play chơi
mercy xót
bug rệp
tadpole nọc
doubt nghi
bitch đĩ
dak đắk
encircle vây
bag túi
people nẫu
n nẻo
word lời
worth đảng
talented rành
n. chày
taste nếm
rolls giỏ
graze gặm
mosquito muỗi
more bài
n. cua
han hớn
cook nấu
orbit quĩ
dia điạ
hat mũ
fire hỏa
v. tiếc
collapse sập
boring thiu
team kíp
fast lẹ
plots khoảnh
concave lõm
russia nga
chosen lựa
aboriginal thổ
leak rò
n. quán
n. mạch
recruit tuyển
town trấn
chat chát
detective thám
resign thoán
good giỏi
n. bazan
hide trốn
fast nhẹn
verse vần
n củ
venter bắp
n. đức
groove rãnh
show chiếu
seasoned dạn
n. rợ
woman phụ
super siêu
signal dấu
smell hương
v chọc
ridiculous lố
stretch duỗi
number suất
undercover ngụy
malmo malmö
slow chạp
pec péc
n. thổ
wolf sói
son trai
remind nhắc
when khỉ
mep mép
well ngon
twisted xoắn
v dang
hold gánh
concrete bê
excavation quật
melons dưa
fourteenth xiv
os hđh
of thuộc
sprinkle rưới
climb leo
punish trừng
baseball chày
transplant cấy
fly ruồi
cave hang
n nai
adj ái
da đạ
borrow vây
smooth suôn
n. mành
details chi
bloat trương
octopus bạch
training đt
dim lu
n. neo
n. dung
profitable bở
bad xấu
taboo kỵ
marine tqlc
sweet ngọt
n. mai
v. cản
ngo ngọ
game ván
grudge hiềm
v. reo
bulge phình
slanting xiên
care cẩn
v nhử
evidence chừng
shiny sủa
momentum trớn
mixed hỗn
street phố
better trội
cling bám
mirror gương
brand hãng
financial tài
satisfactory mãn
sparse phún
friend bạn
sit ngồi
n. hon
projection chiếu
western tây
excellent tuyệt
be đuợc
captain truởng
leap nhuận
escape trốn
v. nốt
risk rủi
n mái
ridicule nhạo
residential cự
direct trực
prevent ngừa
defeat thua
hope hỷ
n. buồm
compress nén
ms bà
n. virút
draw vẽ
lily huệ
taboo húy
ladder thang
sixteenth xvi
witty dỏm
kidnap cóc
garlic tỏi
conflict đột
song wave
induce xúi
n bùn
reveal hở
keep giữ
i tạo
become trở
welcome đòn
v. trồi
follicle nang
crab riêu
insert chèn
remy rémy
penetrate thâm
seaweed rong
remove dỡ
still im
pillow gối
n. cùi
n. đản
subjects bầy
wine vạng
hair lông
retreat cựa
bich bịch
source nguồn
shampoo gội
drop chúi
rambutan chôm
wet đẫm
slipper dép
sign dầu
control soát
ten mươi
cheap rẻ
n. vựng
gap khe
extreme tột
brilliant lọi
n. đảo
together cùng
a đóa
separate lìa
desolate bơ
water nuớc
roasted răng
the định
written chép
shiny ngời
gateway cổng
polytechnic bách
this này
stretch giãn
v. nấp
hui hủi
percolator phin
trust cậy
teacher thày
tray khay
n. nhan
trap tráp
frontier ải
superhuman phàm
profit ích
welcome đón
fund quỹ
n. hắn
stop dừng
repair sửa
fast sớm
target đích
wide toang
calendar lịch
teeth xỉa
air hỏa
angle góc
n. xương
ro rộ
canceled huỷ
few dăm
trade mại
bottle chai
n mẻ
strawberry dậu
cambodia kampuchea
sparse thớt
collapse gục
release tung
chronicle dã
bright lạn
sluggish trệ
v. vệ
brag lác
moment chốc
transfer giao
mix quyện
afraid sợ
steel thép
jam nghẽn
hump bướu
big lớn
area miền
the chiếc
n. trà
n ổ
oyster ngao
chocolate sôcôla
confine nhốt
sad ủ
n. ông
v. vò
n hươu
adventurous phiêu
line dòng
famous tăm
beetroot dền
prevent ngăn
detached sứt
sew mày
thunder sấm
n. thầy
over quá
short-lived ngủi
turnover ngạch
cd-rom cdrom
board bảng
smelly thối
xo xơ
loaded nập
accommodated duyệt
frederic frédéric
v sụt
n. ngoc
favour huệ
bold táo
rust gỉ
n. quỳ
steel thếp
ginseng sấm
tone giọng
v. hâm
brain não
sweat mồ
to tỏ
impotent liệt
bird nhạn
lord tể
drop sụt
courage dũng
smoking hụt
key phím
singing hót
n. dầu
twine bện
treat trị
v gọt
level san
learn hiểu
greedy tham
group toán
competition thi
n. khoản
calo ca-lo
kiss hít
rated đánh
marx mác
ever bao
temple chiền
n. rễ
intestine ruột
v. dồi
stick lẻ
seashore duyên
persistent dai
romantic mạn
n. cuống
right đắn
battleship hạm
wandering ruổi
exempt miễn
otter rái
disgust tởm
hair tóc
v thở
v. mọc
tomorrow mai
species loại
v thốt
factory xí
sword gươm
omen điềm
counters quấy
concubine thiếp
degree bậc
love thương
watch xem
round tròn
giang giàng
crisp giòn
sex dục
name gọi
football bọng
engraving khắc
describe miêu
core lõi
day mồng
get lẩy
outline cương
they nẫu
sketch phác
penis cu
test thi
vendome vendôme
imprison giam
audacious táo
value xứng
request cầu
variant biến
boiled luộc
v chuộng
still vẫn
sneak lẻn
v. trầy
group tốp
dummy nộm
quay quẩy
general quạt
phone thoải
n. tráp
disease bệnh
alignment lề
bien biên
assemble ráp
faction phế
adjust chỉnh
factory xỉ
broken gẫy
extend duỗi
cotangent cotang
the tượng
piece khúc
light đèn
support đỡ
n. chó
stake cọc
shadow bóng
mean nghĩa
absent vắng
refine chuốt
lotus sen
bo bồ
phung phùng
pelvic chậu
official qui
yoke ách
patchy vá
cat mão
innate bẩm
camel lạc
flood ngập
care sóc
v. đậu
selective kén
vortex xoáy
call gọi
n. chò
no chả
megaman cước
adverse nghiệt
absolute tuyệt
contribute góp
opaque đục
most hầu
n. tháng
wish chục
sport thao
mode mốt
connect nối
side đàng
bath tắm
advise răn
v. thồ
time thuở
souvenir kỉ
then bèn
choose chọn
gem ngọc
tea trà
opposite ngược
sector ngành
n. đê
you ngươi
lime vối
reduced giảm
jaw vòm
graphite chì
peaceful thản
fragile manh
v vượt
n. duệ
chest ngực
meet gỡ
molybdenum molypden
quote trích
man mân
v cưới
dog chó
n. thánh
taste hiếu
bar thỏi
rampage hăng
v. vè
aggressive rầm
pulp búp
endless triền
v. túc
need nhu
honor vinh
general chứng
rekindle nhen
doctor sô
assemble lắp
cheating lận
n. úy
way đường
paralysed liệt
carry chở
machinery móc
incur chuốc
think nghị
disorder xộn
usurpation thoán
extraction chiết
cap cắp
arrowroot riềng
scold mắng
trang trảng
v. lái
commissioner ủy
pour dội
kind lọai
defeated bại
lane lán
day nhuận
ear tại
n. thợ
triumph khải
fat mập
d.c. dc
scrotum bìu
textile dệt
rare khan
collide va
v. hót
carbon cacbua
label nhẵn
register kỳ
break vỡ
urging giục
tensor tenxơ
silly ngẩn
bridge cầu
roman mã
rolls giở
concerned băn
he ngài
urinary niệu
drug thuốc
v. giải
thousand ngàn
range tầm
v. nuối
light ánh
smiling mỉm
half nửa
that đấy
moi mọi
v. đếm
constant sắt
how sao
of sỡ
close gần
hold giữ
v. đùa
superficial thiển
n sảnh
n. ankyl
alter méo
v. vấp
who ai
old xua
rusty gỉ
bap bắp
riu rìu
cover bìa
ca cà
choc chóc
v. xốc
compensate bù
gender giới
maric marić
reserve trữ
a con
bright rực
don đơn
rule cầm
petrol xăng
satisfaction toại
dominant trội
v. tán
v. xen
khan khăn
scale vẩy
compartment ngăn
date gia
usually luôn
kingdom vương
mean tiện
v. xén
n. bom
v. đem
butter bơ
chaos loạn
death chết
phrygia phrygian
tangle chịt
fortunate mắn
series loạt
dysfunction liệt
ro rõ
but chứ
involved tham
francois françois
mound giồng
constellation chòm
v lộ
for đối
bears gấu
general chung
whiz rít
many nhiều
let hãy
body thân
depose phế
v bóp
forum đản
v bới
this nấy
v. khoét
v. giã
spirit thần
dang dàng
ladder thắng
horizontal thẳng
allow phép
curve cong
audience khán
puncture đâm
clutch khư
store cất
drop giọt
international qt
ro rò
alkyl ankyl
lot lọt
bad tồi
advise khuyên
brittle giòn
heaven thiên
wisdom ngời
intend nhằm
cheery sảng
man mắn
meek hiền
cowboy bồi
sine sin
hy hỷ
mallet chùy
home đĩnh
n. ngón
and lẫn
v. đòi
test nghiễm
sunny nắng
spicy cay
c ca-lo
kitchen bếp
pornographic khiêu
bad hủ
n. gian
soybean nành
n. lèo
of nhân
v. rót
yes vâng
have có
casino sòng
member viễn
form mẫu
scissors kéo
beard râu
optical quăng
drainage thoắt
n nó
concession nhượng
mound gò
despite khinh
yen yên
nacre cừ
flexible óng
v. mua
film phim
day hôm
n. dái
wish ước
n. ngót
controversy cãi
v. lìa
hao hảo
mainly chủ
contrition năn
ejaculate xuất
old-fashioned thô
ram nện
crush gục
n. quế
butterfly bướm
exploit lột
n. ách
na ná
has đa
fee cước
model gương
n. sương
n. bát
pebbles dăm
congenital bẩm
fluent thạo
pull kéo
size thuớc
karma nghiệp
depression trũng
width hoành
deep thắm
sorrow rầu
summary khái
excessively quá
for dành
horrible khiếp
money tiền
exhausted quệ
meaning ý
n. thịt
wolfram vonfram
water thuỷ
dotd hướng
evacuation tản
gasoline xăng
champa chăm
clam ngao
sharp sảo
he hẳn
willow liễu
withdrawal lui
smear nhọ
prof. gs
dispel tản
structure trúc
limestone vôi
tuna ngừ
bold đậm
soft xốp
lightning chớp
family dòng
carefully cẩn
maybe thể
platform bục
post gửi
plenty vàn
pious hiếu
n. diềm
ease dàng
stimulate kích
invader giặc
perfect hảo
bracket ngoặc
relation quan
breast vú
terrible gớm
head đầu
n guồng
thousands ngạn
zombie ma
plunder vét
place chốn
v. khước
rank hạng
time thời
enter lọt
kidney thận
fire cháy
decry chê
n. truởng
first nhứt
matches diềm
last cuối
leisure nhàn
v. nuốt
through qua
laugh cười
retire giã
thanks ơn
n. mía
level mức
vehicle xe
tan tần
n. gan
beautiful đẹp
quynh quỳnh
n. ruốc
n. xiếc
dispel xua
curtain rèm
camp trại
happy hỷ
level cập
defense défense
bon four
n. hòn
upward lên
v. ráp
v. đứt
strong mãnh
good ngoan
comfortable thoải
numerous nhiều
doubt ngờ
kill khử
life tánh
han hãn
n. molypden
questions thắc
clean sạch
milling phay
v lượm
motel trọ
combine kết
ward phường
n. quân
minute phút
time gian
v. chôn
fragrant ngát
i ỉ
fireplace lò
troublesome phiền
theater rạp
angle khía
n. tựu
morality đức
the cuộc
basic cơ
pimple mụn
v. gồng
more chi
v khoanh
pottery sành
noon trưa
adj thức
flies ruổi
adj bận
cavity khoang
milling phẩy
label gán
paradise thiên
blind mù
bowl chén
sad rầu
ignorant dốt
n. nhuận
knife đao
document sớ
soak tẩm
register kí
diamond rô
vague mơ
devoted tụy
crown ngai
tax thuế
when thủa
tense cấn
scholarly uyên
oyster sò
calm thản
label nhăn
v. khao
