represent melambangkan
planing dirancang
waist pinggang
condensation kondensasi
win memenangi
cellular klimatologi
protected dijaga
green hijau
people kemasyarakatan
hero pahlawan
kyai kiai
boon anugerah
forget lupa
divider pembatas
appeal banding
features fitur
gradually laun
chairman pimpinan
reads bertuliskan
marketing pemasaran
animation animasi
claver pintar
greatly sangat
commando komandan
characterized dicirikan
alone seorang
vietnamese vietnam
analysis analisis
appearance penampakan
institute lembaga
worship beribadah
guarantee jaminan
migrate bermigrasi
combination kombinasi
introducing memperkenalkan
about soal
catholic katolik
require mengharuskan
proliferation proliferasi
saturn saturnus
blow bertiup
decomposition penguraian
gills insang
hold mempertahankan
edge pinggir
say katakan
shown ditunjukkan
interaction interaksi
create menciptakan
calendar penanggalan
ordinary biasa
breeding pemuliaan
prc rrc
common lazimnya
holiday libur
word perkataan
think berpikir
swimming renang
burn bakar
composition komposisi
overlap tumpang
rod batang
it tas
chosen terpilih
property kekayaannya
underestimate merendahkan
him padanya
difference beda
toned kencang
overall keseluruhan
hatch menetas
strengthen memperkuat
operations operasi
disturbed diganggu
moreover terlebih
paragraph paragraf
accessed diakses
circle bulat
handyman tukang
grain butiran
outer luar
make mengadakan
pioneered dipelopori
finding temuan
exit keluar
induct menginduksi
asked disuruh
fifth kelima
tool sarana
ecstasy gairah
pharmacy farmasi
should seharusnya
convey menyampaikan
wizard penyihir
paper kertas
opponent lawan
revenue pendaratan
periphery pinggiran
religion keagamaan
depend tergantung
strongest terkuat
gallery pameran
appointment pengangkatan
cause sebab
agreed disetujui
alone sendiri
research penelitian
authorities berwenang
closed tertutup
admission pengakuan
irregulars laskar
grams gram
buffalo kerbau
formulation perumusan
compass kompas
strange asing
light menyalakan
viewed dipandang
electronics elektronika
robe jubah
library pustaka
race umat
spice bumbu
jealous iri
friday jumat
sizing membesar
ended mengakhiri
determined ditentukan
evict mengusir
parliamentary parlementer
change mengubahnya
that tersebut
to kepada
read baca
moon bulan
adjusted disesuaikan
have mengalami
mango mangga
design corak
particularly terutamanya
asked diminta
television tv
spreading merebak
start mulai
mainland daratan
tagging menandai
saint santo
used dijadikan
stress ketegangan
announcing dikeluarkannya
liquid encer
cross salib
fight tempur
jupiter yupiter
thinking pikir
lung paru
punished dihukum
aim bertujuan
actor pemeran
easter paskah
worsen memperburuk
get mendapat
available tersedia
popularity popularitas
interpreter penerjemah
medical kedokteran
her pertamanya
art seni
core intinya
create memunculkan
registered tercatat
extra perpanjangan
brothers saudaranya
abbreviated disingkat
loose lepas
billion miliar
decay peluruhan
corpse jenazah
regulation regulasi
cell sel
man pria
perhaps barangkali
housing perumahan
scala skala
solution penyelesaian
antenna antena
bird unggas
scale neraca
base pangkal
towards menjelang
wandering berkelana
specials spesial
extinct musnah
danced ditarikan
drift melintas
bitter pahit
supported diperkuat
one satunya
the die
major mayor
extend memanjang
foot kaki
district distrik
pulling tarikan
resemble mirip
violation pelanggaran
reply balasan
short pendek
defeats mengalahkan
united britania
each per
propagates merebak
described digambarkan
defender pembela
time kala
collected dipungut
comics komik
called dijuluki
murder pembunuhan
extraction ekstraksi
congestion kemacetan
only saja
members anggota
manufacture manufaktur
exception keberatan
story kisah
although meski
page halaman
prison penjara
show unjuk
force memaksa
striking mencolok
uric urat
crew awak
official pejabat
lotus teratai
map memetakan
shopping belanja
resolution resolusi
annoying mengganggu
field ladang
consultative permusyawaratan
example contoh
suggestion saran
translation penerjemahan
titled bertajuk
establishment pembentukan
withdrawal penarikan
toleration toleransi
layer lapisan
overflow luapan
part babak
spread menyebar
see melihat
ravine jurang
game permainan
number jumlah
tomorrow keesokan
explanation penjabaran
marxist marxis
measuring ukur
bear mengandung
put perawatan
slipped terlepas
close menutup
breast dada
traded dipasarkan
spear tombak
point sudut
used dimanfaatkan
enforcement penegak
loss kekalahan
admiral laksamana
former bekas
reciprocal timbal
potency potensi
throne takhta
his desanya
provide menyediakan
arm lengan
presence keberadaan
convince meyakinkan
fired terbakar
crisis kritis
hurdle rintangan
book pustaka
abbreviation singkatan
action tindakan
imitate meniru
graduate lulusan
chlorophyll klorofil
generations temurun
though meskipun
comedy komedi
king prabu
archeology arkeolog
institute instansi
apple apel
stagnation kemacetan
dribble menggiring
coordinator koordinator
monday senen
applying mempergunakan
allow mengizinkan
mother ibu
named bernama
most banyaknya
vision jenisnya
sender pengirim
chapter bab
lack kekurangan
residual sisa
plan merencanakan
so amat
embrace memeluk
distribution peredaran
discussion bahasan
figure tokoh
substance materi
hitting memopulerkan
rate angka
justice peradilan
investigation investigasi
planned berencana
babylon babilonia
confirmed ditegaskan
strong kuat
america amerika
odor bau
mix campur
slightly sedikit
looked ditinjau
cement semen
end diakhiri
transport menghantarkan
approach mendatangi
seasonal musiman
has mempunyai
base alas
set diatur
mount memasang
love kasih
prey mangsanya
deficiency defisiensi
systemic sistemik
handful genggam
deciding penentuan
witnessed disaksikan
setting pengaturan
larvae larva
testimony kesaksian
universal semesta
feel terasa
dinamic dinamika
drop menjatuhkan
come datang
monitored terpantau
enlarge memperbesar
eighth delapan
relation relasi
lecturer dosen
integrated terintegrasi
confirm membenarkan
create buat
desperate terdesak
void kekosongan
he dia
basic baku
device peranti
lending pinjaman
invited diundang
effects sebabnya
alike mirip
hairy berbulu
pointed menunjukkan
contest sayembara
earning pencaharian
pilgrim jamaah
observer pengamat
contained terdapat
forecast prakiraan
any sepanjang
tell bercerita
subjective subjektif
mass massal
formerly tadinya
mature dewasa
forbidden terlarang
frequency frekuensi
prophet nabi
said berbunyi
thing benda
l lc
feudal feodal
make menjadikan
orphaned yatim
musician musisi
grave kuburan
vishnu wisnu
poisonous beracun
referent referensi
wall dinding
autonomous otonom
humidity kelembaban
influenced dipengaruhi
mapped memetakan
mutation mutasi
harbor pelabuhan
welfare kemakmuran
designated ditunjuk
or ataupun
maritime bahari
poet penyair
kind jenisnya
reduce menurunkan
cloth kain
looks wajah
insight wawasan
value menghargai
hills perbukitan
stylish bergaya
structure susunan
globalization globalisasi
attended dihadiri
devil iblis
worth bernilai
degree kadar
textile tekstil
mass massanya
stupid bodoh
debate debat
adopt mengadopsi
checked diperiksa
cons kontra
carbon karbon
kind ragam
leave cuti
resign pengunduran
routine rutin
associated dikaitkan
small kecil
advanced lanjutan
essential esensial
territorial teritorial
encourage mendorong
young muda
vaccination vaksinasi
mongols mongol
but melainkan
believed dipercaya
fetus janin
tale hikayat
axe kapak
industry perindustrian
money uang
all seluruh
producer produser
disc piringan
phenol fenol
sand pasir
singles singel
revelation wahyu
square persegi
hope berharap
multiple berganda
wire kawat
business usahanya
one suatu
gutter saluran
ore batubara
release merilis
sweat keringat
update pembaruan
reasoning penalaran
saturday sabtu
attitude sikap
feel merasa
said katakan
process olah
his albumnya
prokaryote prokariota
parents orangtuanya
villages pedesaan
for untuk
center pusat
decrease mengurangi
poison beracun
brief ringkas
tomb kuburan
sometimes kadang
administration administrasi
later nanti
asset milik
anger kemarahan
stages tahapan
find cari
stick tongkat
hand tangannya
smoke merokok
interested berminat
reveal mengungkapkan
faithful setia
trading dagang
solvent pelarut
army tentaranya
explode meledak
coma koma
natural alamiah
author penulis
catalysis katalis
rely mengandalkan
ready bersedia
funding pembiayaan
worthy layak
obligate mewajibkan
attraction atraksi
accepted diterima
bought dibeli
charge tuntutan
someone seseorang
usage pemanfaatan
superiority keunggulan
disc cakram
umayyad umayyah
implemented diberlakukannya
rail rel
feature keistimewaan
succeed kesuksesan
recording pencatatan
exceed melebihi
elimination menyingkirkan
barn lumbung
migration perpindahan
illustrated digambarkan
cropping tanam
damage kerusakan
orbit edaran
entry masuk
economic ekonomis
radikal lumajang
sea lautan
move menggerakkan
faced menghadap
room bilik
comprehensive menyeluruh
hunger kelaparan
conflict perselisihan
helps membantunya
colonization kolonisasi
confused disamakan
her padanya
facilities fasilitas
increased peningkatan
using menggunakan
dot titik
handle mengurusi
condition kondisi
headed dikepalai
coast pesisir
accentuate menonjolkan
engineering teknik
break beristirahat
microscopic mikroskopik
hanging gantung
said diucapkan
already sudah
location lokasinya
denied membantah
must wajib
face wajah
luck keberuntungan
reduced berkurang
committee komite
further selanjutnya
female perempuan
when manakala
vine merambat
eye matanya
arrested ditangkap
covered dibahas
chile chili
material bahan
status berstatus
duke adipati
hypertension hipertensi
against melawan
story berkisah
heterogeneous heterogen
stem punca
teach ajar
opening pembukaan
algae alga
migrate hijrah
dad ayah
time zaman
colonialism kolonialisme
stitching menjahit
kingdom kerajaan
mentioned dinyatakan
play sandiwara
registrar pendaftar
vacation cuti
sovereign berdaulat
formula rumus
caused diakibatkan
monitoring memantau
ensure memastikan
later kelak
preserve memelihara
graphical grafis
his pertamanya
largest terbesar
enlarged diperbesar
transmitter pemancar
terms syarat
largest terluas
brazil brasil
donate menyumbangkan
excessive berlebihan
ripe masak
orange jeruk
she beliau
blood darah
revision revisi
rhyme rima
kind jenis
cyprus siprus
destroy memusnahkan
times kalinya
welfare kesejahteraan
lost kalah
link pranala
circumference keliling
reluctant enggan
real sesungguhnya
destroyed menghancurkan
vocal vokal
chips keripik
participate berpartisipasi
approach mendekati
historic bersejarah
focus memusatkan
sen nampak
ring cincin
climatology klimatologi
sulphate sulfat
idea cipta
this inilah
interest kepentingan
spur memacu
monument tugu
ukrainian ukraina
when kapan
attend menghadiri
diplomacy diplomasi
performance kinerja
test uji
speak menuturkan
lift mengangkat
posed ditimbulkan
replace menggantikan
prestige prestise
conflict pertentangan
hall balai
rule memerintah
elaboration penjabaran
want mau
remembered diingat
his rekannya
nutrient gizi
choose memilih
mayor walikota
stay tinggal
millions jutaan
lightning guruh
bookie bandar
indicator indikator
eccentricity eksentrisitas
abuse penyalahgunaan
concave cekungan
stop penghentian
tailed berekor
frame kerangka
only sekedar
icon ikon
died wafat
possible dimungkinkan
february februari
praise memuji
encyclopedia ensiklopedia
travel bepergian
adaptation adaptasi
mecca mekkah
organelle organel
guava jambu
drama sandiwara
handicap ganda
chili cabe
authorized disahkan
violin biola
fastener pengikat
brand merek
evaluate menilai
description uraian
adopted diadopsi
tomb makam
important terpenting
accept terima
effect efek
vane baling-baling
seems kelihatannya
hat topi
tropical tropis
clone klon
period periode
spreading menyebar
review pengkajian
humbling merendahkan
burden beban
dancer penari
corona korona
close dekat
ocean lautan
separated terpisahkan
temple candi
test ujian
guest tamu
worship peribadatan
users pengguna
telecommunication telekomunikasi
hunt memburu
sulfur belerang
strong kencang
introduced mengenalkan
reality realitas
recognize mengakui
controversy pertikaian
topic topik
learning penataran
arena kancah
enable memungkinkan
the kalangan
warfare peperangan
tie ikatan
bean buncis
article pasal
revolution revolusi
coincide bertepatan
bro cak
attack melawan
complicated rumit
equipment alat
times lipat
conspiracy konspirasi
discussion pembahasan
immune kebal
experienced berpengalaman
evil jahat
hot panas
its pasangannya
bud tunas
categorized dikategorikan
across melintasi
ozone ozon
here sini
name louis
various beraneka
people rakyat
show menunjukan
assimilation asimilasi
resident penghuni
performance performa
cluster kluster
advanced maju
noble luhur
saying mengatakan
criteria kriteria
guess diduga
jump lompat
democratic demokrasi
monograph risalah
although sekalipun
back punggung
strength kuatnya
autonomy otonom
restore memulihkan
easy senang
run lari
spread menular
happened terjadilah
his lalunya
meet bertemu
flying penerbangan
ribosomes ribosom
sexual seksual
struggle perebutan
show tampil
revolutionary revolusioner
shower mandi
photos foto
method metode
eid idul
gold kencana
vibrant bersemangat
benign jinak
fans penggemar
case perkara
foreign mancanegara
script naskah
bond ikatan
distribute mendistribusikan
finish menghabisi
operation operasi
unity kesatuan
engineer insinyur
for guna
peculiarity kekhasan
kinsman sanak
masturbation masturbasi
treated diolah
plain dataran
poem pantun
surprise kejutan
august agustus
his ayahnya
integrity keutuhan
trend kecenderungan
consume mengonsumsi
count menghitung
logic logis
fictitious fiktif
cortex korteks
comma koma
happening terjadinya
text teks
intact utuh
similar mirip
circle bulatan
accused dituntut
stadium gelanggang
collection pemungutan
ionisation ionisasi
lead mengarah
father bapak
immortal abadi
home rumahan
drive mendorong
reply balas
duty cukai
islamic syariah
supported dukungan
survey survei
cases kasus
case kasus
difficult sukar
him membantunya
heart hati
end akhir
monastery biara
offerings banten
will bakal
service jawatan
running berjalan
aggressive agresif
servant hamba
play memainkan
visit mengunjungi
glue gam
peace damai
physical jasmani
confuse membingungkan
bring mendatangkan
dense padat
that itu
order memerintahkan
circulated diedarkan
burned terbakar
rainy penghujan
quality bermutu
second sekunder
real riil
literature kesusastraan
climb menaiki
profile riwayat
profession profesi
beginning awal
protected dilindungi
disturb mengganggu
psychology psikologi
win menang
verge ambang
exposed terkena
supporter penunjang
spread meluas
sole sol
cheers ceria
exchange ganti
egg telur
continue terus
owned milik
mild ringan
populated berpenduduk
medium sarana
motorised bermesin
homogeneous homogen
access mengakses
school sekolahnya
her sosialnya
responsibility tanggung
erased dihapus
investigated diperiksa
stretch membentang
afflict menimpa
elaborate menguraikan
liquidity likuiditas
throne tahta
payment bayaran
density densitas
womb rahim
revenue pendapatan
clock jam
few beberapa
occurred berlangsung
late lewat
noodles mi
melt mencair
togetherness kebersamaan
praised mahmud
common kesamaan
sense akal
farmers petani
company perseroan
landed mendarat
crash tabrakan
vessel pembuluh
classical klasik
study belajar
itself dirinya
compound majemuk
position jabatannya
team tim
the para
no tak
fall terjun
goal gawang
concentrate berkonsentrasi
customer pelanggan
prescription resep
guess menduga
academic akademi
his tangannya
registration pendaftaran
corruption korupsi
termination penghentian
nerve saraf
role peran
transfer berpindah
celebrate merayakan
friendly ramah
relation kaitan
electronics elektronik
competitor pesaing
required diharuskan
removed dikeluarkan
freedom kebebasan
wheel roda
phone telepon
theoretical teoretis
bacterium bakteri
insistence desakan
shape batuk
manager pengelola
individual perorangan
cofactors kofaktor
judicature kehakiman
teamwork kerjasama
debate pembahasan
subside surut
meeting rapat
encounter menjumpai
license izin
terrace teras
collision benturan
lens lensa
fantasy fantasi
fired diberhentikan
furthest terjauh
shell cangkang
expected diharapkan
eating makan
clan klan
away menjauh
painter pelukis
invisible siluman
bodyguard pengawal
empirical empiris
suggested diusulkan
sacred suci
weed gulma
preparation penyusunan
suffer mengalami
thermodynamic termodinamika
said mengatakan
increase meningkatkan
moon luna
cave gua
provide memberikan
attacker penyerang
expensive mahal
withdraw mencabut
bind lilitan
tragedy musibah
poured dituangkan
literal harfiah
spore spora
had telah
impacted berdampak
sediment sedimen
committee panitia
disaster bencana
contemporary kontemporer
reformation reformasi
origin usul
overwhelmed kewalahan
cambodia kamboja
linguistics linguistik
conscience nurani
gdp pdb
bag tas
thursday kamis
window jendela
ruler penguasa
monetary moneter
based berlandaskan
single singel
established menegakkan
inflation inflasi
botany botani
short singkatnya
traverse melintasi
clarifying penjelasan
west barat
france prancis
gifted berbakat
bowl mangkuk
population populasi
journalist wartawan
changes berubahnya
electrolysis elektrolisis
indian hindia
artificial buatan
refuse menolak
cellulose selulosa
protector pembela
listen mendengarkan
decree ketetapan
alley lorong
required wajib
to sampai
approaching mendekati
shown ditampilkan
native pribumi
pressure tekanan
inevitable terelakkan
collapse keruntuhan
silicate silikat
strait sempit
released merilis
child anak
particle partikel
idol berhala
former mantan
activity aktivitasnya
holsters sarung
distinguished dibedakan
alternative alternatif
only satunya
big besar
location letak
inhabitant penghuni
escort pengawal
pumping memompa
victim korban
surprised kaget
completion penyelesaian
stored disimpan
heaven sorga
guess kira
emergence kemunculan
absolute mutlak
systematic sistemik
eleven sebelas
vegetation vegetasi
herd menggiring
designer perancang
herd kawanan
culinary kuliner
impression kesan
sudden mendadak
concert konser
ceramic keramik
prayer doa
independence kemerdekaannya
remember mengingat
eliminate menyingkirkan
kinds macam
particularly terutama
battle pertempuran
techniques tehnik
triggered dicetuskan
rooted berakar
below dibawah
book buku
consider mempertimbangkan
planted ditanam
differentiation diferensiasi
remember mengenang
problem permasalahan
son putera
concentrated berkonsentrasi
fierce dahsyat
mercury raksa
transcription transkripsi
sweden swedia
moluccas maluku
era zaman
mean maksudnya
block balok
if apabila
every setiap
wholly seluruhnya
burning membakar
capital beribukota
develop berkembang
riot kerusuhan
protection perlindungan
freedom kemerdekaannya
sweets manisan
discharge pemberhentian
his rumahnya
recipe resep
heritage warisan
kill bunuh
metabolism metabolisme
defend membela
shining bersinar
maintenance pemeliharaan
imitation tiruan
reservoir waduk
act bertindak
share saham
toad katak
finance keuangan
recovery penyembuhan
opened dibuka
additional tambahan
seized direbut
civil sipil
suggestion usulan
announce memberitahukan
similar sejenis
discuss membahas
care mengurus
fading kabur
characteristic ciri
so begitu
god padanya
appearing penampakan
diversity keberagaman
diligent rajin
undefeated terkalahkan
procurement pengadaan
proving membuktikan
extension perpanjangan
assigned ditugaskan
absence ketiadaan
idea ide
pumpkin labu
road jalan
distance jarak
encumbrance beban
schooling bersekolah
find menemukan
evolute berevolusi
because sebab
indigent fakir
side pinggir
just sekadar
buyer pembeli
worn dikenakan
pull mencabut
promotion promosi
law uu
evidence bukti
stage pentas
hydride hidrida
twenty puluh
deliberate sengaja
duryodhana duryodana
later kemudian
adapt adaptasi
add memperbanyak
solid padat
jump melompat
alchemy alkimia
work kerjanya
oral lisan
subject bahasan
ingredient ramuan
latitude lintas
elder penghulu
nuclear nuklir
consultant konsultan
meaning arti
predicting memprediksi
skin kulit
sort macam
earthquake gempa
taking pengembalian
put menempatkan
teach mengajarkan
divisions divisi
counter tangkis
dog anjing
implementation pelaksanaannya
precept sila
geometry geometri
christ kristus
five panca
transaction transaksi
athletics atletik
temperature suhu
spicy pedas
iraq irak
adopted dianut
feedback balik
wood kayu
substitution substitusi
sheikh syekh
amice amik
volcano berapi
serve disajikan
field sawah
birthday ulang
crosswise melintang
will akan
forever seumur
bureaucracy birokrasi
youngest bungsu
people ummat
connected tersambung
concoction ramuan
glory kebesaran
polluted tercemar
past lalunya
side sisi
surgical bedah
skipping dilewati
replaced diganti
held menggelar
animal satwa
justified membenarkan
his adiknya
embankment tanggul
herself dirinya
reactive reaktif
teachings ajaran
paddy padi
gulf teluk
force dipaksa
announce mengumumkan
held ditahan
biggest terbesar
fertilizer baja
closing menutup
fatigue kelelahan
needed dibutuhkan
death kematiannya
later belakangan
by berdasarkan
respect menghormati
physicists fisikawan
sama with
significance mencolok
bite menggigit
wanted diinginkan
affairs urusan
jawbone rahang
refurbished diperbaharui
organizing pengorganisasian
upright tegak
retired purn
string dawai
most terbanyak
broadcast siaran
numbers bilangan
gift solok
have punya
crowded sesak
respect memuliakan
nomads perantauan
achieve meraih
wives isteri
hand tangan
inherited diwariskan
basin cekungan
ally sekutu
recycle daur
stage panggung
conservation konservasi
diamond wajik
recorded direkam
vow pengucapan
importance pentingnya
growth pertumbuhan
sophisticated mutakhir
storehouse simpanan
decrease menyusut
fellowship persekutuan
died gugur
electrical elektrik
digging penggalian
cut dipotong
smooth halus
reason alasannya
grape anggur
exel excel
suggested mengusulkan
grief kesedihan
against melanggar
support pendukung
coral karang
decomposed diuraikan
paint melukis
issue terbitan
execution eksekusi
inaugurate melantik
freedom kemerdekaan
outweigh berat
deliberately sengaja
subduction subduksi
criminal kriminal
shark hiu
utilize memanfaatkan
derived diturunkan
namely alias
turf gambut
frog katak
trial pengadilan
minor ringan
brilliant cemerlang
direct mengerahkan
twenty xx
middle pertengahan
assault penyerangan
chinese tionghoa
drums tifa
mr. pak
presence hadirnya
noted ditandai
inspection inspeksi
hermit pertapa
bombardment pengeboman
aims bertujuan
archipelago kepulauan
buy membeli
founded berdiri
nickname sebutan
look terlihat
generation generasi
disappear lenyap
accurate akurasi
round babak
powder serbuk
died tewas
grass rumput
ready siap
grouped dikelompokkan
oxide oksida
recall mengenang
gatherer pengumpul
glory kejayaannya
glass gelas
decision putusan
part sebagian
bug kutu
brother saudara
accumulation akumulasi
educate mendidik
divorce bercerai
however namun
commandment firman
permission izin
era tarikh
productivity produktivitas
express mengekspresikan
imagine membayangkan
light lampu
classified tergolong
his musiknya
comercial komersil
limited dibatasi
voting pemungutan
independent merdeka
drawing menggambar
taste cita
tied diikat
operational operasional
little kecilnya
race balapan
control pengendalian
mentioned menyebut
fainted pingsan
storage penyimpanan
exactly justru
people umat
citizens masyarakatnya
lawyer advokat
traveler musafir
bark pepagan
mosque masjid
fresh segar
implementing penerapan
doubted diragukan
proposed diajukan
as sebagai
flow arus
emergency darurat
season musiman
ear telinga
adequate memadai
respect hormat
fish memancing
still tetap
situation keadaan
entry masuknya
ornament hiasan
cable kabel
accurate cermat
beban menjahit
conservation pelestarian
experienced alami
nationality kewarganegaraan
lymph bening
morocco maroko
proving pembuktian
saving simpanan
mainstay andalan
ease memudahkan
ignore mengabaikan
guide panduan
es an
poem puisi
confirm menegaskan
form pembentukan
embryo cikal
retailing toko
variety keragaman
rest istirahat
son menantu
nest sarang
microbiology mikrobiologi
deviation penyimpangan
function fungsi
hide menyembunyikan
shortage kekurangan
rebellion pemberontakan
proportion proporsi
tiny kerdil
livestock peternakan
expected diduga
slaughter pembantaian
manifestation penjelmaan
hi hai
lieutenant letnan
where dimana
freezing membeku
ladies dayang
resign mengundurkan
hard keras
call panggilan
fraction fraksi
prohibition larangan
group grup
speech pidato
recording merekam
dismissal pembubaran
brush sapu
felt terasa
distribution penyebaran
negotiation negosiasi
geology geologi
include melingkupi
operating beroperasi
celebrated diperingati
appreciate menghargai
mind budi
believe yakin
firm tegas
push mendorong
treatment perlakuan
dissolving melarutkan
activity kegiatan
worthy pantas
flight penerbangan
send mengirimkan
candidate kandidat
swim renang
original asli
introduction pengenalan
violence kekerasan
capital ibukota
rice nasi
multi serba
legislative legislasi
sometimes terkadang
aristotle aristoteles
body badan
employee karyawan
borrow meminjamkan
cause mengakibatkan
blessed dikaruniai
travel musafir
statistic statistik
permit mengizinkan
along sepanjang
real jelas
puppet pewayangan
wheat gandum
cube balok
economy ekonomi
signing menandatangani
tolerance toleransi
sovereignty kedaulatan
separated dipisahkan
chemical kimia
cut memotong
educate didik
approach pendekatan
digested dicerna
awesome mengagumkan
scattered tersebar
kick menendang
distribute menyalurkan
trying berusaha
colonization penjajahan
know tahu
stayed menetap
dim redup
latest terkini
varies bervariasi
hydrocarbon hidrokarbon
trading perdagangan
his lawannya
supply penyediaan
screen layar
leadership kepemimpinannya
climate iklim
fundamental prinsip
shellfish kerang
saved tersimpan
mixed mencampurkan
shadows bayangan
directors direksi
volume vol
must harus
supported didukung
force paksa
praying salat
strip melucuti
legitimacy legitimasi
together serentak
semantic semantik
grandchild cucu
invite mengundang
explanation keterangan
seize merebut
carnivore karnivora
technique teknik
follow menganut
shoes sepatu
manifold berjenis
power kekuatan
prioritise mementingkan
fiction fiksi
action bereaksi
concluded disimpulkan
on dilangsungkan
promised menjanjikan
essence inti
happen terjadi
objection keberatan
storey bertingkat
chest dada
success berhasil
empire kemaharajaan
specimen spesimen
raw mentah
hydrochloric klorida
austronesian austronesia
proposed dikemukakan
controlled dipegang
smallpox cacar
substance substansi
detailed terperinci
united bersatu
argue berpendapat
from made
critic kritik
help bantu
emissary utusan
scholar sarjana
sat diduduki
tone bernada
thousand ribu
politic politik
monopoly monopoli
component komponen
david daud
brown cokelat
classified digolongkan
scratch goresan
trends tren
island pulo
porridge bubur
hymns himne
specimens spesimen
explore mendalami
commission komisi
difficult susah
neoclassical neoklasik
pushing menolak
placed ditempatkan
ocean laut
phosphorylation fosforilasi
auction lelang
perform menyelenggarakan
covalent kovalen
mimic meniru
build dibangunnya
occasion acara
purportedly konon
account akun
feature fitur
appearance wujud
time waktunya
roots kecambah
cardiovascular kardiovaskular
group kelompok
seizure perebutan
vampire pontianak
harmony harmoni
verse ayat
certainty kepastian
stock persediaan
pressed ditekan
complication komplikasi
planning merencanakan
given pemberian
aligned sejajar
nature sifat
rank urutan
girl pacar
reinforced diperkuat
identified diidentifikasi
dialect dialek
policy polisi
concept konsep
broken rusaknya
removed dihapus
journey perjalanannya
obstructed terhambat
kind berjenis
colleague rekannya
rules peraturan
ancient purbakala
sensitive sensitif
either entah
stability stabilitas
feet kakinya
warrior pendekar
planned direncanakan
clear jelas
spanish spanyol
sorrow duka
vyasa byasa
dutch belanda
cylinder silinder
trapped terperangkap
agriculture agrikultur
heavy berat
discarded dibuang
consume konsumsi
wisdom hikmah
fox rubah
lover pecinta
crocodile buaya
muscle otot
melting mencair
mud lumpur
community himpunan
election pilpres
fire kebakaran
valuable berharga
negative negatif
lost hilang
welcome menyambut
together bersamaan
animal binatang
classic klasik
erythrocytes eritrosit
his kakinya
function kegunaan
region kawasan
attacking penyerangan
point titik
teaching ajar
cognitive kognitif
dress berpakaian
calculate menghitung
price harga
emphasize menekankan
uniqueness keunikan
competitors pesaing
execution pelaksanaan
dribbling menggiring
listening mendengarkan
society masyarakat
add menambah
founder pendiri
generate menghasilkan
comercial komersial
return kembalinya
fairytale dongeng
bottle botol
presentation presentasi
reach merambah
june juni
twilight senja
facilitate mempermudah
restored pulih
ape kera
forecasts prakiraan
agency instansi
stimulus rangsangan
accounting akuntansi
believer ummat
persistent keras
respectful hormat
obligation kewajiban
decided diputuskan
cape tanjung
autonomic kemandirian
indicate menunjukan
identification identifikasi
nearness dekatnya
disaster musibah
along beserta
position jabatan
double ganda
correction koreksi
asset aset
scouting kepanduan
molecular molekular
more kian
bamboo bambu
view memandang
resulted membuahkan
beside selain
hot terkenal
team milisi
biotechnology bioteknologi
which antaranya
down turun
dozens puluhan
dominant dominan
content muatan
village kelurahan
unexpected terduga
cycle daur
distributions distro
statement pernyataan
