other अन्य
deserted सुन्न
bayan बयान
credit ऋण
interesting रोचक
in परे
ae ऐ
old प्राचीन
kathmandu काठमाडौँ
water हावापानीमा
autobiography आत्मकथा
tarai तराइ
bhutan भूटान
centered केन्द्रीत
devnagari देवनागरीमा
beginning शुरुआत
surgery सर्जरी
fifth पाँचौं
municipality नगरपालिका
administrative प्रशासकीय
incomplete नसकिए
circle अञ्चल
senegal सेनेगल
accept मान्दछ
place स्थल
private प्राइभेट
saint ऋषिलाई
open खुला
inclusion समावेशी
path मार्ग
election चुनाव
attack दौरा
show देखाउँछ
communal साम्प्रदायिक
record अभिलेखमा
tribal जनजाती
inhabitants बासिन्दाहरू
professional व्यापारिक
mouth मुहान
were परे
accused दोषी
place स्थानहरू
bhavishya भविष्य
philosopher दार्शनिक
me मलाई
sagarmatha सगरमाथा
for लाइ
assam आसाम
mobile मोबाईल
have होता
item सामग्रीहरूको
institute संस्थाको
2039 २०३९
amount मात्रा
translation अनुवाद
race जातिको
35 ३५
fifth पाँचौँ
aap आँप
meteor उल्का
describe बयान
nation राष्ट्रहरू
but भएता
control नियन्त्रित
nepal नेपाललाई
weapon हतियार
countries राष्ट्रहरू
got पाए
connect जोडिने
childhood वाल्यकाल
baitadi बैतडी
statue शालिक
1968 १९६८
ideal आदर्श
monaco मोनाको
charge शुल्‍क
end देहान्त
impression छाप
being हुनाले
battering कुट्ने
railway रेल्वे
saint सेन्ट
sector सेक्टर
shore किनार
noon दिउसो
loss हार
active सक्रियतामा
thick घना
wise बुद्धिमान
physical भौतिकी
khadka खड्का
family महिषपाल
joined जोडेर
goddess देवी
armed शसस्त्र
bone खरानी
products उत्पादनहरू
active क्रियाशील
communal सामुदायीक
periodical आवधिक
maximum अधिकतम
taplejung ताप्लेजुङ्ग
their उहाँको
reside बसोबास
banke बाँके
2067 २०६७
found पाइन्छन्
yes यस
lady माहिला
individual व्यक्तिको
foundation जग
expected अनुमानित
sport खेलहरू
continuity निरन्तरता
between बीच
hills पहाडका
for विकासलाई
366 ३६६
food खाद्य
power सत्ता
literate शाब्दिक
grammer व्याकरण
attractive आकर्षक
situation परिस्थितिमा
articles लेखहरू
responsibility कर्तव्य
loss नोक्सानी
bali बाली
or वो
accordance सहमति
rise उठेको
year वर्षे
gija गिजा
god प्रभु
he जो
run संचालीत
crowded गर्दागर्दै
unification एकताको
three तिन
idol स्तुप
help सहयोगमा
office कार्यालयले
hacker ज्ञाता
assumed मान्दै
tika टीका
shiv शिवलाई
happily सहर्ष
attempt प्रयासमा
summer गर्मी
university यूनिभर्सिटी
198 १९८७
tell बताउँछ
follow मान्न
whoever जसलाई
number जनाको
facts तथ्यहरु
yugoslavia युगोस्लाभिया
postponed सरेको
add जोड
adorable मनपर्ने
good राम्रा
successfully सफलतापूर्वक
race नश्लका
put राखेका
road सडक
improve सुधार
public जन
culture सांस्कृति
many कयौ
this इसं
however यसैले
time बजे
maximum अत्यधिक
about सम्बन्धि
places ठाँउमा
accepting मानेर
release रिहा
s एस
samm सम्म
1969 १९६९
use प्रचलनमा
their उनिहरुको
what क्या
serial क्रम
having भएको
remote सुदूर
ruling शासन
suppose मानिन्छन्
now जब
village गाँउ
position पदमा
yellow पहेंलो
jeet जीत
beauty सुन्दरता
dimension मिलि
lek लेक
mild हल्का
interest इच्छा
among मध्येका
reason कारणले
africa अफ्रिकी
separate अलग
dictionary शब्दकोष
contemporary संगसंगै
astronomy खगोल
about सम्बन्धी
2003 २००३
dolakha दोलखाको
called भनिने
unreached अपुग
divide विभक्त
high माथिको
buffalo भैंसी
source स्रोत
space स्पेस
publication प्रकाशन
constitutional संबैधानिक
wealth सम्पति
pyuthan प्यूठान
journey यात्रा
decimal दशमलव
tiwari तिवारी
88 ८८
provide प्रदान
riko रिको
culture छात्र
analyse विश्लेषणमा
translated अनुवादित
decide तय
dang दाङको
start शुरू
person व्यक्ति
post हुलाक
almost लगभग
relation सम्वन्धमा
nawalparasi नवलपरासी
sa सा
tableau झाक्री
time बेला
tale किंवदन्ती
rectification संशोधन
ding दिङ
thanks गनिन्छ
fort गढी
birth जन्म
arrest गिरफ्तार
official सरकारी
above माथि
urban सहरी
expression अभिव्यक्ति
touch स्पर्श
goldsmith सुनुवार
add थप्न
field खेत
europe यूरोपमा
done सकिँदैन
committee कमिटीको
city नगरमा
because किनभने
carrying लिएर
ad सुन
difficulty गाह्रो
centre केन्द्र
english अङ्रेजी
pay तिरो
leather छालाको
hungary हंगेरी
hurt पीडा
made लगाइन्छ
start शुरु
revolution किरांत
difficult अठारौं
recognisable चिनिने
pond तलाउ
physics भौतिक
fifty पञ्चासे
tale किंवदन्ति
africa अफ्रिका
aborigine आदिवासी
sea समुद्रमा
supporters समर्थक
decide निश्चय
army सेनाका
china चीनले
fatal घातक
fifteen पन्ध्र
sanga साँगा
authorisation मान्यता
look झलक
situation अवस्था
congress काग्रेसले
gas ग्याँस
siraha सिरहा
any जहिले
06 ०६
indian हिन्दी
representative प्रतिनिधिहरूलाई
do गर्दछ
59 ५९
reason गराउनु
1947 १९४७
finland फिनल्याण्ड
going गई
minimum न्यून
part खण्ड
whose कसैको
production उत्पादनमा
indus सिन्धु
production उत्पादनहरू
southeastern दक्षिणपूर्वी
fourteenth चौधौं
dashami दशमी
mandir मन्दिर
chapter प्रक्रिया
people मानिसहरु
acceptance स्वीकृति
prevent हुनबाट
festival पर्ब
2025 २०२५
reinstalled पुनर्स्थापित
tourists पर्यटक
date गतेको
made पारेको
state राज्यलाई
website वेबसाईट
jaya जय
control नियन्त्रण
disease रोग
ministry मन्त्रालयको
distributed छरिएर
sukh सुख
brahmin ब्राम्हण
judiciary न्यायपालिका
declaration घोषणापत्र
division वर्गीकरण
strong मजबुत
south साउथ
nuwakot नुवाकोट
in भित्रका
stool मलिलो
two दुई
one एक
ranchi रांची
devanagari देवनागरी
southern दैनिक
strategic सामरिक
class वर्गमा
god परमात्मा
budhi बुद्धि
why किन
above उपर्युक्त
groups समितिहरू
madhyamik माध्यमिक
physics भौतिकीका
constitutional संवैधानिक
tiger बाघका
vishwas विश्वास
aye आए
sending पठाई
afflicted पीडित
accept स्वीकार
surgery शल्यक्रिया
trusted भरपर्दो
near नजिकको
happen हुन्
kingdom राजकाज
members सदस्यहरु
loot लुटपाट
north उत्तरमा
cleanliness सरसफाई
kid किङ
goddess देवीको
buddhist बौध
equipments उपकरणहरू
identity पहिचान
conducting सञ्चालनको
two दुइ
72 ७२
aryans आर्य
comprehensive ब्यापक
conference सम्मेलन
greenery हरियाली
injustice अन्याय
bless उपकार
together सग
part भागको
name रणबहादुर
international अन्तराष्ट्रिय
tarun तरुण
victim शिकार
trade ट्रेड
goddess देबि
revolution आन्दोलनमा
devi देवीका
people मानिसहरू
first अघिल्लो
selection छानिने
member सदस्यहरुको
improve सुदृढ
do गर्नुभएको
increase वृद्धिदर
members सदस्यहरू
1975 १९७५
tele टेली
truth सत्यको
beg भेग
is छौ
shore घाट
poet महाकवि
race जाती
covered ढाकेको
house निवास
country देशमा
clan वंशले
old पुर्याउने
excluding बाहेक
valuable बहुमूल्य
burundi बुरुन्डी
language भासा
yatra यत्र
prose गद्य
internal अर्न्तर्गत
there वहाँ
government सरकारले
world विश्वलाई
thirteen तेह्र
whole गडी
dissolve भङ्ग
corners कन्दरा
livestock पशुपंक्षी
stick लौरो
mountains हिमाल
and अतः
house घरेलु
stole चोरेर
important आवश्यक
19 १९
vehicles वाहन
bhattarai भट्टराईले
both दुबै
only कै
played निभाएका
southern उत्तरपूर्वी
billion अर्ब
animals जीवहरुको
tibetans तिब्बतीहरू
valley फेदी
operate संचालित
republic गणतन्त्र
wikipedia विकिपीडियामा
care ध्यान
species प्रजातिहरू
two दूई
ganga गङ्गा
eligibility योग्यता
north उत्तरी
love प्रेमले
men मेन
land भूभाग
self स्वयं
balance लेखाजोखा
placed स्‍थापना
problem समस्या
cooperation सहभागिताको
2004 २००४
finance वाणिज्य
influence प्रभावमा
animals जनावर
little श्रमिक
quota कोठा
stone ढुंगामा
capital काठमान्डू
name नाउँ
change अपभ्रंश
midterm मध्यावधि
matter तत्व
middle बिचको
achieved प्राप्त
partnership साझेदारी
communal सामूहिक
bada बडा
win विजय
rupee रुपैयाँ
theist ईश्वरवादी
writings कृति
mainly रूपले
system प्रणालीबाट
centre केंद्र
tribals जनजाति
message खवर
signature हस्ताक्षर
usability उपयोगमा
colonial औपनिवेशिक
increased बढी
surname ह्याङ्क्स
garh गढ
exhibit देखाउँछ
nine ९
court दरवार
you तपाईलाई
organised संगठनात्मक
day दिन
see देखे
person व्याक्ती
violent हिंसात्मक
relative परिवारका
lija लिजा
cleaning सरसफाई
urgent अत्यन्त
addressing सम्बोधन
self अहम्
timor टिमोर
do बुनेर
similarity समता
condition स्थितिमा
sujata सुजाता
aerial आकाशीय
lekh लेख
between बिचको
malaysia मलेसियाको
before अघि
known चिनिन्थ्यो
ruling सत्ता
158 १५८
simple सीधा
had भएकोमा
always संधै
symbol द्योतक
area चुरे
alpha α
boulders चट्टानहरूमा
council परिषद्को
whole समस्त
148 १५८
north देखि
created बनाएर
seeta सीता
netherland नेदरल्याण्ड
jungle वनजङ्गल
mantras मन्त्रहरु
stars तारापुञ्ज
related सम्बद्ध
stand खडा
proof सिद्ध
scene दृश्य
siddhartha सिद्धार्थ
reach पुगेर
name रामको
revolution क्रान्तिको
february फेब्रुअरी
alphabet वर्ण
1997 १९९७
upgrade बढुवा
ocean महासागर
century शताव्दीको
high उच्च
gauge गज
sunsari सुनसरी
happy खुसी
flag झण्डा
members सदस्यहरूको
organ ग्रन्थि
forest जङ्गल
possible सकिने
list सूची
10 १०
language भाषा
police प्रहरीको
ratri रात्री
assumed मानिने
name नामले
france फ्रान्समा
houses घरहरू
races जाति
mayor नगरप्रमुख
story कथाको
wandering फिरन्ते
doing गरिदै
alphas आल्प्स
84 ८५
opposite विपरीत
84 ८४
year वर्षअघि
astrology ज्योतिषशास्त्रमा
baseball बेसबल
14 १४
heart हृदय
released रिहा
departmental विभागीय
leading अग्रणी
raksha रक्षा
living बसोवास
list सूचि
between बीचमा
was भएकै
go जाने
editing प्रशोधन
planets ग्रहले
latitude अक्षांश
worried चिन्तित
day दिनु
lakh लाख
abraham अब्राहम
basis आधार
wide चौडा
collective सामूहिक
attack आक्रमणको
verse पद्य
seen देखिएमा
speed तीब्र
time बजेको
kings राजाहरूको
take लिएको
among मध्यमा
geography भूगोल
run सञ्चालनको
view दृष्टिकोण
east इस्ट
carpets गलैँचा
finance अर्थतन्त्रको
set दुबै
middle मध्यभागमा
in-charge भण्डारी
re-establishment पुनर्स्थापना
overall समग्र
lake पोखरी
traveller काठमाडौंका
mahatma महात्मा
born जन्मिएका
races जातिको
temple मन्दिरको
responsibility दायित्व
continent महाद्वीप
freedom मुक्ति
parvati पार्वती
institution संस्थाहरू
uncle काका
diversity विविधतायुक्त
area भाग
blueprint मानक
80 ८०
srivastav श्रीवास्तव
cross क्रस
friendship मित्रताको
transport पारवहन
1 १
completion पूर्णता
settlement बास
together सँगै
committed दृढ
approximately अहिले
autonomous स्वायत्त
attack हाम्रा
zambia गाम्बिया
makwanpur मकवानपुरगढी
beautiful राम्रो
roman रोमानी
announce घोषित
kunwar कुँवर
sahar सहर
established बने
assume मानेर
likewise लगायतका
surname देव
symbol प्रतीक
carpet गलैँचा
system ब्यबस्था
actually वास्तवमा
karnatak कर्नाटक
simple सजीव
corrupted अपभ्रंस
did पारे
why कयौं
is हुन्छ
jammu जम्मू
jalpaiguri जलपाईगुडी
jhalak झलक
worship अर्चना
interest रुचि
many कतिपय
things कुरा
heavy भारी
yoga योग
mythological पौराणिक
priest पुरोहित
poor गरिब
dwellers बासिन्दाको
effort कोसिस
end समाप्ति
route मार्गको
khanal खनाल
cave गुफा
direction गडी
minister मन्त्रीको
passing सा
level स्तरीय
separate अलग्गै
responsibility भार
religion धर्मका
chariot रथ
radhakrishna राधाकृष्ण
sweden स्वीडेनको
soldier सैनिक
kirtipur कीर्तिपुर
hindi हिन्दी
there त्यहीँ
drink स्वरको
works कार्यहरु
humanities मानविकी
running चलेका
types जात
universities विश्वविद्यालयहरू
mahakavya महाकाव्य
are हौ
light उज्यालो
any कुनै
every हरेक
controlled नियंत्रित
kashmiri कश्मीरी
fired निकालिएको
ark आर्क
hermit जोगी
worn लगाएका
where तत्र
published प्रकासित
given छरितो
indulge लग्यो
pure शुद्ध
suppressed पिछडिएका
ago पूर्वका
non गैर
ho हो
close घनिष्ठ
devi देवीहरू
96 ९६
civil सिभिल
contact सर्म्पर्क
people मानिस
home आवास
russia रूसको
shani शनि
many कैयौं
air हावाको
increased बढ्यो
you यु
beginning सुरुवात
available पाईने
go गएर
song गीत
sure पक्का
works कार्यहरू
jupiter बृहस्पतिको
a.d इ
provide दिइयो
polish पोलिश
elephant हात्तीको
surname पाण्डे
1897 १८९७
start शुरूवात
yahi यहि
fulfillment निर्वाह
they उनीहरूले
nearby छेउछाउका
judgement फैसला
fruits फलफूल
any कुनैपनि
offices कार्यलय
kelvin केल्भिन
live बसोवास
court दरवारमा
principle सिद्धान्तको
stress जोर
sample मस्यौदा
familial पारिवारिक
pine सल्ला
since देखिको
profit आम्दानी
so जसबाट
92 ९२
christian क्रिश्चियन
fluid तरल
effort मेहनत
publish अंकित
these यि
construction वास्तु
meeting सभामुख
said बताए
equal सम्मको
liter लिटर
cooker कुकुर
policy ऐन
agriculture खेतीपातीको
wake जगाउन
tribes जनजाति
wikipedia विकिपिडियामा
act नाटकको
name मोहनदास
getting पाएको
revolt विद्रोह
style शैलीले
magh माघ
increase बढीमा
nayak नायक
day दिन्
legislation विधान
national राष्ट्रीय
office कार्यालयहरू
cinema चलचित्रका
hair जटा
lalitpur ललितपुरको
hit प्रहार
dhanusa धनुषा
went बन्यो
kanya कन्या
seen देखिन्छन्
sera सेरा
brussels ब्रसेल्स
reduced घटेर
aspects पक्षहरू
except छोडेर
know थाह
himself स्वयम
popular लोकप्रिय
devil महिषासुर
valley टार
ga ग
solution उपाय
reality वास्तविकता
near नजिकैको
possibility संभाव्यता
are रहेकाछन
fame प्रतिष्ठा
concrete पक्की
rights अधिकारहरु
is हो|
personal नीजि
both दुवै
latitude अक्षांस
peaceful शान्तिपूर्ण
gampo गम्पो
deep गहन
criticism आलोचनाको
accepted मानिन्छन्
primary प्राथमिक
most अधिकांश
doubt चासो
election मतदान
atom अणु
difficulty कठिनाइ
modernity आधुनिकता
times पटक
circle चक्रमा
gita गीता
states प्रान्तहरू
is हुन
message सन्देश
near नजिकका
direct सीधा
cultural साँस्कृतिक
2061 २०६१
quick चाँडै
rising बढीरहेको
martial वैवाहिक
sit बस
census जनगणना
philosophy दर्शनमा
england बेलायतको
involved आबद्ध
eighth आठौं
flat समथर
limbu लिम्बूको
win जित्न
outside वाहिर
begin आरम्भ
similar मिल्दाजुल्दा
sacrifice बलिदान
belgium बेल्जियम
running भैरहेको
hoo हौ
fort किल्ला
he उसले
level स्तरमा
fought लडे
olds बुढो
2011 २०११
1976 १९७६
commodities वस्तुहरु
lake तलाउ
shamsher शमशेरको
language भाषाहरूमा
expansion बिस्तार
macha माछा
star ताराहरू
gauri गौरी
cart रथ
rituals परम्परा
international अन्तरराष्ट्रीय
starting शुरुआत
hill डांडा
radio रेडियो
kidnap हरण
windy बतासे
lake कुण्ड
doing तुल्याउने
mozambique मोजाम्बिक
page पृष्ठमा
putting लगाउन
august अगष्ट
asked गर्नुभएको
town नगरी
branch शाखा
roma रोमा
ayurvedic आयुर्वेदिक
situated अवस्थित
military सेनाका
194 १९४
certificate प्रमाणपत्र
local स्थानीय
school स्कूल
subject विषय
mahakali महाकाली
4000 ४०००
declared तोकिएको
mai माई
rashtriya राष्ट्रिय
fight लडाई
pani पानि
rome रोमाली
rajput राजपूत
mona मोना
welcome सत्कार
mimi मिमि
guard पहरा
mohandas मोहनदास
increased बढ्दो
front अगाडी
october अक्टोबर
paper कागज
durga दुर्गा
explain ब्याख्या
technics कला
khoj खोज
weapons हातहतियार
kurma कूर्म
coconut गडी
culprit दोषी
background पृष्ठभुमि
increase अभिवृद्धि
unified एकिकृत
state राज्यमा
nepali नेपाली
ratio अनुपात
world विश्वले
vagina योनि
importance मान्यता
put लगाएको
ravin रविन
27 २८
wrong गलत
statues प्रतिमाहरू
discussion छलफलमा
mentioned उल्लिखित
botswana बोत्स्वाना
din दिन
tools साधन
knowledgeable ज्ञाता
center केंद्र
blood रगत
paris पेरिस
merit गुण
did गर्नुभयो
integral अभिन्न
professional प्राज्ञिक
nation राष्ट्रसंघ
place ठाउ
caste थारु
son छोरा
for लिएर
last गत
know थाहा
terrace पाखो
available उपलब्ध
success जयस्थिति
day दिने
instruction उपदेश
8 ८
awadhi अवधी
test परीक्षण
moon चन्द्रमाको
president महासचिव
rectangular चारकुने
horoscope राशीमा
defined निर्धारित
hindu हिन्दुहरू
berlin बर्लिन
secondary माध्यमिक
organisation संस्थाले
infinity अनन्त
greek ग्रीक
followers अनुयायीहरू
long-lived अमर
full भरिपूर्ण
house घरैमा
participation सहभागिताको
foreign दातृ
climate जलवायु
truth तथ्यलाई
lovely प्यारो
uttarakhand उत्तराखण्ड
bhavan भवन
giving दिँदै
anything कुनैपनि
last अन्तिम
look हेर्नुहोस
business व्यापार
period कालमा
likewise यसरी
only केबल
meaning प्रादुर्भाव
goddess देवीलाई
form स्वरूप
gram ग्राम
these यी
nonviolence अहिंसात्मक
earlier पर्ूव
rise उदय
home घर
sea समुद्र
done गर्नेछ
parivartan परिवर्तन
norms नीतिको
enter प्रवेश
culture संस्कृतिमा
do गराउँछ
sin पाप
made बनाएर
african अफ्रिकी
self आफ्नै
press प्रेस
made बनाएका
simpson सिम्प्सन
paro पारे
south दक्षिणी
crops अन्न
include शामिल
paksha पक्ष
objective उदेश्य
between बिच
reach पुग्यो
electricity बिजुली
tea चिया
justice न्यायाधीश
interesting मनोरम
sunday आइतबार
ouch आउछ
much जाँदै
against विरुद्धको
types किसिम
praise स्तुति
nayi नए
island द्वीप
living जीवहरुको
fertilizer उर्वर
hair कपाल
state राज्यहरूलाई
forehead निधारमा
thien थिएन
future भावी
about बारे
sit सिट
flower फूल
with संग
together संगसंगै
run संचालित
surname सिंहको
work कृतिहरू
decrease घटेर
achievement उपलब्धि
thousands हजारौं
1940 १९४०
having भै
wone वोन
start सुरुवात
talk वार्ता
vision अवलोकन
five पांच
protection सुरक्षा
mera मेरा
heading शीर्षक
socialism समाजवाद
fulfill सिद्ध
see देख्न
vowel व्यंजन
cyprus साइप्रस
telugu तेलुगु
10th १०मा
final अन्त्य
state अधिराज्यलाई
applied लागु
rise बढेको
festival मेला
under थाले
coronary कोरोनरी
time समयको
madhi माडी
mili मिलि
bhimsen भिमसेन
before अगावै
european यूरोपियन
seen देखियो
eastern पूर्वीय
tibet तिब्बतको
source मुहान
authority प्राधिकरण
proper उपयुक्त
revolve परिक्रमा
russia रुसी
sadan सदन
dew शीत
media मिडिया
mee मी
civilisation सभ्यताका
christopher क्रिस्टोफर
pant पन्त
type किसिमको
satyagraha सत्याग्रह
july जुलाई
computer कम्प्युटरलाई
types प्रकार
handover हस्तान्तरण
facility सुविधाका
blood रगतले
countries देशहरूलाई
project योजनाको
be बन्ने
1961 १९६१
market बजारमा
almost झण्डै
ka क
anesthesia एनेस्थेसियामा
err अं
ru रु
level स्तर
royal शाही
central केन्द्रिय
fever औलो
bhumika भुमिका
who जसले
romanian रोमाली
trunk टाउको
teen तिन
applied लागू
perform निर्वाह
chandra चंद्र
tel टेली
representatives प्रतिनिधिहरू
congress काँग्रेसका
system सिस्टम
being आइरहेको
uniform पोशाक
complete पुरा
is छ
afghanistan अफगानिस्तानको
valuation मूल्याङ्कन
sama सम
sovereignty सार्वभौमिकता
barack बाराक
stanko स्थानको
mustang मुस्ताङ
personal ब्यक्तिगत
geographical भौगोलिक
mee मि
pardon माफी
pakistani पाकिस्तानी
deep गहीरो
area इलाकामा
programmes कार्यक्रमहरु
sage विद्वान
symbolic सांकेतिक
february फरवरी
capital मुकाम
highest उच्च
among मध्यको
chinese चीनी
elected निर्वाचित
multi-cultural बहुसांस्कृतिक
invention अन्वेषण
return फर्के
robust बलवान
science विज्ञानले
s हरूको
resources सम्पदाको
history इतिहासबाट
tribhuvan त्रिभुवन
can सक्छ
ani अनि
have हुदछ
av औ
unable नसक्नु
eurasia युरेशिया
address सम्बोधन
complete सकिने
municipality नगरपालिकाको
famous ख्याती
louis लुई
safety सुरक्षा
sangharsh संघर्ष
surname श्रीवास्तव
district जिल्ला
2054 २०५४
won जितेका
bhaktapur भक्तपुरका
symptoms लक्षण
temperature तापक्रम
settle जमाई
hear सुन्न
person मान्छेले
himalayan हिमालयन
places ठाउँहरू
help सहयोग
majority बाहुल्य
mountains पहरा
thailand थाइल्याण्ड
brought ल्याएर
april अप्रिल
dignity प्रतिमान
article लेख्छन्
georgia जर्जिया
length लम्वाई
start आरम्भ
maker निर्माता
business ब्यापार
dress पोशाक
tunnel गुफाहरु
investment लगानी
needs लाग्छ
campus क्याम्पसहरू
role भूमिका
between बीचको
troop फौज
fourth चौथाई
pandey पाण्डे
measure नाप्न
2060 २०६०
which जसलाई
are छन्|
country देशका
fraction पक्षको
himalaya हिमाल
languages भाषाहरु
marx मार्क्सको
e इ
rainfall वर्षाको
based आधारीत
i म
transformed रूपान्तरण
imagination परिकल्पना
is हुनु
power क्षेत्राधिकार
traditional पारंपरिक
food भोजन
without नभै
23 २३
prayer मन्त्रहरु
feudal सामन्ती
only केवल
adult वयस्क
himself आफुलाई
morale मर्म
verdict काण्ड
work काम
4th ४मा
saying भनाई
jewish यहूदी
618 ६१८
mix गाभी
known परिचित
place स्थानमा
e ई
post पोष्ट
become भइरहने
votes मतहरू
web वेब
use उपयोग
infection संक्रमणको
saif साफ
were थिए
stop रोक्ने
languages भाषाहरू
foreigner फर्किए
continuous अनवरत
vishnu विष्णुले
1989 १९७९
one एउटा
main मूल
tori तोरीको
rupee रुपैया
wards इलाकामा
substance बस्तु
citizens जनतालाई
others अर्काको
fat बोसो
motion गतिमा
enter प्रवेस
composition रचनामा
control नियंत्रित
stopped बन्द
kathi कति
considered मानेका
universe जगत्मा
invasion चढाई
community सामुदायिक
benefits फाइदा
revolution आन्दोलनलाई
year बर्ष
liberal उदार
headquarter मुख्यालय
he वहाँ
manmohan मनमोहन
material पदार्थ
english अङ्ग्रेज
west पश्चिम
discarded उपेक्षा
brazil ब्राजिलमा
arranged व्यवस्थित
great एकदमै
commercial ब्यबसायिक
nowhere कतै
failure असफलता
political रणनैतिक
stationary स्थिरता
god कल्कि
may भई
is गर्छ
small साना
related सम्बन्धको
island टापु
saptari सप्तरी
europe यूरोप
singer गायक
revolution विद्रोहलाई
element तत्त्व
incredible अद्वितिय
person मानीस
for लिई
pile थुम्को
jamaica जमाई
unable सक्दैन
karak कारक
locations स्थलहरु
capable योग्य
did गर्‍यो
kavita कविता
prevail प्रचलित
building भवनको
76 ७६
giant विशाल
2032 २०३२
attack चढाई
period अवधिको
america अमेरिकाको
mart हटिया
proved पुष्टि
careless बेवास्ता
award एवार्ड
countries देशहरू
rituals रीति
47 ४८
fruit फल
happen हुन्छ
stays रहोस्
hilly लेकाली
importance महत्वको
mahottari महोत्तरी
beginning प्रारम्भिक
golden सुनेर
simple सरल
move चल्न
minister महामन्त्री
island द्वीपमा
australia अस्ट्रेलिया
support टेवा
abhishek अभिषेक
meet भेटी
given गर्दछ
ready तैयार
countrywide देशभर
collected एकत्र
unstable अस्थिरता
magazine पत्रिका
contained निहित
these यिनी
palpa पाल्पाको
countries देशहरु
far सुदूर
rajesh राजेश
tharu थारूहरू
defeat पराजित
house बंगलामुखी
north-west उत्तरपश्चिममा
take लिया
increased बढाए
paranormal आलौकिक
degree उपाधि
47 ४७
attempt प्रयास
ghee घिउ
river गङ्गाको
geography भुगोल
ideal नमूना
power तागत
stream धारा
written लेखिन्छन्
english अंग्रेज
division विभाजन
implement उपकरणहरुको
rain वर्षाको
necessity आवश्यकता
use उपभोग
advertisement विज्ञापन
upanishad उपनिषद्
dog कुकुर
problem समस्याहरु
western दक्षिणपूर्वमा
can सक्नु
malaria ईश्वर
movie चलचित्र
depart प्रस्थान
coalition बहुदलीय
kurama कुरामा
bhaskar भास्कर
border सरदर
your हजुरको
arjun अर्जुन
himalaya हिमालयको
communal सामुदायिक
inside भित्रका
is हुन्
made गरिएकोले
vote मतहरू
verification प्रमाणीकरण
etc आदिले
madi माडी
speed गति
n एन
rivers नदीका
eastern पूर्वी
advisor सल्लाहकार
unification एकिकरण
arena मंच
independence स्वतन्त्रता
religion धर्म
appraisal समीक्षा
chandigarh चंडीगढ
spread बाँड्न
worship पूजा
martyr सहिद
committee समिति
kept राखी
bonus भत्ता
group टोली
symbol प्रतिक
inspector निरीक्षक
help टेवा
friday शुक्रबार
engineering ईन्जिनियरिङ्
house खाने
canada कन्नड
stepwise क्रमबद्ध
old बुढो
go जान
no नाई
email इमेल
bael बेल
not नभएर
they उनीहरुको
