will vullnetin
character personazhi
religion feja
son djali
position pozitat
vitamin vitamina
kinds lloje
way terrenin
incur pësuan
sequence rend
apple mollës
summit majës
festival festivalin
improved përmirësuar
stone gurësh
spiritual shpirtërore
features tipare
many shumtë
signal sinjal
cognitive njohës
received pritën
protects mbron
draw tërheq
homeland atdhetarët
speech fjalimin
failed dështuan
stuff sendet
compile hartuar
goods mirave
energy energjisë
talent talenti
almost thuajse
damaged dëmtuar
second sekonda
estimated vlerësohet
arabian arab
neighbour fqinjët
dialects dialektet
grave varri
method mënyrës
valid vlefshëm
note shënim
email miqve
king mbretin
affected ndikoi
hither këtej
communication komunikim
doctors mjekët
religion besim
data dhënat
organic organike
regulations rregulla
magnetic magnetike
villages fshatrat
sociology sociologjia
reform reforma
fundamental themelore
transformation transformimin
travel udhëtimit
could mundën
thing gjë
bodies organe
meet takojnë
colony kolonia
tetovo tetovës
waves valëve
eye sy
america amerika
enter hyri
religion fe
europe europa
love dashuria
there ekzistonte
analysis analiza
attacks sulmeve
come arriti
component komponentë
species specieve
launched nisi
speaker folësit
invasions dyndjet
being qenit
monograph monografi
emphasis theks
were mbajtën
height lartësinë
language gjuhe
traffic komunikacioni
talks flet
revolutionary revolucioneve
change ndryshonin
bosnians boshnjakët
consists përbehet
digestion tretjen
equipped pajisur
institutions institucione
amino aminoacideve
endurance durimi
transform transformuar
soon shpejti
substituted zëvendësohet
essential thelbësore
cast hedhur
jewelry stoli
code kodi
instruments instrumente
representation përfaqësim
relativity relativitetin
eighteenth tetëmbëdhjetë
antichrist krishti
muscular muskulore
microscopic mikroskopike
lucent kulluar
life jeten
right drejtë
switzerland zvicër
castle kështjellë
wide gjerë
said thanë
back kthen
suffered pësoi
meeting takimet
treatment trajtimit
bosnia bosnjës
coordinates koordinatat
morale moralit
follow ndjekin
employees punonjësit
serbia serbisë
these ketyre
many shume
mind mendjen
famous famshme
economic ekonomik
charged ngarkuar
gulf gjiri
profiles profile
bone ashtit
support përkrahjen
concession lëshimin
police polici
mathematics matematikë
themselves vetveten
maybe mbase
face ballë
offensive ofensiva
continuity vazhdimësi
ceramic qeramikë
support mbështetjes
operation funksionimin
attacked sulmonin
body trupore
mention gojë
form formën
stresses thekson
distance distancë
numbers numra
still ende
greek greqishtja
fifty pesëdhjetë
devoted devotshëm
literature letërsi
sale shitja
elected zgjidhet
scientists shkencëtarëve
marks marksit
terrain terrenit
distress ngushtica
atom atome
fighters luftëtarë
conditions kushte
regards përket
singer këngëtare
arctic polare
sets përcakton
requested kërkuar
direct direkt
conditions kushteve
harness shfrytëzohet
given dhëne
rules rregullat
mass masën
abandoned braktisur
military ushtarak
layers shtresa
while ndërkohe
warnings kuptohet
one nji
values vlerave
ability aftësisë
juice lëng
reserves rezervave
extraordinary jashtëzakonshëm
chairman kryetar
information informata
accepted pranuan
clinics klinika
city kavaja
motives motivet
possesses zotëron
brave trima
composed hartoi
exile mërgimit
soil dheut
differentiation diferencimi
gone ikur
representative përfaqësuesi
cinema kinematika
buildings godina
explanation shpjegim
times kohësh
back prapa
twain kadare
debate debat
destruction shkatërrimit
medium mesatar
date datë
least paktën
choose zgjedhje
must duhet
versions versione
academic akademisë
takes zë
divine madhështore
martyrs dëshmorëve
concept koncepti
lose humbi
estimated vlerësuar
decision vendime
visible dukshëm
specific specifike
exhibitions ekspozita
evicted dëbuan
macedonian maqedonase
southern jugore
albania shqipëria
beautiful bukura
forced detyrohej
interrupt ndërprerë
bishop peshkop
gravity gravitetit
malaysia malajzia
program programi
supports përkrah
dushan dushanit
meeting asambleja
structures strukturat
ingredients përbërësit
started filluar
alphabet alfabetin
need nevojën
golf golfit
traders tregtarët
exactly saktësisht
moscow moska
has përmban
idea idesë
consequence pasojë
adapted përshtatur
born lindur
nucleus bërthama
cats macet
indian indiane
india indi
deputy deputet
gravity graviteti
assigned shënuara
georgy gjeorgjia
worshiper adhurues
signature nënshkrimin
supporter përkrahës
specifically konkretisht
chemistry kimisë
ordered urdhëroi
it ajo
equal barabarta
war luftes
built ndërtohen
ambassadors ambasadorët
reality realiteti
computers kompjuterët
simple thjeshta
arm krahun
boys djemtë
fist grusht
force forcën
minority pakicave
poetic poetik
metal metalit
bazaar pazari
domain fushen
enter hynin
woman grua
notes shënime
friend mikun
return kthim
campaign fushatë
telecasting televizive
too tepër
existence ekzistenca
start fillonin
close afruar
homepage fillestare
albanian shqiptare
composition përbërjes
son djalit
crisis krizës
troops trupave
kosovo kosovë
astrophysical astrofizika
security sigurie
interrupted ndërprerë
themselves vetvetes
importance rëndësi
permeate përshkojnë
developed zhvilluan
romantic romantik
tobacco duhani
port porto
palestina palestinë
strong fortë
cult kultit
neck qafë
song këngës
possessions zotërimet
respiratory frymëmarrjes
fortress kalanë
mass masës
continued vazhdonte
in në
services shërbimeve
composition përbërjen
considered cilësohet
ice akullore
army ushtri
signing nënshkrimi
up përbënin
minister ministër
geology gjeologjia
equal barabarte
people populli
humanity njerëzimit
we marrim
transformed shndërrua
connections lidhjeve
mentioned përmendur
here peshë
accomplished realizohet
news lajm
streams rrjedhat
seek kërkojë
states shtetet
really vërtet
representative përfaqësuese
honorary nderi
eternal përjetshme
istanbul stamboll
morality morali
show shfaqja
always gjithnjë
situation situatën
land tokat
study studim
living gjallesat
fingerprint gishtave
transformed shndërruar
ready gatshëm
buildings ndërtimet
ancestors paraardhësit
as sic
politician politikan
subject subjekti
after pasi
tightly fort
cultivable punueshme
built ndërtoi
integral përbërëse
education edukimin
backpack shpinë
han hanit
works veprave
support përkrahur
designation emërtimin
decision vendimi
november nëntor
thought mendohet
free lire
allah allahu
form formës
accepted pranuar
alphabet alfabeti
enough mjaftueshëm
conditions gjendjet
benefited përfituar
sever serveri
forward perpara
believed besohet
poem poemat
occur ndodhin
factors faktorëve
first parë
son djalin
same njejtin
range varg
continued vijuan
coast bregdetin
palace pallati
letters letrave
painter piktor
speech folurit
spain spanjë
acute akute
is ndodhet
honor krenari
back kthyen
summary përmbledhje
mathematics matematikës
medium mesëm
started filluan
leads çon
climate klimën
thirteen trembëdhjetë
communist komuniste
general gjeneralit
enemies armiqve
liberal liberale
real reale
mathematical matematike
conversely anasjelltas
used shfrytëzohet
has gëzon
clarendon lezhes
identical identike
handball hendbollit
extremity skajin
next ardhshëm
brick tullave
dna adnja
introduced futen
prevention parandalimin
languages gjuhë
lord zoti
natural natyral
ruling sundues
continent kontinentit
thermodynamic termodinamik
thesis tezën
simple thjeshte
effects efekte
services shërbimet
feud gjakmarrja
separately vehte
signs argumente
diplomacy diplomacisë
hereafter përtejme
scholars dijetarë
tried përpoqën
define përcaktojnë
level niveleve
times kohërat
cites përmenden
hearts zemrat
folds fishtës
are jane
bucharest bukuresht
time momentin
today sotme
property pasurinë
pristina prishtinë
walls muret
foreign jashtme
goal synimi
club klubit
reservoir rezervuar
stopped ndaloi
unexpected papritur
eat hanë
employee nëpunësit
map hartë
uprising kryengritje
woods drunj
region krahinës
studied studiohet
gender gjinore
being qënë
relief relievi
plans plane
dominant dominuese
articles shkrimet
quite krejt
suffered vuanin
show treguar
characterized karakterizuar
song këngën
geometry gjeometrinë
lawful ligjshëm
parliamentary parlamentar
imf fmn
revival ringjallja
including përfshirë
mother emer
slopes shpate
provinces krahina
topic tema
river lumë
symbols simbolet
faith besimi
subject subjektin
large mëdha
networks rrjetet
spatial hapësinor
recalls kujton
northeast verilindja
writer shkrimtarin
research kërkimore
italy italinë
growth rritje
approved miratuan
wounded plagosur
continent kontinentin
zone zona
construction ndërtimi
computers kompjuterëve
distribute përhap
durrës durrësi
take marrin
youth kosovë
conviction bindje
basketball basketbollit
are jemi
free lira
change ndryshojnë
depressions lugjet
clinic klinika
protected mbrojtura
forbidden ndaluara
bar tivarit
shkodra shkodrën
modern moderne
name emrin
development zhvillimit
experimental eksperimentale
woman femra
most shumicën
inn han
called quante
home shtepi
occurring zhvillohej
relative lidhor
president presidenti
transmission transmetimit
inherited trashëguara
full plota
design projektimin
cult kultin
if qofte
artistic artistike
principe princip
globalization globalizimi
zog zogu
graffiti grafiti
scientists shkencëtarë
back kthyer
planets planetët
brain trurin
based bazuara
dark errët
based bazohet
withdrew tërhoq
invaded pushtuar
level niveli
expected pritej
officials zyrtarët
designed projektuar
support mbështetje
person vetën
orthodox ortodoksë
that se
yard oborrit
marshal mareshali
range sërë
contributes kontribuon
climatic klimë
contribution kontributi
sign shenjë
retreat tërhoq
claimed pretendonte
sought kërkon
financial financiar
albanian shqiptareve
point pikën
near afërsi
most shumtën
forced detyrohet
peace paqeje
equipment paisje
common zakonshme
organizes organizon
climate klimës
principles principet
bodies organeve
contraction trajta
beings qeniet
sexual seksual
established themelua
efficient efikase
apply zbatohet
insurgency kryengritjen
prof. prof
realism realizmi
discussed diskutuar
concerned shqetësuar
coast bregdetit
indirect indirekt
watch shikuar
atom atomi
amount shumës
written shkrua
gases gazeve
thought mendohej
genus gjini
scale shkallë
note theksohet
analysed analizuar
writers shkrimtarët
socialist socialiste
north veriorë
processes procese
uprising kryengritja
albanians shqiptaret
being qenie
road rrugë
saw shihnin
expect presin
call thirrje
pope papa
nazi naziste
knowledge dijes
spread përhapur
pupil fatos
kamenica kamenicë
classic klasike
concept konceptit
ages kohëra
graves varret
gathered mbledhur
boy djali
kingdom mbreterise
rank radhitet
animal shtazore
manufacturers prodhuesit
human njerëzor
see sheh
thinkers mendimtarët
mechanism mekanizëm
treatment përpunimit
management drejtuese
talk flitej
blood gjaku
universe universi
there ekziston
act veprojnë
part pjesën
gold arta
left lënë
quantum kuantike
liberation çlirimi
construction ndërtime
governed udhëhiqet
cover mbuluar
currents rrymës
obtained siguronin
central qëndrore
yard oborr
club klubin
effect efekti
possessed zotëronte
reveals zbulon
biosphere biosfera
sura suren
cold ftohtë
transmission transmetimin
channel kanali
constantine kostandin
mountain malore
princedoms principatave
discovered zbuloi
body organizëm
creature krijesë
products produktet
news lajmet
geneva gjenevë
invaders pushtuesit
gravitational gravitacional
libraries bibliotekat
agricultural bujqësore
grow rritjen
stood qëndruan
literature literatura
pyramid piramidës
tension tensioni
vital jetësore
illyrian ilirik
forced detyruan
equation ekuacioni
line vije
port porti
afghanistan afganistanit
reaches arrin
limestone gëlqerorë
this ky
turkey turqia
friend shokut
individuals individët
substance lende
rituals rituale
my im
concepts konceptet
thailand tailanda
creatures krijesave
goal qellim
date datën
submission dorëzimin
banded lidhi
the fash
revolutions revolucioneve
railroad hekurudhore
hero heroi
stage faze
roads rrugëve
insurgency kryengritjes
stories tregimet
region krahinën
gathered grumbulluar
decisions vendime
themselves vetën
plot komplot
understanding kuptuarit
room dhomën
genre gjini
physical fizik
help ndihmuar
shkodra shkodrës
revival ringjallje
be jenë
requested kërkohej
synthesis sintezën
transmission transmetimi
illyria ilirinë
britain britaninë
respective respektive
said deklaroi
science shkencave
mechanics mekanikën
city berati
holiday festë
tombs varret
authors autorët
therefore rrjedhojë
asia azi
here këtu
economy ekonomikë
control kontrollin
traditional tradicionale
developed hartuan
mainland kontinent
bese besë
gilgamesh gilgameshit
adult rriturit
transport transporti
mention përmendim
hit goditur
act akti
wing krahut
poetic poetike
shipping anijeve
wind erë
translation përkthimin
zerah zekati
determine përcaktuar
western perëndimore
had pasë
together bashkë
blood gjakut
supervision mbikqyrja
away larg
by nëpërmjet
dialects dialekte
eighteen tetëmbëdhjetë
vietnam vietnamit
then atëhere
save shpëtojë
eagles shqipes
hot nxehta
help ndihmën
library librazhdi
father át
flow rrjedhin
variations varianteve
cameri çamërisë
themselves veten
thermodynamic termodinamika
evaluation vlerësimi
immediate menjëhershme
court gjykatë
chinese kineze
all tëra
or apo
organization organizimit
meat mishit
name emrit
district qarku
direction drejtimit
material lendes
investigated hetuar
book vepra
taste shijen
expressed shprehur
human njerëzore
here ketu
rates normave
durres durrës
mention përmendin
retained ruajtën
vapour avulli
remained mbetën
ocean oqeani
vardar vardarit
dictatorship diktaturës
was isha
hitler hitlerit
chemistry kimi
wine vera
friend mik
asia azia
program programit
mechanical mekanikës
situation gjendja
majority shumtën
threat kërcënim
one njërën
temperatures temperaturave
workers punonjësit
notably sidomos
space hapësirë
which cila
fulfillment plotësimin
information njoftime
operation operacion
forty dyzet
nation komb
farm femrat
yugoslavia jugosllav
balkan ballkanik
go shkoj
city maliqit
ourselves vetes
writing shkrimit
safety sigurimi
divide ndahet
dibra dibrës
climate klima
structure strukturës
preserved ruhet
era epokës
nations kombet
pressure presionit
compatriot bashkatdhetarëve
tosca toskë
small vogel
voluntary vullnetarë
state shtetërore
italy itali
egg vezë
second dyte
rules rregullave
helped ndihmoi
constructed ndërtohen
boundary kufiri
itself vetë
hypothesis hipoteza
koran kuranin
many shum
relief reliev
france franceze
poultry shpendët
albanian shqip
feel ndihet
pakistan pakistanit
state shtetin
coming vinin
skill aftësi
case lënda
everything gjithçka
none asnje
anti-ottoman antiosmane
early parakohshme
celebration festa
added shtuar
carbon karbonit
french francezët
lakes liqenet
therefore andaj
known mirënjohur
gorani goran
says thote
understand kuptonte
war pasluftës
materials materiale
shops dyqanet
production prodhim
appearance pamja
photography fotografia
last zgjat
enter hyjnë
performed kryente
dardanian dardane
moment çastin
get merrnin
astronomers astronomët
inside brenda
set përcaktuara
result rezultatet
tested provoi
groups qarqe
magazine revistës
vessels enët
institution institutin
category kategorinë
oxides oksidet
which çka
distinguished dallua
strait shkalla
expands zgjerohet
city hotit
invasion pushtimi
just thjesht
given kushtohet
persian persisht
participation pjesëmarrjes
properties veçorive
educational arsimore
vote votave
plane rrafshin
district rrethin
croats kroatët
members anëtarëve
production prodhimin
disposal dispozicion
sizes madhësitë
yard oborrin
thermodynamic termodinamike
true vertete
pelasgians pellazgëve
factor faktori
its veta
colonization kolonizimi
west perëndimit
riots trazirat
risk rrezik
infraction shkelje
officials zyrtarë
virtue virtytet
address adresën
listed shënuara
writing shkrimin
antiquity antikiteti
encounter ndeshim
series serialit
thesis punimin
ishmael ismaili
flags flamujt
require kërkojnë
missing mungon
pupil nxënës
bone ashti
southwest jugperëndim
within mbrenda
brightness shkëlqimi
things gjërave
mathematical matematikore
artificial artificiale
wine vere
growth rritja
quantity sasisë
conscious vetëdijshëm
fought luftoi
let lë
azure kaltër
place vendin
zeus zeusi
cooperation bashkëpunimi
france francezët
hospitals spirit
structure strukturën
years viteve
seam korridorit
pressure shtypje
accordance pajtim
northeast verilindje
eye syrin
souls shpirtrave
spring burimi
roman romake
engaged angazhuar
tranquility qetësi
hermeneutic hermeneutika
late vonshme
proposed propozoi
apply aplikuar
publicly publikisht
journal revistës
acts aktet
features veçorive
times kohet
aunt tezë
mrs zoja
help ndihmës
general gjeneral
behavior sjellje
potential potencial
provinces krahinat
possibility mundësia
composite përbëra
dusk errët
spent kaloi
magazine revistën
going shkon
browsers shfletues
this kësaj
contrary kundërshtim
definition përcaktim
quick shpeshta
wear veshin
solstice diellndalimi
western perëndimor
dialect dialektin
second dyta
interregional ndërkrahinor
shopping pazarit
climate klime
fast agjërimit
article pikën
commercial tregtarë
opposing kundërshtare
atomic atomik
idea ide
economy ekonomisë
milan milano
neighborhoods lagjet
tends tenton
religious fetarë
full plote
tower kulla
signed nënshkrua
twelfth xii
refers referohet
stature shtat
mortgage peng
particles grimcave
murder vrasja
side ane
issued nxirret
natural natyrorë
temple tempulli
negative negativ
general përgjithshme
order urdhëruar
calls quan
manuscript dorëshkrim
scaling madhësisë
current rryma
inflation inflacionit
liver mëlçisë
added shtuan
said shprehet
sufferings vuajtjet
strikes godet
pain dhimbjes
dimensions dimensionet
strengthen forcuar
east lindore
countries vende
relativistic relativiste
ottoman osman
phonetic fonetike
patriotic patriotik
package paketa
land tokash
region krahinë
islands ishujt
knowledge njohurive
anneal kalit
genetics gjenetika
stroke goditje
father ati
suburbs rrethinë
relate lidhen
residents banorë
deer dreri
realization realizimit
month muaji
other tjetrën
organizational organizative
between ndermjet
sovereign sovran
forever përgjithmonë
clerical klerikë
cosmos gjithësisë
egypt egjiptit
called quheshin
iraq irak
took merrnin
at orën
noted vërehet
temporary përkohshme
man njëri
result rezultat
packages paketa
establishment vendosjes
sister motra
leonardo leonardos
constitutes përbën
serious rënda
minorities pakica
southwest jugperëndimore
education arsim
postal postar
readiness gatishmërinë
hydrocarbons hidrokarburet
study studion
wax dylli
afghanistan afganistani
people banorë
article nenin
tavel tabela
cries qan
dies vdes
pride krenari
prove vërtetohet
time kohe
feet këmbët
attacked sulmoi
thessaloniki selanikut
balkan ballkanit
dependent varur
guarantees garanton
building ndërtohen
close afer
release çlirimin
same njëjtë
making marrja
attackers veprës
vision vizion
basic themelor
these këta
painting pikturë
thesprotia thesprotët
sang këndonte
elderly pleqve
crisis kriza
macedonia maqedoni
setting vendosjen
rooms dhomat
students studiuesit
vienna vjenë
fiery zjarrtë
processes proceseve
tourist turistik
forgive fal
basis bazave
spirit fryma
to tu
was mbeti
use shfrytëzojnë
peja pejë
element elementi
out del
home vendlindje
u.s. shba
district rrethit
preferred preferohet
master mjeshtër
application aplikacion
cut shkurtuar
song bajrami
results rezultatet
wiki wiktionary
resolution zgjidhjen
magellan magelani
plane rrafshit
otherwise përndryshe
hours orë
native amtare
causes shkaktonte
believes beson
clinton klinton
king mbret
wc apolonia
specialized specializuara
walls mureve
organization organizimin
macedonia maqedone
used përdoreshin
presents paraqit
may mund
signal sinjali
barbarian barbarë
heroes kreshnikeve
romanian rumune
university universitetet
aboriginal vendës
generation brezi
highland malësi
generate nxjerr
sucking gjiri
all lekë
other tjetrës
prepared përgatit
missing mungonin
image figurës
honor ndër
generation gjeneruar
molecules molekulën
california kaliforni
invasion pushtimit
change ndërrimin
already tanimë
statuary statuja
performed kryer
goals qëllimeve
formations formacionet
philosophers filozofëve
role rol
provide sigurojë
tissue inde
darwin darvinit
testimony dëshmitë
health shëndetit
expand zgjeruar
test provuar
same njëjtat
stones gurët
needs nevojat
darwin darvin
since qysh
possible mundshme
independence pavarësinë
peak maje
slave skllavopronare
morocco maroku
certainly sigurisht
books librat
reading leximi
win fitonte
cooperation bashkëpunim
expansion zgjerimi
females femrave
developed zhvillua
tr stamboll
sanjak sanxhak
quiet qetë
setting vendosjes
another tjetrën
achieve arrinte
exploit shfrytëzohet
capita frymë
left lanë
explains shpjegon
salient spikatur
grape rrushit
call quante
soil dheu
fighter luftarakë
main kryesore
power fuqinë
powers fuqitë
primary fillore
unification njësimin
revelation zbulesës
brain truri
batches tufa
husband burrit
turning kthesë
let lënë
liquid lëngut
dimensions përmasat
islamic islame
aspects aspektet
mine tim
can mundën
affected ndikohet
obtained fituara
computer kompjuteri
basketball basketboll
molecule molekula
boundaries kufijtë
mediterranean mesdhe
feeling ndjenja
aspect aspektin
dardania dardanisë
holland holanda
entirety tërësinë
japan japoninë
invasion pushtimin
artists artistët
solvent tretës
borrowed huazuar
report raporti
link lidhë
historical historike
especially posaçërisht
element elemente
label emërtimin
resolution rezolutën
dialect dialektit
air ajror
human njeri
went shkuan
hand dorës
all tere
membrane membrana
stable qëndrueshme
prophets profetëve
back qysh
captured pushtoi
historians historianë
expected pritet
axis boshtit
goals synimet
do bejne
show shfaqjen
primary fillor
each çdo
his tija
organism organ
writing shkrim
up ngrit
initial fillestare
distinguish dalluar
evolution evolucionin
shock shokut
detailed hollësishme
content përmbajtje
metals metale
autumn vjeshtë
gross bruto
accountable përgjegjëse
mythology mitologji
if nese
out jasht
disintegration copëtimit
value vlera
passes kalon
stratum shtresës
address adresa
important rendesishme
through nëpërmjet
implicit nënkuptuar
home shtëpinë
clock orën
gheg gegërisht
lived jetonte
completely krejtësisht
mail postës
toast dolli
war luftë
second dyti
continued vazhduan
arena arenën
low ulta
east lindje
conflicts konfliktet
doubt dyshim
dominant mbizotëruese
aim synon
maintenance mbajtjen
metals metaleve
sleep gjumë
vatican vatikanit
residence vendbanimi
important peshë
linguistic gjuhësisë
diverse shumëllojshme
hands duart
librazhd librazhdi
britannica britanisë
release çlirimit
introduce prezantuar
always gjithmonë
architecture arkitektura
peak maja
hungary hungaria
blessed bekuar
evidence dëshmitë
horse kali
for per
balkans ballkanik
bankroll fond
soccer futboll
age moshen
monday hëna
planet planeti
mining minierave
candidate kandidat
british anglezëve
initiative iniciativën
statistics statistikave
generous bujare
products produkte
pressure presionin
imported importuara
show tregojne
theoretic teorike
practical praktike
electrical elektrike
revealed shpallur
close mbyll
ocean oqeanin
confirms vërteton
paramount epërme
housing banesave
note ceket
magic magjisë
periphery rrethinat
confirmed konfirmuar
provide siguronin
century shekullore
konica konicës
synthetic sintetik
cost kushtuan
inherited trashëgoi
after mbas
solar diellor
mine minierën
presented prezantoi
replacing zëvendësuar
fire zjarri
coach trajneri
short shkurtër
thin hollë
party partisë
ottoman osmanë
