feasts fêtes
headquarters siège
significantly considérablement
poetic poétique
hard dur
taken prises
understanding comprendre
february février
inspection examens
evenings soirées
fierce vives
debut ouvrir
noise bruit
twins jumelles
contains contient
opened ouverte
question questions
stays reste
at au
argument arguments
small petites
top supérieur
characterized caractérise
deemed réputée
endangered disparition
dictatorship dictature
hotels hôtels
better mieux
soft doux
constructing building
zero nulle
nose nez
township canton
counting comptant
equivalent équivalente
frequent fréquent
recent récent
stop arrêter
active actif
feeding alimentation
marine marins
discard repousser
current courants
leads mène
mail courrier
discover découvrir
integral intégrale
laboratories laboratoires
australians australiens
obliged obligé
inhabitants habitants
trains rames
felony forfait
changes modifications
resort ressource
cults cultes
soft douce
significant large
alive vivantes
destroyed détruits
respect respecter
adversaries adversaires
imports importe
resolve décident
serb serbe
width largeur
eastern orientale
uncommon rare
objection oppositions
supports accompagne
recognizes reconnaît
had avait
persian persan
acronym nbc
abnormalities anomalies
exchange échange
suit costume
ultimate excellence
eventually finira
variety variété
television tv
column colonnes
heat chaleur
earned remporté
cycle vélo
finish finissent
best meilleure
drawn dessinées
steersman timonier
noble précieux
different différents
cuts coupes
succeed réussit
prevents empêche
likes aime
hard durs
one une
health sanitaires
social sociaux
secretes secrète
environs alentours
intercourse rapports
dedicated consacrées
naked nu
distributed répartis
files dossiers
was fut
series série
band bande
therapeutic thérapeutiques
michael michèle
aired diffusée
sure certain
post postes
comical comique
toponymy toponymie
gift talent
enemy ennemis
dominates dominé
cells globules
currencies devises
autonomy autonomie
counted dénombre
currencies monnaies
green vert
read lire
bulgaria bulgarie
stability stabilité
ones uns
replace remplace
hills collines
cook faites
institute institut
relatively relativement
shows salons
portion masse
resistant résistants
lineage lignée
reading lecture
bp auprès
test examens
found constaté
activities activités
thesis thèses
prove démontre
component composante
wednesday mercredi
cinema films
distressed peine
keep tenir
move transporter
reduction réduction
environment environnement
acidic acides
problems problèmes
thoughts réflexions
diminished diminué
concludes conclut
turn tour
revive relance
vigor vigueur
breaks rompt
challenged contesté
flesh chair
negligible négligeable
nephew neveu
earned valu
deep profondes
ages âges
silk soie
grown cultivées
relations rapports
rebellion rébellion
unexpected inédit
shoot tiré
generally généralement
currency devises
tightly étroitement
orchestra orchestre
descent descente
take prennent
region région
mathematician mathématicien
mantle manteau
coming venues
districts quartiers
gait démarche
manuscript manuscrit
arrives arrive
linked liés
colors couleurs
vienna vienne
urban urbaine
whole entier
vocabulary vocabulaire
lake lac
members membres
theaters théâtres
now maintenant
approved âgée
duchess duchesse
red roux
pronunciation prononciation
discovery découvre
afro-asian afro-asiatique
black noirs
free gratuit
standing debout
described posée
manufacturer producteur
events évènements
thematic thématique
lead dirigée
dismissed renvoyé
quality qualité
neither ni
terrorism terrorisme
magistrate magistrats
raising rehaussement
followed suivis
east orient
appeared apparaît
against contraint
party soirée
observed observée
joins rejoint
observed observé
similar identiques
imports importations
organize organisent
heir héritier
includes comprend
parallel parallèlement
officer officiers
global communes
water waters
remake renouvellement
spread diffuser
retentive fidèle
specialties spécialités
allowed permit
quote citation
admits admet
reforms réformes
independent indépendante
world globe
frequently régulièrement
occupies occupe
college collège
conference conférence
edit modifier
arabia saoudite
zap gaza
possessed possédait
contact atteints
likely susceptibles
specificity caractère
mid mi
civilisation civilisations
moral morales
canadians canadiens
resistants résistants
create génère
participated participé
alter modifiées
lighthouse phare
avoid éviter
including comprenant
gauge prévus
surpassing dépassant
german allemandes
advisable conseille
protector protecteur
allowed permis
european européenne
belong appartiennent
become devenir
western occidentales
perfect parfait
event manifestation
friend ami
acquire acquiert
encode code
chase chasse
representations représentations
victory victoire
being étant
broad générale
habsburg habsbourg
rope corde
private privé
stoppage arrêt
contemporary contemporaines
leave partent
economy économies
derivatives dérivés
transmitted transmet
prospects perspectives
help aider
credit crédit
shirt maillot
translation traduction
spirits esprits
hurt blessé
sixty soixante
recurring récurrent
sure sûr
dreams rêves
sustained subi
spiral vis
process procédé
yield donnés
this cela
telecommunications télécommunications
actual vrais
embodies incarné
original originel
scandal scandale
roots racines
via passant
bands groupes
educated lettre
reputation réputation
white blanc
calculate calculer
dispose disposent
ward arrondissement
foundation fondement
aim vise
frequently souvent
compose composer
deeply vivement
archaic archaïque
reunification réunification
novels romans
slow lent
leaves feuilles
morning matin
arrival venue
judge juger
small petite
branch branche
is vaut
education formation
take reçu
understanding comprenant
symphony symphonie
distinguishes distingue
channel canal
stop couper
correspond correspondent
succeed réussir
scorer buteur
first bord
unenthusiastic mitigé
drawn attiré
tourism tourisme
shown présentée
allow permettre
tube tubes
died meurt
capture prendre
stocking stockage
revolt révolte
considerations considérations
singer chanteuse
ritual rituel
kingdoms royaumes
nationalism nationalisme
directions instructions
along fur
quantic quantique
rebuilt reconstruit
ache peine
separated séparés
were trouvaient
crude brut
german allemand
metropolis agglomération
present présenté
recover remet
comedian comédienne
basic élémentaires
synthetic synthétique
pace faite
underlines souligne
creation création
binding rattachement
english anglais
language langue
balance solde
offices bureaux
side côté
marked marqué
provision dispositions
leaf feuille
authorized autorisé
endured subi
strike frappé
italians italiens
which auxquels
formed constitués
ranks rangs
change variation
develop développent
delivery prestation
madness démence
lead entraîner
philosophy philosophie
foodstuffs aliments
farmers paysans
pope pape
4th iv
theorem théorème
values valeurs
resumed repris
address adresses
argentine argentin
hypotheses hypothèses
first première
about alentours
aimed destinée
male masculin
air lair
sustained soutenue
beings êtres
amount somme
territory territoire
hope espoir
comic comique
quebec québécois
cession séance
win gagnent
hospitals hôpitaux
involve utilise
monitoring surveillance
disappears disparaît
diplomacy diplomatie
modern contemporains
crossed traversé
mystical mystique
scarcely guère
illustrate illustre
transfers transferts
imply implique
carolina caroline
wave vague
duck canard
number chiffre
school collège
guitars guitares
became devenus
subsequent consécutive
potential possibilités
related rapportent
prove prouve
insert engage
intense vif
hair poil
pass col
liberalism libéralisme
precision précision
following suite
password passe
health condition
geographic géographique
riches richesses
reelected réélu
could pouvaient
doubled doublé
supply fournissent
plural pluriel
fleet flotte
overall globalement
succeed succèdent
verb témoignent
organ organe
aged âgé
objective but
define définies
argument controverse
routes voies
quarters quarts
proves prouve
exposed exposé
abandon abandonner
regional régionale
yearly annuelle
subjects sujets
requires exige
wished souhaitait
name stallone
mean moyen
quote rapporte
cheeks joués
wasted perdue
connected reliée
unreleased inédits
trends tendances
devote consacrer
accident accidents
worker ouvriers
category registre
massively massivement
push pousser
attacks attaques
met rencontré
coordinate coordonnées
company établissements
employed employée
makers constructeurs
starvation faim
stamp visions
announced annoncé
launched lancent
comic dessinée
raised relevé
sexual sexuelle
considering considérant
fifty cinquante
players joueurs
placed placée
comity comité
detriment détriment
costly précieux
haiti haïti
dinosaur dinosaures
heating chauffage
airs diffuse
rumor rumeur
reflection reflet
wind éolien
this ce
leafs feuilles
queen dame
surname singer
out sorti
core fondamentale
guinea guinée
ensure assuré
weft trame
problem difficulté
formula formule
hatred haine
graphic graphique
device dédié
renounce renoncer
apple pomme
missive message
local locale
lukewarm mitigé
offer offre
established établie
symbol symbole
border frontière
decide décident
roman romain
ships navires
purely purement
opening ouverture
lead mènent
recover récupérer
increasing croissante
perform effectuer
musics musiques
those ces
spectacular spectaculaire
royal royaux
maternal maternel
jewish juives
units unités
aware conscient
battlements remparts
change changements
customary coutume
gods dieux
rhythms rythmes
visual visuels
sold vendue
law loi
proclaims proclamé
filming tournage
trades métiers
planes avions
cover remplacé
subsidy subventions
democratic démocratique
hundred centaine
phase périodes
disorder trouble
populated peuplée
overdraft découvert
disappeared disparu
judge jugé
ar figurent
complaints requêtes
as tels
rank place
hand part
suicidal suicidaire
district arrondissement
limiting limitant
host hôte
links relie
quartet quatuor
spin tourner
alliance alliances
immune immunitaire
juridical juridiques
chairs préside
diplomatic diplomatiques
opposites opposés
relative parent
days jours
aristotle aristote
room salles
benefit intérêts
love amours
narrative récit
dead morte
sent envoyé
decade décennie
meteorology climatologie
include inclut
aircraft aéronefs
traditionals traditionnelles
artistic artistiques
head présidé
prefers préfère
forbidden interdit
daytime journée
emperor empereurs
covers occupe
master professeur
published éditeur
dog chiens
imperial impérial
knows connaît
down bas
naturalness simplicité
mistress maîtresse
future futurs
tenth dixième
include comporte
constituting constituant
from tirée
demand demandé
show montrer
savage sauvage
arabs arabes
celebrated connus
followed suivie
marries épouse
allowed accordée
lebanon liban
store magasin
development croissance
register enregistrent
here présent
establishes établit
account compte
hot chaude
make fasse
soccer football
fair équitable
minor mineur
fifteen quinzaine
wet humides
austria autriche
quoted cités
best meilleurs
have présentent
stands pose
buckwheat liseron
greet accueille
shift équipé
liqueur digestif
blanc white
had aient
shah shâh
ranking classement
surveys sondages
bridge passerelle
position tenues
like aimé
leads entraîne
scenario scénarios
site chantier
custom coutumes
explained expliqué
published publia
railway chemin
republican républicain
real réels
produced produites
trodden foule
determination détermination
flame flammes
african africaine
strategic stratégique
contributes contribuent
psychedelic psychédélique
whole entières
mistake erreur
dynamism dynamisme
succeed parvient
prosperous prospère
search chercher
instructor professeur
split divisées
quick vite
scriptures écritures
mentioned mentionné
section volet
mount mont
confront face
medieval médiévales
electrical électriques
fossil fossiles
established établis
marry marier
period périodes
recommends recommande
burn brûler
independent indépendants
agree marcher
ability compétence
special spécial
babylon babylone
marine marines
amplify développées
concrete béton
income revenu
evaluate évaluer
pick remonter
originals originaux
feel sent
percentage proportions
included compris
slightly légèrement
funds fonds
turkey turquie
holds détient
faithful fidèles
legislative législatives
integrate intégrer
overall tablier
realises réalisées
dennis denis
domestic domestique
maintenance maintien
prepare faites
sentences phrases
made constituées
stop stopper
transmit transmettre
the dû
right équitable
find constater
find trouvaient
happen déroulent
materials matériels
canceled annulé
attracted attiré
justify justifie
dome coupole
modern moderne
provoke provoquent
nautical navale
criticized critiqué
changes mutations
ceramic céramique
byzantine byzantin
methods procédés
established formées
which quelle
present étant
retain retient
testing bilan
quit quitter
copy copie
are visent
look regard
victim victime
deputy adjoint
earthquake séismes
sick malades
opposed opposé
drawing tirage
users utilisateur
famous illustre
platter plateau
transform transforme
harsh brut
explanation explication
saying affirmant
weak faibles
with comportant
refuses refuse
name randy
distant loin
resists résiste
dead morts
student élève
greatest grands
principles principes
reliability fiabilité
elisabeth élisabeth
resort recours
concluded conclu
sports disciplines
kept gardé
harsh rude
reviver remontant
error erreur
middle moyennes
identical identiques
undoing ruine
condemn condamne
chase poursuite
comrades camarades
motorways autoroutes
actress comédienne
trip course
appreciate apprécie
begin commencer
slovenia slovénie
sir monsieur
library librairie
strips bandes
recalling rappelant
large vaste
nearly quasiment
missile missiles
honors honoré
install installe
touched touchés
express exprime
also également
allow accordé
chases chasse
speaking parlant
present présenter
granted attribuées
homage hommages
blow coup
associate associé
together conjointement
dirty sale
demography démographie
boat bateau
volcanic volcanique
prosecutor procureur
old ancienne
connection connexion
visit visiter
forced force
arrangements dispositions
emperors empereurs
duty devoir
socialist socialiste
magistrate préfet
earnings revenus
indicated indiqué
snails escargots
survival survie
reach parvenir
cartoon anime
your vos
incorporated constituée
indies indes
from originaires
earn gagner
lyons lyonnais
fight combat
districts cantons
storms tempêtes
warm chauds
separated séparée
commands commandes
assigned attribués
exist fût
recovery reprise
photograph photographe
union associations
romanticism romantisme
see su
contested contesté
refusal refus
fit crise
covered couvert
genus genre
weight jauge
pains douleurs
rival concurrents
county comté
founded créée
experience aventures
movable mobile
lead file
involves concerne
based basées
i jai
chapters chapitres
development essor
published publie
theme thématique
interior intérieur
waves ondes
options possibilités
open ouvert
ladies dames
clearly nettement
trials essais
worldly terrestre
machine machines
connections liaisons
election élection
commercialization commercialisation
ventricle ventricule
brought amené
battlefront front
characteristic caractéristique
yes oui
required demandé
degrees degrés
immigrants immigrés
convey transporter
performed effectué
naturally naturellement
accounts évoquée
song chanson
from extrait
bonds lie
vastly largement
rediscover retrouve
mood dispositions
measure mesure
inside intérieur
organised organisées
of du
huge énorme
real réelle
india inde
passed passa
base basé
flare flammes
scenarios scénarios
pad blocs
assigned accordée
privileged privilégiée
castles châteaux
near près
triumph triomphe
dealing traitant
accuses accuse
circumcision circoncision
built bâti
to dy
zero zéro
arrange disposant
supporter tenant
crossing traverse
paternity paternité
embodied incarné
back renvoyé
ranking classés
count dénombre
remove retirer
categories catégories
brown brun
jurisdiction juridiction
starts procède
wealth richesse
church léglise
permitted autorisée
while tandis
rehearsal préparation
this ça
suburbs banlieue
rhine rhin
gain profiter
animals animales
dozens dizaines
increase promotion
led dirigés
writer écrivain
salt sel
orthodox orthodoxe
celebrity célébrité
exams épreuves
growing croissante
depolarization afro-asiatique
teaches enseigne
diversity variété
april avril
destroyed détruite
french francophones
burgundy bordeaux
built construites
show tableau
yet pourtant
english-speaking anglophones
water eau
relatively assez
malt malte
can capables
change changent
also aussi
closely étroitement
dispute disputé
shareholders actionnaires
sensitive sensible
broadcast diffuse
criticized critiquée
convent couvent
surrounding environs
medal médaille
signs indications
start déclenche
any quelconque
remain restent
possibility possibilité
distributed réparties
mention citons
computer informatique
exposed exposées
wonders merveilles
coupled intégrée
toxics toxiques
stones pierres
evolution évolution
vapour vapeur
suggesting proposant
aboriginal autochtones
supercup supercoupe
gdr rda
usually communément
exploited exploité
receipt reçu
premises locaux
intended destinés
offer proposent
missing disparu
working ouvrière
trend tendance
reply répond
rather plutôt
weak faible
ideology idéologique
franc francs
tales contes
suppliers fournisseurs
ignite incendie
expectancy espérance
younger cadet
core noyaux
forestall défend
important notable
television télévisés
lived vivait
membership adhésion
physical physique
category catégorie
directed diriger
barca barça
works fonctionne
view tenu
elevated élevée
networks réseaux
malagasy malgache
decree arrêté
photograph photographie
muslim musulman
hindus hindous
heads dirige
proportional proportionnelle
predecessor prédécesseur
indirectly indirectement
landscape paysage
outlying périphérique
dyslexia dyslexie
nether basés
history histoire
wings ailes
achieve parvenir
preservation conservation
adult adulte
represented représentait
buy acheter
of di
claim revendique
lot énormément
building constructions
forces force
estimated estimé
icao oaci
was faisait
periodic périodique
thought considérait
small faible
atomic atomique
leash laissé
withdraw retire
contracts contrats
allure attirent
reduced réduite
similar similaire
rises monte
long longues
communists communistes
live vivent
because puisque
nowhere nulle
name van
predecessors prédécesseurs
plans envisage
hot chauds
stayed resté
mixed mixte
trips voyages
rate rythme
noise sonores
solar solaires
cold froide
preference préférence
float flotte
squall rafale
marriages mariages
wanting cherchant
mystic mystique
building immeuble
mankind lhomme
sang chanté
when lorsque
engaged engagée
takes prendre
body organisme
left restait
directed dirigés
state état
reception accueil
dedicated dédié
homework devoirs
remark remarque
settled installées
explain expliquant
climate climat
readings lecteurs
stage phase
criminals criminels
spots taches
child enfant
needs nécessite
media supports
chernobyl tchernobyl
uniquely uniquement
prestigious prestigieux
music musicales
functioning actif
example exemple
reports rapporté
lisbon lisbonne
editing modification
accountable chargés
announcement proclamation
the celui
put mettent
clinical clinique
committee comité
sixteen seize
found fondée
detailed précise
stag cerf
faced confronté
raise monté
coastline littoral
blood sanguins
who qui
belief croyance
execute exécuté
dependency dépendance
raise augmentent
industrial industrielle
serve servir
work travaillent
armed armé
game jeu
break pause
prepended déterminé
philosophical philosophiques
acquired acquise
camp camps
each chaque
traditional traditionnel
revolution tours
upload envoyer
issue envoyée
describes qualifie
generate générer
piece morceau
functioning fonctionnement
rst er
numeric numériques
notices constate
graves tombes
recognize retrouvent
created créés
produce génère
specialist spécialiste
reserve réserve
sell vend
reproach reproche
rising résurrection
pit fosse
volume capacité
studies études
derived issues
put met
frequent fréquents
supposed supposé
send envoyée
order régler
baptised baptisée
assign attribuer
belonging appartenant
serious graves
doom ruine
faces affronte
pollution pollutions
motion animés
excavation fouilles
around alentours
pompey pompée
normally normalement
twelve douze
however néanmoins
prohibit défend
tread marcher
vertebrate vertébrés
italian italiens
proven prouvé
help laide
near bord
announced annoncée
stravinsky stravinski
action dispositions
established établit
property propriétés
will seront
name sasuke
heir héritiers
mayors maires
reception réception
recorded enregistrée
come viennent
zionism sionisme
dominated dominent
lineage descendance
radius rayon
led menées
round tours
changes change
tentative provisoire
are constituent
blanket couverture
cause provoquent
adventure aventure
meetings réunions
given remis
flow débit
objective objectif
records enregistrements
because car
united unis
ability faculté
walk tours
plant végétaux
officially officiellement
terrestrial terrestre
african africains
design dessin
homosexuals homosexuels
lesions lésions
tend tendent
execute exercer
strategy stratégie
founded fondé
queen reine
deceased décédé
refer réfère
traveller voyageur
notice remarque
refugee réfugie
daily quotidienne
spot tâche
animated animée
born naît
test épreuve
rene rené
honest innocent
modified modifiée
american américains
claims proclame
renown grandes
award récompense
stalin staline
appearance apparitions
knowledge connaissance
confirm valide
disguise masque
lower inférieur
aside marge
photovoltaic photovoltaïque
unknown inconnue
fault faute
citizens citoyens
inaugurated inaugurée
character caractère
tumor tumeur
assistant lecteur
old vieux
made faisait
milano milan
investments investissements
response réponse
functional fonctionnelle
military militaires
performance performances
myths mythes
linguistics linguistiques
controls contrôles
common courantes
one unes
chronic chroniques
n'est nest
iraq irak
view vue
without sans
divine divin
powder poudre
families familles
such telle
notebook cahier
department ministère
survey sondage
scriptwriter scénariste
dubbed surnommé
gmo ogm
kept conservé
won remporte
some certaines
botanical botanique
farming agricole
mechanism mécanismes
local locales
wildlife faune
eventually éventuellement
clinic clinique
pilot pilote
quotation citation
holidays fériés
opened ouvertes
sky ciel
reunite réunis
thermal thermique
time délai
edge périphériques
really véritablement
true vrai
hold tenue
right corriger
points pointe
lifted levée
voted voté
mix confondre
appliance appareil
exhibit expose
frees libéré
increases augmenté
extremities extrémités
net nette
background paysage
becomes devient
nearly presque
specialities spécialités
leather cuir
shows séries
march marche
attempt tenter
motor moteurs
recycling recyclage
heavy lourds
reunite réunir
requires nécessite
watches regarde
played joué
probed sorciers
emperor empereur
artistic artistique
previously anciennement
prevent empêche
food alimentaires
arab arabes
restoration réhabilitation
half moitié
healing guérison
ranks classe
operates exploite
animated animés
humanist humaniste
recognized reconnu
maturity maturité
seen voit
trees arbres
cartography cartographie
efficient efficaces
potential potentiel
radically radicalement
because parce
instances occasions
judged jugées
play faites
release déclenchement
son fils
lost perdu
creole créole
catch chasse
agrees accepte
accurate précis
celebrities célébrités
geology géologie
low basse
led amené
at chez
disdain mépris
funds fonde
were furent
linking reliant
right droit
conservatory conservatoire
ape singer
homage hommage
subway métro
language langage
transmit transmet
estimate estiment
chart charte
stripes bandes
transport transports
numerous nombreux
watch regarder
scale échelle
gave donnait
selected choisis
disk disque
earnings bénéfices
detailed détaillé
works chantiers
legal juridiques
killer tueur
reached atteintes
true vrais
energetic énergétiques
embody englobe
treasure trésor
housing logement
application candidature
recognized reconnues
goal but
indicators indicateurs
boulevard bd
incorporate contiennent
muhammad mahomet
due dus
demands exigences
pickup remontant
preserve conserve
roman romains
international internationale
feminine féminin
name shakur
renewal renouveau
place met
conferences congrès
arrest arrêter
displays affiche
accommodate accueille
care soins
split séparés
meetings congrès
preferred préférée
located situées
assists assisté
refuse refusent
bridge pont
reprieve délais
opposite opposée
support soutient
gay homosexuels
sonorities sonorités
mineralogical minéralogiques
emphasize souligne
splits divise
bar défend
scene tableau
polygonum renouée
charm charme
formed formés
prophets prophètes
boy garçons
media presses
end terme
born ne
eight huitième
show spectacle
put mettre
manufacturers constructeurs
sphere sphère
send envoie
democracy démocratie
compose composant
hindu hindous
depend dépend
change changer
consisting consistant
attached attachée
worse pire
review examen
travel voyage
know savoir
fruitfulness fécondité
care occuper
through passant
maintaining maintien
library bibliothèques
spectator spectateur
leverage influence
wound blessure
hippy hippie
soon bientôt
carry porter
express exprimer
exactly véritablement
speak répond
indicates indiqué
organized organisées
weights pèse
mayor maire
attends participe
right droite
gauls gaules
benefits bénéficie
mohammed mahomet
about environ
spark suscite
true exact
nuclear nucléaires
respecting concernant
canes cannes
ask donner
actors acteurs
therefore donc
lyon lyonnais
shrinking réduction
significantly sensiblement
change modifiées
design décrite
personal personnelles
expect attendre
people personne
particularity particularité
consider envisage
dialog dialogue
physicians médecins
specific spécifique
offered proposa
beat battent
dog chien
assure assurent
beginnings débuts
geometry géométrie
road rue
separation séparation
atomic nucléaires
cups coupes
digital électroniques
murder assassinat
review revue
room salle
directed dirigée
tv télé
directly directement
intermediate intermédiaire
say disait
kiss baiser
growth croissance
those ceux
serbia serbie
carol carole
count compter
develop développées
bridges ponts
muhammad mohamed
appease mitigé
debate débat
popcorn éclate
killed tués
immediate immédiat
otherwise autrefois
walls murs
though quoique
it elle
subjected subit
traditional traditionnelles
demographic démographiques
moon lune
formerly anciennement
integration synthèse
thought réflexion
broadly largement
leader dirigeants
violent violente
switches enchaîne
rises soulève
adopts adopté
change monnaies
determined fixée
religious religions
reason raison
stay rester
genocide génocide
differently différemment
male masculins
collectivities collectivités
flu grippe
leave partir
arm armée
fighters chasseurs
know sait
controversial controversé
direct directs
heracles héraclès
egyptian égyptiens
former antérieurs
draftsman dessinateur
from vénus
due dues
french francophone
secretary secrétaire
in au
procedure procédure
orators locuteurs
favourable favorables
bearer porteur
reflect reflet
heavy lourd
american américaine
name bolt
east lest
enjoys jouit
translate traduit
republicans républicains
genetic génétiques
witness assister
beaches plages
doctor docteur
eighths huitièmes
terms modalités
typically typiquement
which laquelle
etienne étienne
rail ferrées
brain cerveau
glans gland
cut coupé
dinghy canot
daily quotidien
annex annexe
capitals capitales
house reçu
visited visité
greeks grecs
supporter partisans
mad fou
training formation
legions légions
limit limité
extremes extrêmes
including compris
legislation législative
aid aides
precise précises
large grosse
smile sourire
products produits
seizure crise
helps aides
entrusted confié
preserved conservée
embodying reprenant
plenty assez
stay demeurent
beaten vaincu
send envoyer
salvation salut
none aucun
traveler voyageur
consecutive consécutive
blood sanguine
old âgées
passage traversée
career carrière
bearing portant
material matières
programs programmes
sleep coucher
silver monnaies
verb promet
quick rapide
volume vol
have possèdent
abandon laissé
pillars piliers
critical critique
yield rendement
work travaux
1 réservée
square case
20th xxe
minister ministère
youth jeunesse
significant significative
volume volumique
owner tenant
recordings enregistrements
campaign campagne
appoints nomme
marseilles marseille
ethic éthique
return revenir
total totale
leave laissé
pancreas pancréas
argued disputé
least moins
living vivant
koran coran
middle-class bourgeois
follow suivent
novel originales
undergo subissent
publishes publie
profession métiers
face visage
saint sainte
commonly communément
planned prévue
based reposant
reserved réservée
note noter
firm cabinet
apparent apparues
influence autorités
designed conçus
inspired inspiré
extent superficie
most plus
notebook carnets
knew savait
published publiées
compose composent
average moyen
rendered rendue
ceases cessé
uncivilized barbares
arms bras
counteract contrer
is trouve
degree degré
determined déterminer
hold ayant
capacity jauge
rain pluies
celebrity starr
necessitate nécessitent
biological biologiques
pedestal socle
saw voyait
stories histoires
case arguments
electors électeurs
kb ko
spouse époux
openly ouvertement
judgment jugement
floods inondations
wrestling catch
which quelles
concern concernent
singing chants
only seulement
neighborhoods quartiers
talk conversation
hamburg hambourg
persia perse
popularity popularité
explain expliquent
coming provenant
define définir
regions régions
chair chaise
available disponibles
playing jouant
face rive
groups formations
thought croyait
kidnapping soulèvement
university universités
has entretient
app application
heavy lourde
fundament basés
works œuvres
probe jauge
close proximité
unplugged acoustique
committee commission
climatology climatologie
gain concilier
medicine médecine
sky airs
integrate marquer
observed observés
rotate tourner
sequent suivante
slovakia slovaquie
restore rendue
attacks attentats
taint infections
true vraie
homes foyers
capture conquérir
japanese japonaises
announcing déclarant
drawing dessin
spanish espagnole
functions fonctions
our notre
muslim musulmanes
significant signifiant
ascending montant
draw dessiner
nominate présentant
liver foie
competition épreuves
neighboring voisin
composed composé
identifies identifié
could pourrait
muslims musulmans
adversary adversaire
connexions communications
millennium millénaire
writing composant
moreover surcroît
rotation tour
increasing augmentant
media média
belongs appartiennent
has ait
weekly hebdomadaire
spread propagation
mathematical mathématique
smash détruits
be être
formerly autrefois
pornographic pornographiques
views opinions
original originelle
shocked frappé
financial financières
rejoin rejoindre
viet viêt
voluntarily volontairement
pose posent
inheritor héritiers
came venu
visitors visiteurs
full gros
lands terres
adventure aventures
reinforce armée
finalist finaliste
firm fidèle
hard dures
on figurant
appeared émergent
solitary solitaire
lately tardivement
buildings édifices
martian martienne
poses pose
achieve réussir
juridical juridique
ever toujours
narrow étroite
carrier porteur
location lieu
ended terminée
three trois
courts tribunaux
representation représentation
meet rencontrer
encounter rencontrés
from provenant
confederation confédération
derive dérive
expresses exprime
property caractéristique
file dossier
offer propose
fully intégralement
athena athènes
delete supprimer
screening projection
construct construite
starts commence
designated désigné
linked reliées
accompany accompagne
stadium stades
governmental gouvernementales
done exécuté
