standalone samostatný
theresa terézie
crisis krízy
neda nedá
happen stáva
zone zóny
opponent súperom
jan ján
sodium sodný
membership členstvo
some nejakým
series séria
induce vyvoláva
young mláďatá
length dĺžkou
limited obmedzená
separately zvlášť
summer letná
castle hradnej
eastern východnom
minority menšiny
largest najväčšou
connection súvislosti
enemy nepriateľovi
more väčším
moscow moskva
written písomných
martial bojové
principle princíp
intervention zásahy
continued pohybovať
definition definície
following nasledujúci
greek gréckych
different odlišných
creates vytvára
country zemi
held držal
oven pevne
cases prípadoch
the toho
aviation letectvo
web stránok
regularly pravidelné
reported zaznamenané
next ďalšiemu
others ostatnými
continue naďalej
tradition tradícií
clear zrejmé
pregnancy tehotenstva
number množstvom
channels kanálov
adulthood dospelosti
wrestling zápase
near blízkej
longitudinal longitudinálna
forward postúpili
cities mestám
bearer nosič
call vôľa
czechoslovak československé
structures štruktúr
calendar kalendár
winter zimných
only iba
outside mimo
fat tukov
research výskumu
kings králi
individual jedince
types druhy
stream prúdom
historically historický
eurozone eurozóny
egypt egypťania
mention zmienku
users používateľov
program programu
different rôzna
nearly zďaleka
poems básní
use využiť
section úsek
priests kňazov
physicists fyzici
initially spočiatku
drums bicie
addressing pomenovaná
had mali
reached dospel
financially finančné
examples príkladom
letter písmenom
jews židov
method metoda
later najneskôr
over nad
campaign kampane
blackbird kôš
folk ľudových
stephen štefan
fortified opevnenia
passport pásu
schematic schémy
been boli
following nasledujúceho
been dosiaľ
lake jazerá
radio pomeru
methane metánu
bases báz
atmosphere atmosférou
time okamihu
area rozlohou
fight boj
population obyvateľstvu
gothic gotika
salt soľ
logic logiky
africa afrike
inside vnútro
barriers prekážky
mr pán
calcite vápence
martin martina
magnetic magnetických
joseph jozef
wins vyhráva
network sieťová
sum počtom
electronics elektronika
national národným
berlin berlína
pictures obrázky
asteroids planétky
disciplines disciplín
arrangement usporiadanie
dream sen
block kváder
discrete diskrétny
ends konce
characters znakmi
this tomto
communication komunikáciu
paper list
adds dodáva
all všetkými
helium hélium
court súdom
published vydala
reduce znižujú
of výške
enormously nesmierne
system sústava
methods postupy
tour turné
arrival príchodom
record zápis
people obyvateľstvu
newspapers novín
preparations príprave
capacity kapacitu
cultural kultúrnych
human človeku
collection svojho
administration správou
transfer prevod
bank banka
solid pevné
member člen
given uvedená
links odkazy
we nie
life života
pole pól
concretely konkrétne
deputy poslanca
symptoms symptómy
designation označenia
stance postoj
developed vypracoval
series série
photosynthesis fotosyntézy
french francúzsku
liquid kvapalné
range rozsah
picture obraze
density hustotou
authors autorov
case prípade
product produktov
time časovo
internal vnútornú
abortion potrat
plato platóna
historical historického
formats formátov
hitting zásahu
same rovnaký
slavs slovanov
chain reťazca
virgins panny
events udalosti
division rozdelení
just pravé
moscow moskve
past posledných
happiness šťastia
ideas myšlienky
different rôzne
thermal termálne
new nové
president prezident
state štátna
raise zvýšiť
babylon babylonu
currents prúdy
this týmto
dependent závislé
morava morave
individual jedinca
sexual pohlavného
million milión
routes cestách
europa európou
consequences následky
iron železná
the die
buses autobusy
months mesiacov
criminal trestný
benefit prínos
line línie
g ag
produced vyrábajú
lands územia
required povinné
right vpravo
now súčasnosti
current súčasných
back vrátila
competition súťaže
nature povahu
guitar gitary
plans plány
all celá
clothing oblečenia
valid platia
velocity rýchlosť
meal jedla
cables káble
permanent stály
external externé
experiment experimentu
lower dolný
express vyjadriť
most najčastejšie
same rovnakú
goods tovar
internationally medzinárodne
settings nastavenia
criticism kritika
privately súkromné
versions podania
hungary maďarsku
regis koščová
city town
demand nárok
highest položené
added pridali
peas hrách
functions funkcie
folk ľudovít
followed nasledovali
said hovorilo
volume objemom
spread šírenie
sharply ostro
urban mestské
university uk
antiquity staroveku
comes prichádza
brown hnedé
weeks týždňoch
architecture architektúrou
member členských
original pôvodným
meanwhile medzitým
thyroid štítna
security zabezpečenie
knowledge poznania
significant významnými
most najväčšej
opponents odporcov
totality totalita
counts počíta
module modul
novel roman
unions odbory
left odišli
be nutné
rid zbaviť
trade obchod
genus rod
delegation výpravy
more väčšiu
representatives predstavitelia
shows zobrazujú
system sústave
no neexistuje
special špeciálna
jesus ježiša
fact skutočnosť
solar slnečnej
split rozpadla
be existovať
mesopotamia mezopotámie
announced oznámil
neighborhood okolie
south juhu
ball loptička
organs orgánov
internal vnútorného
managed dokázal
architects architekti
social sociálneho
excreted vylučuje
protocols protokolov
community spoločenská
french francúzsky
vacuum vákuu
health zdravotný
divide deliť
god boh
crops plodín
summer letné
supports podporuje
ethnic etnické
operating operačný
texture tkanivo
personal osobných
poprad popradu
nothing nič
around okolí
cannon kanón
conquered dobyl
husband manžel
poly póly
safety bezpečnosť
rule nadvládou
computer počítačoch
following nasledujúca
fusion spojenia
american americkom
mothers matky
works pôsobí
average priemeru
any akéhokoľvek
devolved pridáva
mentioned spomenúť
thyroid štítnej
reform reforma
good blaho
single jednotný
next ďalšia
gene gen
border hraníc
new nová
opponent súperov
government vládla
observation pozorovanie
encyclopedia encyklopédia
programmes programy
right pravom
acquire získavať
series sérii
solve riešiť
red červenej
pure čistá
america amerika
character znaku
followed nasledovalo
allowed povolené
u.s. amerického
when keď
execute vykonať
younger mladší
state štátne
based vychádzal
fields polí
different rôzni
expresses vyjadruje
creation vytváranie
choice voľba
disease choroby
written napísané
write písať
participant účastník
arctic severný
independent samostatná
serbia srbska
units jednotkách
verbally ústave
only len
surroundings okolím
forces sily
give podať
areas plochy
belief viera
farmers roľníci
needs potrebné
rime ríme
thread ohrozenie
not nemalo
then vtedajší
suddenly prudko
czechoslovak československá
commanded zodpovedá
exist existujú
message správ
premises priestorov
october októbri
prices ceny
parts častiach
fall pád
allowed umožnil
formation tvorbou
victim obetí
users používateľom
tried pokúsil
testament zákone
commercially komerčné
promised sľúbil
playing hráčom
pad pádom
payments platby
promoted presadzoval
trading obchodná
predecessor predchodcov
appears objavuje
spread šírenia
caused spôsobilo
philosophy filozofiou
position pozícii
increased zvýšila
set sada
creation tvorba
constant konštanta
quickly rýchlo
divisions oddiely
with vybavený
teeth zub
polish poľskej
same istého
machinery stroje
adding pridávajú
semiconductors polovodiče
terror teror
by podľa
universal univerzálne
seems zdá
large veľkými
portugal portugalsko
took trvalo
came prišiel
whence odkiaľ
children detí
prague pražskej
views názorov
valuable cenné
mary márie
mean značí
ore rúd
sequence sekvencia
cinema kino
war vojnového
horses kone
mongolia mongolsko
pass pásy
provide poskytovať
return návrate
playing hranie
database databáza
low nízke
above vyššia
unit jednotkou
file súborov
supposedly vraj
channel kanál
special špeciálnych
york yorku
has disponuje
david dávid
pillar stĺp
child dieťaťom
represents zastupuje
consist vystavené
two dvaja
talks rokovaní
abroad zahraničia
am som
eastern východný
story príbeh
mesopotamia mezopotámii
separate samostatných
zealand zélandu
return vrátiť
evaluation hodnotenia
solutions riešenia
height výšku
juraj juraja
former bývalého
although síce
words slovami
court kurt
constitution ústav
republic republikou
deportations deportácie
topology topológia
last trvať
cv životopis
steel ocele
rays lúčov
west západe
people ľud
resistant odolné
shorthaired stavač
wikipedia wikipédia
languages jazyky
troops vojskami
tatras tatry
serbia srbsku
king kráľa
internal vnútorná
circuit obvod
region kraje
accuracy presnosť
lens šošoviek
harvesting ťažby
start začínajú
seal pečať
rulers vládcov
michelangelo michelangela
old starých
bark kôry
take brať
data dáta
distribution rozdelením
distinct výraznejšie
normal normálne
explosion výbuchu
wants chce
idea predstavu
zone zóna
marble mramor
monastery kláštore
beginning začiatkoch
methods metod
appropriate vhodná
developed vyvinutý
allow umožňujú
combines spája
awarded získané
table tabuľky
africa afriky
caused spôsobili
feast sviatok
shapes tvary
mention spomenúť
probably zrejme
milano miláno
phenol fenol
contemporary súčasného
social spoločenská
causes spôsobí
took vzal
preponderant prevažná
gross hrubý
experiments experimenty
longitudinal longitudinálnej
societies spoločností
means značí
constitutional ústavný
u.s. americkej
europe európu
salient výbežku
poor hudobných
sir síra
methods metód
angel anjela
legal právneho
concert koncerte
witnesses svedkovia
beans fázu
subdivisions odvetvia
private súkromná
universe vesmíre
rises stúpa
village dedine
drops klesá
report zostava
genital pohlavného
interventions zásahy
control kontrolou
has má
safety bezpečné
indicate označujú
lens šošovka
accounts pripadá
its jej
called označovaný
himself sám
section časť
such takého
machines stroje
eastern východnú
ball lopta
cable kábel
fair jarmok
country štát
provincial zemského
geomorphology geomorfológia
ecclesiastical cirkevného
module modulu
weight hmotný
south južne
passed prešli
commonplace javom
colombia kolumbia
bigger väčšom
mary mária
assumed predpokladal
raise zvýšil
mercury merkúr
reduces redukuje
regime režim
happening deje
population obyvateľstva
given daný
phenomena javov
carry prenášajú
northern severných
line súlade
carpathians karpaty
manufacturing výrobu
there nastane
ba baktérie
retaliation represia
norway nórska
management správou
nearly takmer
computers počítačmi
market trhu
will vôľa
not nebolo
variable veličina
command ovládať
tension ťahu
substance látkou
scotland škótska
holiday dovolené
includes obsahuje
full plná
namely totiž
philosophic filozofickej
singers spevákov
russian ruskej
put postavil
mentioned spomenuté
swedish švédsku
reference odvoláva
dollars dolárov
virus vírusu
european európsky
pups mláďat
displaying destruction
divided delia
relationship vzťah
needs potreby
measurement meranie
repeats opakuje
wikipedia wikipédie
world svetových
bumblebee čmeľ
done vykonal
second druhého
prehistoric praveku
dominates dominuje
region kraja
regime režimu
concern týkajú
free voľné
returned vrátil
growth rásť
company podnikov
coil cievky
assumption nanebovzatia
free slobodné
china čínou
armor pancier
helps pomáha
binding väzba
cultivation pestovanie
passed prešlo
placed zabezpečil
region regióne
use použitia
living životné
maya majú
influence ovplyvňujú
holy svätý
orbit obežnú
created vytvorí
october októbra
teams tímy
full plnom
italians taliani
develop vyvíjajú
direct priamym
system sústavou
terrorist teroristické
presidential prezidentské
marshal maršala
mansion kaštieľ
defeated porazil
conquest dobytí
ability schopnosť
leader vodcom
august augusta
new novej
included patrila
red červená
kotor ktorého
morava moravy
slept naspäť
returning návrate
examination vyšetrenie
language jazyka
that ktorú
surely ísť
phase skupenstve
under pod
replaced nahrádza
sense zmysle
return návrat
police polície
castle hrade
whistle hviezdu
alone sám
itself samotná
computation výpočty
wrong nesprávne
markedly výrazne
offers ponúka
given danú
before predtým
costs nákladov
cast obsadiť
end koniec
program programe
work prácach
data dať
played hrala
vendors výrobcov
fights bojov
chita číta
lives žije
bear medveď
operating pôsobiacich
become stane
statue socha
new nový
tank tankového
expenditure výdavky
suppression potlačenie
element prvku
the programu
stone kamenná
prison väznici
lower dolné
file súborom
slovak slovenského
sense zmyslu
may možno
sheep oviec
myth mýtu
baroque baroková
criminal trestné
files spisov
revolution revolúciu
then vtedy
distant vzdialených
st. svätej
normal bežného
certainly určité
received prijal
rich bohatú
choice voľbu
safety bezpečnosti
not neposlednom
settlement osídlenia
barrels súdov
brought priniesol
chapel kaplnke
silent tichého
sixth šiesta
sex pohlavné
central stredný
slovak slovenskými
because dôsledku
wrote písal
method metóda
by firmou
ball gule
designed navrhnutý
ukraina ukrajina
amerika ameriky
cause spôsobujú
sale predaja
first najskôr
divisions delenia
wind vetra
third tretí
streets ulíc
newton newtonov
of dne
or resp
first prvým
swedish švédsky
saints svätých
themselves sebe
merchandise tovar
croatians chorváti
letters písmena
chemical chemickej
buried pochovaný
tu tú
cool chladné
tissue tkanivo
evil zlá
whole celý
walked prešla
another ďalšou
thesis práca
firm pevne
flat plochu
roman rímsky
scientists vedci
believed verili
hungarian maďarských
new novú
high vysokou
ozone ozón
valid platné
championship majstrovstvá
line líniu
michelangelo michelangelovi
network sieť
use použitie
ancient starovekého
surely isto
common spoločného
passport pásy
inland vnútrozemí
comenius komenského
caused spôsobila
threads nízkym
stock zásoby
surroundings okolia
concurrently súbežne
gods bohov
profit zisku
pincer kliešťovité
special špeciálny
glass sklo
roms rómovia
holdings pozícií
right právom
department úseku
employees pracovníkov
body nástroj
link väzbu
states štátov
mechanical mechanické
new novými
movement pohyb
only jediným
artistically umelecký
sets celky
formations útvary
difficult náročné
rights štáte
communication komunikácia
ordained vysvätený
passed prešla
martin martine
experiences skúsenosť
that tej
sufficient dostatočné
fleming fleminga
less menšej
nutrients živiny
tests testy
column stĺp
systems systémy
alone jediné
sees vidí
created vzniklo
average priemerne
committee výboru
national národnou
photo fotografií
serbia srbsko
zircon zirkón
originated vznikol
grave hrob
help pomoci
central strednú
command príkaz
worked pôsobili
celts kelti
clear najavo
mode režimu
prof. prof
described označil
franc francúzska
minorities menšiny
evidence dôkaz
acid kyselinami
stain škvŕn
axis osou
ownership vlastníctva
poprad poprade
bloom rozkvetu
above vyššie
spent strávil
resistance odporu
gave dala
philosophers filozofov
damage poškodenie
diameter priemer
proceeded postupovali
development rozvoj
full plné
free slobodná
eea významom
art výtvarné
issued vydaný
carbon uhlík
possible možná
ensures zabezpečujú
square kváder
siberia sibír
soviets sovieti
water vodný
distance vzdialenosťou
motivation motivácia
description popis
frescoes fresky
venus venuša
stop zastaviť
workers pracovníkov
evenly rovnomerne
titles tituly
founder zakladateľom
sheep ovce
proposed navrhol
belt pásu
electronic elektronickej
north severnej
parents rodičia
portugal portugalska
year ročník
activity pôsobením
existing existujúcich
composed zložená
office úrad
entering vstupe
germany nemeckú
protons protónov
stage štádia
saved uložené
height výšky
surgery zákroku
literary literárny
shirts dresy
humidity vlhkosť
viruses vírusy
medium stredné
significant významnejšie
groups skupinám
writing nápis
circuit obvodu
cancellation zrušenie
port porte
capacity kapacita
celebrated slávi
dependent závislý
somewhat akési
stigma stigmatizácia
digital digitálne
operation prevádzke
relatively pomerne
being bytia
strength pevnosť
finance financií
sports športových
general generál
body telesá
remains pozostatky
not nemala
monastery kláštora
obese obežná
book knihu
capricorn kozorožec
monthly mesačné
it málo
existing súčasné
logic logika
rich bohatý
team tím
balance rovnováhy
new nového
frame rámci
other ďalších
dr. judr
current súčasný
internal vnútorným
living živých
our nášho
probably pravdepodobne
joseph jozefa
more dlhšiu
networks sietí
related súvisí
west západu
available dostupné
limestone vápencov
theaters divadlá
relate týkajú
council radu
beginning začiatku
recordings nahrávky
mr. pána
performance výkon
needs potrebnú
the tom
carrier nosič
altar oltár
nuclear atomárny
strain kmeň
offer ponuku
rebels povstalci
mediterranean stredozemného
politicians politici
chapel kaplnka
played hrali
if ako
common spoločnej
end koncom
slovakian slovenskej
solves rieši
orbit obežnej
nature prírodná
- ~
day dne
inhabitants obyvateľov
it tomu
vehicle vozidla
low nízko
kernel jadra
red červené
team mužstva
mary márii
slavic slovanských
real naozaj
whole celého
master predlohy
field poľa
monetary menovej
lipids lipidy
decreases znižuje
smaller menšej
produce vyrábať
tron trón
right správa
president predsedom
account úctu
health zdravotné
itself samotné
independently samostatné
lubomir ľubomír
domination nadvlády
conception počatia
well dobré
ecliptic ekliptiky
matrix matice
significant významných
variety množstva
particular určité
magazine časopisu
textile textilný
national národnom
function funkciou
appeared vznikla
jews hebrejci
had mála
musicians hudobní
husband manžela
moving pohyblivé
music hudobní
other druhý
agent činidlo
set sadu
former vtedajšej
personally osobne
computer počítačom
reactions reakcie
poles póly
disputes spory
significance význam
fuels palivá
resources zdroje
mixture zmes
nitra nitriansky
black čierny
original pôvodných
give dávali
comet komét
growing rastie
equilibrium rovnováhy
end koncových
type typu
gave dal
observers pozorovatelia
these týmto
liza líza
quantity množstvo
queen kráľovnou
necessarily nevyhnutné
guilt vlna
not nepodarilo
defined definovaný
lower spodná
works dielami
bishop biskup
opponent súperovi
series seriál
elections volieb
changed zmenili
edges okrajoch
more staršie
relatively relatívne
release uvoľňuje
polish poľský
value hodnotu
country krajinu
derived odvodené
effect účinok
florence florencia
end záver
particles častíc
call nazývame
issued vydal
end konca
barca barça
radix základ
held konajú
name blaho
some nejakom
newest najnovších
breeds plemena
art umenie
cycles cykly
homemade domácu
phase fáza
simple jednoduchých
based vychádzajú
single singel
vantage pozorovateľný
earth hlinka
mortar malty
strategic strategického
meet zásadne
products výrobky
areas oblasťami
tv televízia
lithuania litvy
marble mramoru
predecessor predchodcu
significance významom
memory pamäť
map mapy
interferes zasahuje
agriculture poľnohospodárstva
peninsula polostrova
get získali
east východ
murder vraždy
banská banskej
approximately približne
reviews hodnotenia
there existenciu
of o
significantly významne
partnering partnerské
national národnostné
mineral minerálnych
frequent časté
what čo
securely bezpečné
colors farbách
bohemia čechy
born narodil
do údolie
groundwater podzemných
molecules molekúl
shapes tvarov
including vrátane
sides stranách
secondary sekundárne
state stav
extremely neobyčajne
energy energie
forensic súdny
relationships vzťahom
eastern východným
broad-leaved listnaté
tropic obratník
glands žliaz
war vojnové
cadmium kadmium
southern južnej
stalin stalina
disputes sporov
available prístupné
temperatures teplotami
received prijatá
months mesiace
called zvaný
bank banky
mass hmota
volcano sopky
different iná
tons ton
other druhú
orthodox pravoslávnej
genre žánru
airport letisku
burn zápal
mikhail michail
support podporou
areas oblastiach
questions otázok
exploration skúmanie
say povedať
lighting hrom
signal signály
multinational medzinárodne
oriented orientovaný
because lebo
duties cieľ
middle blízky
canal prieplav
norway nórsko
exploitation využívanie
findings nálezy
newspaper novinách
its svoje
with novými
potential prípadné
community obcí
shows svedčí
nation národný
cosmonaut kozmonaut
hard pevnom
above vyšším
visible viditeľné
clouds mrakov
introduction úvod
cross prechádzajú
life životu
terrorist teroristov
audio zvukové
prison väznice
matrix matica
color farebných
end konce
method metódu
principle princípe
brother brať
magnetic magnetická
black čiernu
criticized kritizoval
more presnejšie
company spoločností
develop rozvíjať
figures figúry
physical fyzikálnymi
later neskorší
afghanistan afganistane
affiliation príslušnosť
prussia prusko
memorial pamätník
accept uznať
deposited uložené
download sťahovať
although hoci
light svetla
strategy stratégia
vacation dovolené
shopping obchodná
expedition výprava
community spoločenstva
belarus bielorusko
could mohol
basically zásade
metaphysics metafyzika
empire impérium
melting topenia
only jediná
mechanically mechanicky
characteristic charakteristický
wealth bohatstvo
number čísle
flows toky
summery súhrn
extension rozšírenie
phase fáze
going deje
germany nemecká
adults priebeh
moravia morave
honor počesť
set nastáva
sport športy
dc jednosmerného
this danú
construction výstavby
number množstvo
living žijúcich
manufactures výrobcovia
required povinný
renaissance renesancie
army armáda
attended chodil
correspond zodpovedajú
idea myšlienkou
predecessors predchodcov
creates vytvárať
god božieho
orders príkazy
tv televízie
solution riešením
norway nórsku
model modelom
enough stačí
hub rozbočovač
him ho
special zvláštny
agriculture poľnohospodárstve
system aparátu
certainly isté
explosions explózia
important dôležitú
established zaviedla
inhabited obývané
free slobodný
pokemon pokémonov
four štyroch
home domov
country krajiny
limit hranicu
red červeného
degree uhlom
germans nemcom
airport letisko
hard pevného
austrian rakúska
matus matúš
pace chod
humanity ľudstvo
flat byť
extinction zánik
divided rozdelená
arab arabských
that ktoré
lower nižší
page štr
american amerického
two dvakrát
completed dokončený
rene rené
breath nádychu
flood pôvode
package balík
besides okrem
energy energia
november novembri
companies firiem
used využíval
ended skončili
flight letá
austrian rakúskej
topic téma
lasts meria
browser prehliadača
european európske
significantly podstatné
completion absolvovaní
decide rozhodovať
select vybrať
adjusted upravený
sunny slnečné
hospital nemocnica
christ kristus
mandate mandát
castle zámok
feeling pocit
good dobrý
expertly odborné
potato zemiaky
solid masív
signal signálu
covered pokryté
armies vojskám
used používaný
iraq irak
period perióda
therefore teda
military vojenskú
located umiestnený
some určitým
hardware hardvér
design návrhu
tatras tatrách
job zamestnanie
hold udržať
standardization normalizácia
capture zachytiť
coalition koalícia
object objektom
natural zemný
medicine medicíny
glass skla
graphic grafických
international medzinárodnej
particularities zvláštnosťou
moves pohybuje
team družstvo
meet stretnúť
more vyššia
wait čakať
belarus bieloruska
recognized uznané
find zistí
conviction presvedčený
talk reči
realize uvedomiť
discussion rozhovore
charge náboj
behind vzadu
byzantium byzantská
broom metla
preferred prednosť
interruption prerušenie
slavic slovanskej
generally všeobecnosti
but ale
of z
trees stromov
to umožní
growing pestovanie
at pri
rocks hornín
go išiel
passports pásy
gas plynov
connected pripojené
civil občianskych
suppressed potlačení
steps krokov
operation prevádzky
setup zostava
requirements požiadavky
silesian sliezsko
came pochádzali
nuclear atómových
reaches dosahuje
electrically elektricky
hungarian maďarskom
occupied obsadili
visits návštevy
excludes vylučujú
characterized vyznačujú
biggest najväčšom
older staršieho
professional profesionálnych
fashion módy
self-government samosprávy
high vysokej
more častejšie
many mnohými
median medián
alloy zliatiny
affair záležitosť
planet planéta
physics fyziky
individual jednotlivca
concept návrhu
hungry hľadať
increase zvýšenie
steam para
key kľúč
value hodnotou
art umením
empire ríši
hungarians maďarov
our našich
prominent významnú
soon čoskoro
play hrať
says hovoria
deviations odchýlky
blocks bloky
any nejaký
financial finančné
retention udržanie
stone kamennej
estimates odhadov
electric elektrickým
current dnešná
conditions pomerov
austrian rakúske
intense intenzívne
armed ozbrojených
deciduous listnaté
others ostatných
religiously náboženský
composition skladbu
independent nezávislých
gate brána
components komponenty
expressions prejavov
are tvoria
month mesiac
czech českom
personal osobného
bone kostí
cheaper lacnejšie
some trochu
convert previesť
converting premeny
subtitles nápisy
used používaných
any žiadnom
current súčasného
sum súčtu
pointer stavač
maria máriou
stadium štadióna
health zdravotnícka
place koná
product tovaru
ratio pomer
these týmito
vertebrate stavovcov
fish rýb
music hudobnej
alphabetical abecedy
emerged vznikali
means prostriedok
zita žltá
police polícia
letter liste
users užívateľov
habsburg habsburgovcov
peoples ľudová
four štyrmi
publicly verejné
huge obrovské
seat sídla
physicality fyzikálna
read čítať
spaces priestoroch
revelation zjavenia
penis penisu
number číslo
exploit využívať
pieces dielami
administer podáva
representative predstaviteľom
topic témou
opposition opozície
enumerates vymenúva
private súkromné
music hudobná
received prijaté
england anglická
magnificent veľkému
large rozsiahla
spotted zachytené
construction výstavbou
called nazývali
constitutionally ústavou
job pracovného
jupiter jupitera
mostly prevažne
involved zúčastňuje
important dôležitý
range rozmedzí
specific špecifických
business podniku
music hudobné
recourse východiskom
died umrel
january január
components súčiastky
movements pohybov
houses domy
lines linky
iran irán
it malo
network sieťovej
true pravdou
are činnosť
indeed skutočne
investigate skúmať
elizabeth alžbeta
wednesday streda
autonomy autonómie
people ľuďom
circuit obvode
william viliam
there tam
thus čiže
described opísal
parts súčiastky
performances vystúpení
months mesiacoch
agency zastupiteľstvo
site stránkach
he dal
occurred vyskytovali
foreign zahraničná
twilight súmrak
internet internetu
living živé
red červený
west západného
bear ursus
c °c
people ľudu
continue pokračovať
organisms organizmov
while kým
high vysokými
atom atómu
features funkcie
current súčasné
change zmení
reduce znížiť
gothic gotiky
spring jari
up hore
magnetic magnetické
birth narodenie
squad súpiska
seek hľadať
psychical psychické
larger väčších
probes sond
authors autori
murder vraždu
sexual pohlavných
obstructs bráni
episodes epizód
visible viditeľná
believer veriaci
corresponds zodpovedá
issue vydávať
events javov
form formovať
ended skončilo
physics fyziku
only jediné
pavol pavla
nature prírodu
transport dopravy
problem problém
held držali
richard zuzana
know vieme
shape formovať
council rada
returns vracia
empire ríše
normally normálne
germans nemcov
internal vnútorných
nature prírody
high vysokého
match šírka
attention pozornosť
itself samo
sea morí
former bývalej
awareness povedomia
professor profesora
american americkým
cast časť
games hry
empire ríša
usefully užitočné
slowly pomaly
shield štítu
construct postaviť
nowhere nikde
address adresa
uses využíva
divided rozdelené
gravity gravitačný
electronics elektroniky
florence florencie
drive disku
russians rusi
conclusions zábery
voluntarily dobrovoľne
noticed všimol
union zväze
status stav
series rád
club klubu
commander veliteľ
options možností
single jedinou
substantial podstatnú
natural prirodzený
little málo
relief oslobodení
russian ruskom
football futbalový
activities aktivity
cadastral katastrálne
important hlavným
dominated ovládal
models modelov
established zaviedli
general všeobecne
channel kanálov
existence existencia
athens atény
cooperation spoluprácu
wheel koleso
year rok
covered pokrytá
verena verejného
telescope ďalekohľad
that ktorá
mandatory povinné
precipitation zrážkami
temporary dočasné
individuals jedincov
troops vojská
danube dunaj
pattern vzor
forests lesy
clearly jednoznačne
london londýn
negotiations rokovaní
characterized charakterizuje
these takýto
nationalities národnosti
sees vníma
people občania
measures miery
player hráčom
controls riadi
membership príslušnosti
information informačné
similar podobným
speech reč
display zobrazenia
pays platí
materials materiály
natural prírodnej
names pomenovania
sex pohlavia
leave opustiť
krakow krakov
punks punkerov
death smrťou
holder drží
lead viedli
no nemá
molecule molekule
mainly najmä
cooperation spolupráca
community spoločenstvo
electrical elektrických
phases fázach
thoughts myšlienky
uprising povstaní
turn javí
gas plynu
champions majstrov
relative vzhľadom
value hodnote
professional odborných
country krajine
fulfillment plnenie
crisis kríze
aimed zameraný
perceive vníma
pain bolesti
categories kategórií
medium stredný
different líši
nazism nacizmu
written napísaný
center centrom
existence existencii
full celej
forces síl
art umeniu
speed rýchlosť
beginnings začiatkoch
assassination atentát
also zároveň
usually obyčajne
other inej
were patrili
of systému
clouds oblačnosť
control kontrolu
linear lineárne
attempt pokuse
violin husľové
said hovorili
railroads dráhach
more väčšia
str štr
house dom
important dôležitá
second druhou
insects hmyzu
led vedení
music hudobný
corps zboru
fast rýchly
symbolizes symbolizuje
allow umožní
view pohľady
saved zachránil
tank nádrž
change zmeniť
roads cestami
said uviedol
object objekt
old starého
group zbor
highways diaľnic
jul júl
as ako
available dostupný
members poslancov
circumstances okolností
czechoslovakia československá
different odlišuje
literary literárne
increases stúpa
difficult ťažká
