insignias obilježja
fierce žestoke
needed trebale
civilizations civilizacije
connected povezanih
bigger većeg
rugby ragbi
lower donji
gave dali
force snaga
last trajati
soldiers vojnike
green zeleni
gave davao
electronics elektronika
rapidly naglog
civil građanski
home domovinu
state državnim
cell ćeliju
fighter borbeni
charcoal ugljen
sssr sssra
adult odraslih
alone samog
ethnic etničkim
rich bogat
finals finalu
subjects podanika
leadership vođe
decoration uređenja
western zapadnih
than nego
postal poštanskih
paper list
sir sira
nobles vlastela
express izražava
battle bitku
electric električne
diaspora dijaspora
elevation nadmorska
saws sellem
century stoljeću
him ga
balad balada
alcohol alkohola
known prepoznatljivi
passing dodavanje
minutes minuta
sweden švedske
conditions uvjete
connected vezana
mechanism mehanizam
short kratkom
female ženka
carried nosili
drought suša
use korištenju
american američkom
accomplished postiže
newer noviji
medication lijekovima
gave dalo
within unutar
represent predstavljala
crete kreta
opposite suprotnom
executed izvršila
know zna
observers posmatrača
maintain održi
everything svega
lakes jezera
ottoman osmanlijskom
agree slažu
communist komunističke
festivals festivalima
recording snimanje
less manju
bosnian bošnjačkog
belonging pripadnosti
radio radija
railwaymen željezničar
every svaki
equation jednačina
settled naseljavaju
boards pločama
oxidative oksidacijsko
strong snažno
version verzija
includes uključuje
speaks govori
machine mašine
collection zbirka
etc. itd
performances nastupi
bravery hrabrost
institute institut
organized organizirane
french francuskih
revolution revoluciju
moscow moskve
exporter izvoznik
germans nijemaca
firm strogo
normal normalno
town grad
god bog
maria marija
italian italijanski
moves kreće
uprising bune
south južno
orthography pravopis
people lica
law zakonski
moscow moskvi
raise porast
shield štita
oil ulja
austria austrije
do baviti
group grupi
school školskom
particularities posebnosti
larvae larve
possible moguće
court sudu
american američkoj
gained stekla
highway autoputeva
caused izazvala
generations generacije
by po
past prošlosti
establish osnivanju
characteristics osobina
million milion
nations narodima
duties dužnosti
according prema
jesus isus
sodium natrijum
risk opasnosti
size veličini
had imale
again ponovnog
process prerade
christian kršćanstvo
whose čijem
delegate poslanik
wood drvo
sculptor kipar
spoke govorio
steady mirno
experience iskustvu
damages oštećenja
july julu
places krajeve
friends prijatelji
moves pokreće
traders trgovaca
by samog
national državna
establishment uspostavljanje
signing potpisivanja
temperate umjerena
negative negativno
guards čuvari
fortification utvrđenje
developed razvijala
cells ćelija
centre centara
may mogu
leaves listove
toccatas tokata
snow snijeg
thematic tematski
effects efekti
qadi kadija
decreases smanjenja
which kojom
findings otkrića
inheritance baštini
national narodnom
amounted iznosio
camp logoru
music muzičkih
national narodna
because zato
ser sira
search traži
gather okupljaju
bank banke
connections vezama
shelters skloništa
exist postoje
novel roman
balkan balkanskih
corps korpusa
electricity elektriciteta
pity šteta
jankovic janković
radio radijski
sugar šećer
station stanicu
home domaći
levels nivoa
make učini
judge sudije
showed pokazao
you vas
philosophers filozofa
his njihovim
star zvijezda
geographic geografskom
exist postojati
winners prvaci
terms smislu
future budućnosti
classical klasičnog
tops vrhovima
vitamin vitamina
pupil učenik
tobacco duhana
medicine medicini
ireland irskoj
sisters sestre
electric električni
firm čvrsto
sea morima
units jedinki
our našim
zone zonu
bone kocka
aims ciljeve
left lijevoj
deals brine
declaration povelja
south južnu
scorer strijelac
most većem
illyrian ilirska
made napravila
gaseous gasoviti
male mužjak
spiritual duhovnog
muhammad muhammedu
croatian hrvatskim
investments ulaganja
right desnu
gender spola
rites obreda
were nalazili
separations razdvajanja
latvia latvija
neighbors susjeda
story priče
french francuskim
conditions uvjeta
her nju
newspapers novine
female ženke
biggest najvećeg
spaces prostorima
kingdom kraljevine
tourism turizam
mehmed mehmedu
machine mašina
hear čuo
fortress tvrđavu
taken zauzela
sings pjeva
achieve postigli
performances nastupe
sum sabiranje
press novinarstvo
known poznato
distinguish istaknuti
formed nastaje
railroad željeznice
reform reforma
organized organizirana
piezoelectric piezoelektricitet
gene gen
mark oznaka
division podjelu
political političkih
mostly mjeri
schedule raspored
right pravom
sports sportom
since budući
ancient drevnog
from sa
success uspjehe
organ organa
copy koplja
america amerika
which kojoj
venecia venecije
view pogled
daughter kćeri
institution institucija
possible mogući
analysis analiza
conclude sklopiti
criticism kritike
theoretically teoretski
leaves listovi
battery baterija
basic osnovnih
noticed zabilježen
story priča
pictures slike
protection zaštitu
had imala
do činiti
geographical geografskom
found nalazilo
united ujedinjeno
pool bazena
restriction ograničenje
fought borio
soul duše
angle ugao
owns posjeduje
quantities količinama
represented predstavljalo
faith sudbinu
decreases opada
cavalry konjica
enforced provela
puts stavlja
itself sobom
bulgaria bugarskom
towns gradova
privately privatno
council savjet
aims ciljeva
is jeste
haag haškog
seal pečat
turtle kornjače
cause izazvati
square kvadrata
celebrated slavi
joined pridružio
huge ogroman
believe vjeru
center središtem
derive proizlazi
french francusku
ordinary običnih
which ciljem
green zelena
fishing ribolov
sportsman sportista
aperture otvora
austria austrija
eventually eventualno
left lijevom
measures mjera
only jedno
provide omogućiti
accurate tačna
refinery rafinerija
heavy teška
marocco maroku
result rezultatom
hundred stotinjak
value valutu
end potkraj
teeth zub
exist postoji
results rezultati
study proučavanje
lowest najniža
testicles testisa
nicely lijepo
convent samostan
sets postavlja
heavier teža
many mnoga
july julska
athens atine
migration migracije
managed uspjele
east istočnog
seasons sezone
islamic islamska
damage oštećenja
important bitno
again ponovno
prize nagrada
suddenly naglo
characteristic obilježje
do vršiti
plain ravnica
know znati
hepatitis žutica
received dobijali
orientations orijentacije
study studij
must moramo
properties osobine
basics osnova
located nalazila
pull povući
races rase
york yorku
origin porijeklo
homonymous istoimene
pope pape
value valute
elements elemenata
be bude
great velikih
deeds djelatnosti
property vlasništvu
interests interese
networks mrežama
controls kontroliše
restricted ograničen
wanted željeli
group grupu
needs potrebu
fast brzo
ground zemlju
contests takmičenjima
solving rješavanje
experience iskustvo
encourages podstiče
true istine
political političkim
causes uzrokuje
hardness tvrdoća
bad loša
understanding razumijevanje
broadcast prenosa
our naših
signed potpisao
reform reforme
peninsula poluostrvu
zero nula
intent namjera
firm čvrsta
get dobijaju
livno livanjskog
area površinu
munich münchenu
separated podijeljen
holy sveta
homeland domovina
pains bolova
happiness sreće
documentary dokumentarni
business privrednim
general opća
listed navode
care brine
sport sportu
surface površine
owner vlasnik
constitutional ustavna
signed potpisan
french francuska
compound spoj
at kod
th og
screens ekrana
marble mramor
interesting zanimljivo
her njen
institution institucije
program programskom
guard čuvara
described opisao
thereby pritom
course donjeg
presumes pretpostavlja
wanting želeći
phenol fenol
flood poplave
decreases smanjuje
obligation obaveza
replaced zamijeniti
is јe
christmas božić
difference razlika
spreading širenju
center središte
return vraćanje
texts tekstovima
krajina krajine
concert koncerte
device aparata
separated odvajaju
volleyball odbojci
story fabula
down donjim
crossed prešla
periods perioda
her njenog
clubs klubovima
tests ispitivanja
coins novčići
sign potpisao
giving davao
united ujedinjeni
mentions pominje
described opisan
duke vojvode
religion vjeri
time vremenske
medicine medicinu
workers radnički
meeting susret
rock rok
made izvršen
technical stručni
friends prijatelja
lingual jezične
illyrian ilirsko
ball lopta
austria-hungary austrougarske
greeks grci
competitions takmičenjima
places mjesta
elected bira
economy privreda
resulted rezultiralo
permanent stalne
france francuska
forces sile
principals principa
mainly uglavnom
leftover ostala
lines liniji
someone nekog
analysis analize
want htio
islamic islamske
name imenu
restrictions ograničenja
monuments spomenika
formula formule
prize nagrade
lines linije
later kasnijih
general opće
channel kanala
represents predstavlja
older starijih
companies firme
any ikakve
programming programiranja
famous čuvena
primary osnovnu
museums muzeja
level nivou
faces lica
force snagu
doses doze
program programskog
equipment sprave
located nalaze
aircraft letjelica
started krenula
relatively relativno
verses stihovima
manufacturers proizvođača
divide dijeli
met susreću
athens atina
basics osnove
operative operativnih
radiation zračenje
geographical geografskog
actively aktivno
odyssey odiseja
championships prvenstva
category kategorija
conversation razgovor
scottish škotske
understanding razumijevanja
computer računaru
declares proglašava
built građene
city gradom
business privrednih
up gore
legs noge
stamp marke
valleys dolinama
reform reformi
seven sedam
expelled protjerani
fighting borbeni
elements elementima
when kad
traces tragovi
interpretations tumačenja
illyrian ilirski
treat liječenju
small malim
equality ravnopravnost
magnificent veličanstvenog
culture kulturom
directions pravaca
monument spomenik
atom atoma
february februaru
significant značajnih
travel putovanje
qurban kurban
developed razvili
accumulation sabiranje
hard tvrdi
allah allahu
east istočnom
difficult teško
foreigners stranci
body tijelom
modern moderno
study proučavaju
came stigao
muscles mišići
female ženskog
simply jednostavno
song numera
property vlasništvo
glands žlijezde
krypton kripton
acquired stekla
is nalazi
game utakmicu
department odsjeka
known poznatu
classify svrstati
war rata
commands naredbi
surface površini
sociable društvenim
satellites sateliti
dialect narječje
religions vjeroispovjesti
africa afriku
sources vrela
communist komunistička
consider smatraju
probably najvjerovatnije
knee koljena
characteristics osobine
marshal maršala
usa sad
movements pokretima
days danima
east istočnoj
august augusta
united ujedinjene
war ratovima
area oblast
under pod
lovely lijep
treatment tretmanu
finals finale
connection spoj
some nešto
flood poplava
wrote pisali
attempts pokušajima
effects efekte
her njome
specter spektar
reach dostižu
him njim
vocal vokal
program programe
experience doživljava
south južni
malignant maligni
analysis analizi
american američkog
continuous nastavlja
dedicates predaje
shape oblikom
areas prostorima
leaves listova
cause izazove
provides omogućuje
disc diska
arab arapa
socialism socijalizam
prussia pruska
arabian arapskih
serbian srpskog
oldest najstarija
colon crijevo
equipment opremu
therapy terapija
looks gleda
families porodicama
foča foči
radiation zračenja
frame rama
stephen stefana
programming programiranje
energy energije
some određena
oriental orijentalnim
typical tipičan
joint zajednička
danube dunav
lines linija
sorrel kiseljak
general opći
effector efektor
knees koljena
minor maloj
crossed prešli
knot petlje
feeling osjećanja
heavier teži
except izuzev
many mnogi
processes procesi
landscape krajevima
goal svrsi
increasing porasta
franjo franje
fast brze
part udio
comprehend spoznati
islamic islamski
meantime međuvremenu
influence utiču
took zauzeti
broadcast prenosi
tsardom carstvo
topic tema
his svoga
district četvrt
sales prodaja
exerts vrše
morocco maroka
as kao
found osnivaju
dial pozivni
caused izazvalo
tombstone stećak
republica republikom
match utakmicu
divide dijele
belonged pripadnik
kept čuvaju
transition prelazak
diseases bolestima
white bijele
contract ugovorom
replied odgovorio
reveals otkriva
wien beča
cover omot
someone nekom
demands zahtjeva
description opisa
iron željezo
built građena
charters povelje
what šta
reveal odaje
varieties sorte
sport sportska
themselves sebe
of para
corona korona
zone zona
however pak
do vrše
computing računarstva
time vrijeme
bosniaks bošnjacima
continuously neprekidno
patient bolesnika
power moći
republic republikom
zakat zekat
formation nastanak
fruit voće
official zvanično
performer izvođač
brightness svjetlost
development razvitak
origin porijeklu
displeasure nezadovoljstvo
mode načinu
germany njemačku
between međusobnom
right desne
economy privredi
modern moderne
leader vođa
book knjigu
discern razlikovati
strength snage
turkish turskom
name naziva
accepted prihvatili
near nedaleko
minerals mineralne
men muškarce
bears nosi
puerto porto
race rasa
last posljednjim
quantum kvantne
strong snažna
constitutional ustavni
own vlastitog
general općem
enters uđe
murdered pogubljena
french francuski
state narodnih
parts dijelove
ensemble ansambl
speaking govoriti
isomerases izomeraza
stage fazi
executes izvršava
africa africi
less manja
tragedy tragedije
use upotreba
flow protok
fin peraja
notice primjećuje
mining rudarstvo
plot fabula
wreath vijenac
franciscan franjevački
writers pisci
australia australija
ramadan ramazana
provincial zemaljska
speak govorimo
passed prešla
german njemačkog
volume volumen
yellow žuto
stay ostati
unemployment nezaposlenost
reflects reflektuje
handball rukometni
bible biblije
wider širem
days dana
olympic olimpijski
allegedly navodno
stone kamenim
snakes zmija
coins novčića
declared proglasili
coming dolazilo
standpoint stanovišta
cinema filma
control kontrolom
religion vjera
purpose svrsi
male muškog
soft blaža
attempting pokušava
wishes želje
ad ere
efficiency efikasnosti
refuse odbacuju
such ovakvog
great velikim
mouth usta
southeast jugoistočnom
using koristeći
arrival dolaska
plain ravnice
crosses prelazi
interior unutrašnja
expanding širiti
modifications izmjene
gave dala
migration migracija
foča foče
processes procese
muscles mišića
links linkovi
turkish turskoj
pope papa
fast brzi
secret tajna
as kakve
hungarian ugarskog
diameter prečnika
bone kost
made napraviti
forest šumom
nurtures njeguje
heavy težak
preceding prethodnog
anges uglova
comparison poređenju
german njemačkom
coat sloj
many mnoge
vital životnih
aftermath posljedice
analysis analizu
forest šuma
humid vlažna
successor nasljednika
carrying nosila
file datoteku
silent tihog
caucasus kavkaza
force tjera
they one
developed razvila
husband muža
built građen
less manji
concerts koncerata
period perioda
develop odvijaju
included obuhvatala
outcome ishod
no ikakvih
sport sportske
synthesis sintezu
white bijela
man muškarac
football fudbal
needed potrebno
bar šipka
villager seljaka
came dođe
eighties osamdesetih
achieved postigao
fetus plod
party stranka
knowledge poznavanje
perform ispuni
road puta
court suda
explorers istraživači
houses kuće
naturally prirodno
establish uspostaviti
recognize priznaje
web mrežom
offering nude
courts sudova
managed uspjeli
represented predstavljala
museums muzeji
mechanical mašinski
height visinu
autumn jeseni
ever ikad
modern moderni
core srž
somewhere negdje
cooperation saradnji
derivative derivat
considering smatrajući
ways pravaca
logic logika
processing obradu
pass prolazi
hardness vlasac
constitutional ustavne
official zvanični
french francuske
electronics elektrotehnike
closed zatvorena
mineral mineralne
one jedan
photosynthesis fotosinteze
wanted zatražio
singing pjevanje
olympic olimpijske
economy privrede
dribble voditi
area površini
received usvojena
presidency sjedištem
artery arterija
supreme vrhovni
circle kolo
duke vojvoda
protestants protestanti
out izlaze
familiar prepoznatljive
pancreas gušterača
uncovered otkriven
widening proširenja
testings ispitivanja
marriage braku
leaders vođe
peacefully mirno
parts dijelova
birth rodnom
morale moral
adopted prihvaćen
keyboard klavijature
small malih
conscience svijest
tragedy tragedija
spread širiti
lateral pomoćne
religion vjere
time vremenski
slowly polahko
along duž
south južna
started krenuli
profession zanimanje
resources sredstvima
krajina krajini
if ako
steel željezo
regiment puka
due tokom
functions funkcija
anode anoda
strong snažne
goddess boginja
conclusion zaključak
who kog
general općeg
fear strah
civil građanska
virtues vrline
permission dozvolu
sokolović sokolovića
mouth ušću
files datoteke
permanent stalni
picnic izletište
songs pjesmama
men muškarci
officially službeno
letter slovom
that koji
dalmatia dalmaciji
challenges izazove
held održavaju
meka meke
ussr sssr
occasionally povremeno
periphery periferiji
stomach želudac
switzerland švicarskoj
to ciljem
penalties kazne
regular redovito
consist sastoje
hero heroj
detainees logoraša
historical historijski
led vodili
brought dovele
difference razliku
third trećem
model uzoru
completed završio
giordano bruno
partners partneri
defence odbrana
phosphor fosfora
history historiji
entered ušli
sight vidu
element elementa
hill brdo
february februara
geometric geometrijski
accidentally slučajno
populated naseljenih
white bijelo
enter ušao
that takvu
show prikazu
maximum maksimalno
bodies tijela
believed vjerovali
necessary neophodni
retain zadržavaju
river riječna
try pokušaju
captain kapetan
characterize karakterišu
lead dovesti
ended završio
use korist
traffic saobraćaj
some neka
subject temu
flowers cvjetovi
former prethodnog
wider šire
file datoteci
important značajni
southeast jugoistočnoj
height visini
bishop biskup
animals životinje
albania albanija
lasts traje
applying primjenu
came dolazili
access pristupa
total zbir
proposal prijedlog
awarded nagrađen
natural prirodnih
religious vjerskog
observed zabilježena
they oni
agreement dogovora
winter zimske
both dvoje
june junu
music muzička
joins spaja
wounded ranjen
organism organizama
actor glumac
rocky stjenovitih
coach trenera
refugees izbjeglica
send šalju
brain mozak
importance važnost
environment okolinom
betrayal izdaju
affair afera
early ranog
known navedenih
regarding pogledu
authorities vlastima
constructions konstrukcije
institute ustanova
climate klima
faith vjeru
handball rukometna
pressure pritisak
ramadan ramazan
disintegration raspadom
determine određuju
leaving izlaska
taken uzeti
artery arterije
modern savremenim
lasting trajale
opened otvara
morning ujutro
greek grčkih
battle borbi
meaning smisla
law zakona
olympics olimpizma
italy italija
majority većini
involute evolventa
largest najvećeg
number broj
rate stopa
banks banke
study učenje
systemic sistematski
participate učestvuje
employees zaposlenih
mecca meku
perform nastupaju
only tek
mahmoud mahmud
height visine
member člana
zone pojasu
skull lobanja
surface površinu
rhythm ritma
public narodnim
propensity sklonost
country domovini
distribution distribucije
mechanical mehanički
conflict sukoba
died umro
stolen ukraden
slave robom
controlling upravljanje
cesar cezara
individual pojedinim
executive izvršna
regard obzira
planing planiranja
occasions prilikama
connecting povezivanje
primarily pre
deconstruction dekonstrukcija
brought doveli
matter tvari
first isprva
spreading širenje
some nekom
center centar
this ovakav
see vide
earth tla
empire carstva
nest gnijezdo
songs pjesama
holy sveto
late kasno
building građa
life životu
has raspolaže
caviar ikru
bottom dno
history historije
others drugi
creation stvaranje
moves seli
kingdoms kraljevine
eastern istočna
medina medine
makes tjera
nikola nikole
called zvao
won osvojili
molecular molekularna
tickets karata
literary književne
some nekoj
oldest najstarije
largest najvećem
named imenovan
celestial nebeska
met upoznao
heaven raja
evident vidljiv
slower sporije
drive nagon
small malu
spot tačku
author autora
wear nositi
origin izvorni
dark tamno
luxembourg luksemburg
some neke
areas predjelima
music muzičke
pig svinja
cars kola
linear linearno
bacteria bakterija
officers oficira
mutual međusobno
beginning pojavom
covers pokriva
sultan sultana
football nogomet
citizens stanovnici
beings bića
called zvan
precipitation oborina
middle srednjoj
interior unutrašnjost
football nogometna
historical historijske
animation animacija
migration seobe
answered odgovorio
provinces provincija
ownership posjed
origin porijekla
two dvije
treatment liječenje
coastline obalama
winter zimi
goals golova
hair kose
processes obrađuje
provinces provincije
united saveznih
younger mlađa
items predmetima
stopped prestala
race rase
majority mnoštvo
southern južna
climate klime
computer računara
some nekog
parts dijelovi
man muškaraca
bible bibliji
planet planeta
necessary neophodno
situations situacijama
sexually seksualno
delphi delfi
adding sabiranje
contains sastoji
assemble sklopiti
ideology ideologije
length dužinu
court sudom
square kvadratni
there nalazili
achieve ostvaruje
luka luke
square trga
form oblik
white bijeli
workers radnika
so-called takozvani
name glasi
border krajini
beverages pića
writes upisuje
power snazi
left napustio
study izučava
based sjedištem
village selu
strangers stranci
errors greške
thick debelog
nickname nadimak
area površina
couple par
adding dodavanjem
placed stavio
greek grčkim
remains ostacima
gland žlijezda
karl karla
toccata tokata
claim tvrde
formation nastanka
alps alpa
persons osobama
dyn din
view stajalište
ottoman osman
considerable znatne
biggest najveća
north sjeveru
early ranom
let nek
old stara
spreading širenja
show pokazati
power moć
page stranici
achieves ostvaruje
more većim
turns pretvara
comparing usporedbi
banovina banovine
queen kraljica
black crnih
use upotrebljavaju
rates stope
abandoned napustili
record snimio
first prve
developed razvilo
obligatory obavezno
part del
aeneas eneja
sparrow vrabac
result rezultat
crown krune
oxidation oksidacije
creation stvaranja
observed uočio
see vidi
og oi
year godina
fact facto
high velikom
messenger poslanik
different razna
increase povećanje
external vanjskog
tin kalaj
merit zasluge
yet već
hardware hardver
entire cjelokupne
crypton kripton
private privatno
phenol fenoli
were bijaše
not nisam
determination određivanje
residents građane
counties pokrajina
neighbor susjedima
third treća
presented prikazan
economic privrednog
says govori
historically historijski
relativity relativnosti
economic ekonomskih
multiple mnogobrojnih
grow naraste
graphic grafičkih
build gradi
quiet tih
at pri
announce objava
supplies zalihe
boat brod
soccer nogometa
relationships odnosima
degree stepena
top gornje
article članku
carried nosio
activities aktivnosti
game utakmice
east istoku
his njegovoj
whole cijeloj
crisis kriza
eastern istočne
visit pohod
attendance prisutnost
river riječni
clutch zahvata
arrival dolasku
literary književni
queen kraljicom
historical historijska
light svjetlo
afterwards naknadno
musician muzičar
acknowledged priznala
considerable znatno
length dužini
imperial carski
alija alije
management upravljanja
procedures postupci
sometimes nekad
albania albaniji
play igrati
building izgradnjom
mineral rude
later kasnijim
region oblast
items predmeta
cards kartica
primary osnove
which čemu
official službenih
them njima
whole cijelog
solar solarni
threat prijetnjom
pompey pompej
desert pustinja
praise pohvaliti
his njegovog
battles borbe
learn uče
ideas ideje
meaningful značajna
hair kosa
arabia arabija
what što
experienced doživjela
studying izlučivanje
establish osnivaju
younger mlađe
kuwait kuvajt
some neki
renaissance renesanse
answer odgovor
set šit
dyne din
disc disku
called naziva
numerous mnogobrojna
croatia hrvatske
whose čijoj
positions pozicije
battles sukoba
actors glumci
measure mjerila
processing prerada
placed smješteno
method metodu
keep čuvaju
thyroid štitne
factory tvornice
now sad
treatment liječenju
movie filma
metals metali
particularly izričito
founded nađeni
times vremenima
equipment opreme
italy italiji
act činom
farmers seljaka
arrives stiže
became nastao
kidneys bubrega
this tome
women ženskog
areas oblasti
strong snažnom
trigonometric trigonometrijske
empire carstvo
performance nastup
successor nasljednik
paris parizu
quantity količina
transistor tranzistora
built građa
declarations proglašenja
stocks dionice
roman rimskoj
queen kraljice
permanently trajno
deed djelo
especially napose
chairman predsjednik
building građevina
trying cilju
began stade
range domet
motive povod
austria australije
here se
planet planete
entered ušla
second drugu
history historija
features obilježja
summer ljetne
outstanding izvanredne
morocco maroku
presumed podrazumijevaju
belt pojasu
program programa
regulates reguliše
exercise vježbi
came dolazilo
osman osmanlijska
changed promijenio
constantly konstantno
some neko
chromatography hromatografija
oxide oksida
sorts sorte
lower donjim
except sem
bosko boško
brought dovela
secretion izlučivanje
gave dao
slovenia rumunije
residents građana
generation generacije
important značajnu
crown kruna
road put
languages jezicima
product ploda
whole cijelom
athens atini
audience publici
julia julija
left ostalo
national državnog
decease preminuo
classes slojeva
uniqueness posebnosti
properties osobinama
furniture namještaja
warriors ratnici
zero nule
earning privređivanja
placed smješteni
incas inka
internet internetu
wars ratova
won osvojila
look izgleda
return povratku
survived preživjeli
molecule molekula
bosnians bošnjake
armed oružanih
animals životinja
eastern istočni
foreign strana
term pojam
second drugo
necessary neophodne
pheromones feromon
administration uprava
strategy strategija
river riječne
influence uticala
date datiraju
department odbora
production produkciju
wider šira
dissipation disipacija
economy privredu
every svakog
making pravljenje
game utakmici
thoughts misli
spots pjege
layer omotač
crisis krize
extraordinary izvanredne
bladder mjehur
southeast jugoistoku
entry ulaska
bosnian bošnjački
girls ženski
younger mlađi
very izrazito
epidemics epidemija
spending makroekonomija
cave pećina
as kakvu
yes jeste
renaissance preporod
comparison poređenje
steam pare
but nego
held držali
where odakle
desert pustinje
isc ndh
when kada
taxing oporezivanja
grades ocjene
deals bavi
started počeo
architect arhitekt
added dodatu
sixties šezdesetih
processing prerade
marks oznake
morocco maroko
differentiation razlikovanje
religion vjeru
etc itd
like voli
titles titule
which kojem
subjects predmeti
united sjedinjene
gross bruto
entry ulaz
limitations ograničenja
win dobije
recorded sniman
majority većine
full pun
holy sveti
wait čeka
cinnabar cinabarit
achieve postizanja
provoke izazvati
issue izdaje
russians rusi
files datoteku
dostoevsky dostojevskog
deity božanstva
arabia arabije
living živih
names imenima
origination nastanak
height visina
converges konvergira
epoch epohe
ljubljana ljubljani
jajce jajca
concerns tiče
reflects odražava
mohammed muhameda
artist umjetnik
numerous mnogobrojne
russian ruskom
roman rimskom
position poziciju
bread hljeba
literary književno
nerv nervni
oxygen kisika
input ulaznih
try pokušaji
heroes heroja
accomplish ostvaruju
italy italije
vakuf vakufa
there nalazila
boson bozon
mass masa
own svojom
country domovine
land kopna
achieved ostvarila
instead umjesto
his njegovom
zeljko željko
area predjelu
feminine ženski
equipment oprema
marriages udaje
ovaries jajovod
wives supruge
unfortunately nažalost
nationality nacionalnosti
goal cilja
tour turneju
world svijetom
modern savremenih
austria australiji
algae algi
enlarge povećava
directions uputa
