roamed ફર્યો
including સહિતની
time વખતની
got મળ્યો
allowed ચૂક્યા
karur ક્રૂર
combined સાથેનું
forest જંગલ
critic ટીકાકારો
attacks ત્રાટકે
reach પહોંચવા
occasion નિમિત્તે
mechanism હિલચાલ
foot પગે
dominating પ્રભાવક
killing વધ
find શોધી
enough પુરતો
poetry પદ્ય
perfection ચોકસાઈ
her તેનું
at ખાતે
portugal પોર્ટુગલ
still હજી
for જાને
collective સમૂહને
world વિશ્વનાં
nasa નાસા
smsc એસએમએસસી
kashi કાશી
business ઉદ્યોગને
1955 ૧૯૫૫
horse ઘોડા
submission શરણાગતિ
prices કિંમતો
read વાંચી
take લેતા
was રહ્યુ
our અમારા
manikin વામન
done કરેલો
inhabitant નિવાસી
deaths વિગતો
build બાંધવા
defence સંરક્ષણ
ruling ગાદીએ
as તરીકેનો
admin શાસનના
galaxy તારાવિશ્વો
win જીત્યા
arabi અરબી
side પડખે
favor તરફેણ
expensive ખર્ચાળ
novelty નવતર
direction દિશા
low ઘટી
hind હિન્દ
solid નક્કર
possibility શક્યતા
arrangement જોગવાઈ
fairy અપ્સરા
any કોઈ
photo ફોટો
programme કાર્યક્રમ
shah શાહ
change પરિવર્તન
obstructions અવરોધો
of નું
wild વન્ય
more ઘણુ
gandhari ગાંધારી
favour તરફેણ
triangle ત્રિકોણ
time વખતના
arvind અરવિંદ
solution હલ
myth દંતકથા
is છે
14 ચૌદ
home ઘરે
called કહીને
side પાસા
thing વસ્તુ
lac લાખ
situation સ્થિતિ
frame જમીનમાં
worship પૂજન
risks જોખમો
third તૃતીય
culture સંસ્કૃતિ
steps પગલે
dictator સર્વાધિક
indians ભારતીયો
made કિએ
grace પુષ્ટિ
habitat નિવાસસ્થાન
pride ગૌરવ
information ઇન્ફોર્મેશન
explain સમજાવવામાં
algebra બીજ
from બાજુથી
advantage ફાયદાઓ
high ઉંચી
x એક્સ
municipality પાલિકા
emerging ઉભરી
made બનાવ્યા
a.d. ઈસ
complexion સ્વરૂપને
marriage લગ્નનો
similar પર્યાય
confusion વિભાવના
story કથા
attract મોહી
action અસર
informations માહિતીના
high હાઇ
apolo એપોલો
generation જનરેશન
husain હુસૈન
only માત્ર
upanishads ઉપનિષદ
ours અપને
periodicals સામયિકો
died માર્યા
salt મીઠા
civilization સંસ્કૃતિ
pizza પીઝાનો
published પ્રકાશિત
said કહ્યુ
hiv એચઆઇવીના
connection જોડીને
having આવેલાં
suddenly અચાનક
wrote લખ્યું
undecided અનિશ્ચિત
seen જણાયું
1934 ૧૯૩૪
gave આપ્યુ
lonely એકલા
series સીરીઝ
lean ઝુકી
depression તનાવ
download ડાઉનલોડ
central મધ્યમ
narmad નર્મદ
underneath હેઠળના
age એજ
systems સિસ્ટમ્સ
certain ચોક્કસ
ancient આદિ
rarely કયારેક
did કરેલી
division વિભાજન
centralized કેન્દ્રીત
credit શ્રેય
a.d. સન્
kilometers કીમી
sin પાપ
vessel જહાજ
images છબીઓ
their એમનાં
beside બાજુની
many કેટલાય
both બન્ને
live સજીવ
birth જન્મ
part ભાગમાં
european યુરોપિય
established સ્થાપિત
breakage ભંગાણ
nations નેશન્સ
pond તળાવને
shore તીરે
go જવો
inform જાણ
unseen અદ્રશ્ય
held યોજાઈ
shape આકાર
facets પાસાઓ
interpretation અર્થઘટન
aries મેષ
ac એસી
several ઘણીબધી
swami સ્વામિ
tulsidas તુલસીદાસજી
deaths મૃત્યુઓ
presented અપાયો
fans શોખીન
stuff વસ્તુ
erupted નિકળ્યા
gave આપ્યા
gone જાય
culture સંસ્કૃતિનું
mile માઇલ
towards તરફના
month મહિનો
strong સબળ
continent ખંડો
deed ક્રમ
gain પ્રાપ્તિ
game ગમત
english ઇન્ગલિશ
erosion ધોવાણ
biology જીવવિજ્ઞાન
verification ચકાસણી
different દુર્લભ
foreigner પરદેશી
last ગત
poor ગરીબ
ordinary સામાન્ય
infatuation આસક્તિ
dictionary શબ્દભંડોળ
pleasure મજા
organizations સંસ્થાઓના
high ઉંચા
hiv એચઆઇવીની
bliss કૃપા
vinayak વિનાયક
merely માત્ર
pronouns ઉચ્ચાર
specialists નિષ્ણાતો
force ધકેલી
as તરીકેના
need જરૂરિયાત
figure આકાર
could શકાતા
get મળતો
machine મશિન
aggressive આક્રમક
never ક્યારેય
kolkata કલકત્તામાં
diversity વૈવિધ્યતા
universe બ્રહ્માંડને
species જાતિમાં
layer આવરણ
fight લડતમાં
carrier વાહક
every દરેક
wounded ઘવાયા
field ક્ષેત્ર
swami સ્વામી
first ઉત્તમ
things વસ્તુઓ
diseases રોગ
about વિષેની
muslim મુસલમાન
established નાખ્યો
chariot રથ
clan પંથ
heroin અભિનેત્રી
battle સંગ્રામના
wages વેતન
chapter અધ્યાયમાં
company સાથેનો
average સરાસરી
listen સંભાળે
ashok અશોક
like તરીકેનું
lawsuits મૂક્યો
uncanny અલૌકિક
adil આદિલ
system વ્યવસ્થાને
confident દ્રઢ
aim ઉદ્દેશ્ય
1969 ૧૯૬૯
gratification આનંદ
critic વિવેચક
player પ્લેયર
sayajirao સયાજીરાવ
resided વસેલું
contract કરાર
earning કમાણી
keep રાખતા
transport પરિવહનની
towers મિનારો
hate તિરસ્કાર
iraq ઇરાક
computation સંકલન
1927 ૧૯૨૭
confiscate જપ્ત
volcanic વોલ્કેનિક
era સવંત
written લખ્યુ
bondage બંધન
compromise સમાધાન
telecast પ્રસારીત
fields ક્ષેત્રો
lashkar લશ્કર
thakor ઠાકોર
cold ઠંડો
gets મેળવે
question પ્રશ્ન
keep રાખીને
rank ક્રમાંક
as તરીકેની
people જન
prime વડા
politically રાજકીય
survey સર્વે
colour રંગો
wandered ફર્યો
idea ખ્યાલ
racial કોમી
county તાલુકો
formal ઔપચારિક
defect દૂષણ
dirt ધૂળ
bay અખાત
prognostication ઉચ્ચારણ
taken લીધો
did કરી
campaign મોરચો
excess અતિ
lakh લાખથી
professor પ્રોફેસર
burn બળી
spiritual દિવ્ય
moves ફરે
began માંડ્યું
train ટ્રેન
recommendation ભલામણો
silence મૌન
her ઇનકે
difference તફાવતો
scotland સ્કોટલેન્ડ
expressed પ્રદર્શીત
attacks આક્રમણો
core પટ
ocean મહાસાગરમાં
vengeance વેર
census સેન્સસ
economics અર્થવ્યવસ્થા
gifted પ્રતિભાસંપન્ન
weapon અસ્ત્ર
mp એમપી
fusion એકીકરણ
very ખૂબ
medal ચંદ્રક
attraction આકર્ષણ
go જવું
missionary મિશનરિઝ
manchester માન્ચેસ્ટર
operation કામગીરીમાં
atmosphere વાયુમંડળ
arrangement આયોજન
bear બેર
1949 ૧૯૪૯
ravan રાવણ
send મોકલવાની
noted ઉલ્લેખનીય
stop વિરામ
so એટલે
equality સમાનતા
accordingly અનુસાર
scientist વૈજ્ઞાનિકો
nehru નેહરુને
prakrit પ્રાકૃત
small થોડા
crimes ગુનાઓ
aircraft એરક્રાફ્ટ
realized જણાવે
best શ્રેષ્ઠ
steps તબક્કા
constitution બંધારણ
war વોર
surprise આશ્ચર્ય
amount માત્રામાં
bowler બોલર
component ઘટક
appeal આવાહન
nickname ઉપનામ
cause સર્જી
movement ચળવળના
criticism ટીકા
anywhere અન્યત્ર
gave સોંપી
secretariat મંત્રાલય
notable ઉલ્લેખનીય
tales વાતો
jack જેક
seeing જોતા
countries દેશે
farm પશુપાલન
cellular સેલ્યુલર
captain કપ્તાન
points મુદ્દાઓ
flowing વહેતા
starting શરૂઆતનો
north નોર્થ
heritage ધરોહર
suggests સુચવે
direction માર્ગદર્શન
tell કહીં
difficult આકરી
blows પ્રહારો
partition ભાગલા
punch પંચ
that એનો
series શ્રેણીમાં
burst ફાટી
their પોતાનાં
ceremony સમારંભમાં
patna પટના
custody જેલવાસ
station સ્થાનક
calamity વિકટ
components ઘટકો
d.c. ડીસી
height ચઢાણ
refuge શરણ
with સહીત
bombing બોમ્બિંગ
month મહિને
architecture વાસ્તુકળા
incidents ઘટનાઓ
won જીત્યો
image તસવીર
writings લખાણો
10 ૧૦
fertile ફળદ્રુપ
federal ફેડરલ
austria ઓસ્ટ્રિયા
maintenance પોષણ
imprint છાપ
bharat ભરત
second બીજું
regarding અંગે
logic તર્ક
written લખ્યા
people માણસો
defeated હારી
lakshmi લક્ષ્મીની
excessive પડતો
monument સ્મારકો
acceptable મંજૂર
sir સાહેબ
science વિજ્ઞાનને
young યુવાન
take લે
happened બન્યુ
command હુકમ
make બનાવી
memory સ્મૃતિ
through દ્વાર
velocity વેગ
high ઉંચુ
finished ખતમ
army લશ્કરને
adventurous પરાક્રમી
trick ચાલ
worship આરાધના
inhibition મનાઈ
head વડા
kurukshetra કુરુક્ષેત્ર
upbringing કેળવણી
goa ગોવા
president રાષ્ટ્રપતિ
best સર્વોત્તમ
design આલેખન
international ઇન્ટરનેશનલ
got પ્રાપ્ત
64 ૬૪
war યુધ્ધમાં
saying લોકવાયકા
vishnu વિષ્ણુને
ireland આયર્લેન્ડ
spoken બોલાતી
sign સંકેતો
movement ચળવળની
moral સાર
absorption શોષણ
sweet મધુર
sim સિમ
poems કાવ્યો
feelings લાગણી
replace બદલવામાં
important મહત્ત્વનો
blood લોહી
kolkata કોલકાતા
ratio પ્રમાણ
mouth મોં
attack હુમલાઓ
cobra નાગ
made બનેલ
links લિંક્સ
fell પાડી
decoration અલંકરણ
spread પથરાયેલી
during અરસામાં
priests સંતો
documentary દસ્તાવેજી
romania રોમાનિયાની
powerful શક્તિશાળી
heritage પરંપરાના
unique અનુપમ
unbeatable અજેય
metric મેટ્રિક
characters પાત્રો
got પામ્યું
temples માંડવી
ten દસ
described વર્ણવવામાં
gift એનાયત
understand સમજાય
pandey પાંડે
include સમાવેશ
several કેટલાય
college કૉલેજ
his એમનાં
springs ધુણો
automatic એટોમિક
of ખાતેની
virgin વર્જિન
more ઘણો
feet ફુટની
presence હાજરી
advisor સલાહકાર
umbrella છતરીઓ
varanasi વારાણસી
tradition રિવાજ
regarding બાબતમાં
order હુકમ
informations માહિતીઓ
method વિધિ
near આસપાસનો
look હાલત
entering પ્રવેશી
administration વહીવટીતંત્ર
activity પ્રવૃતિ
considered ગણાતી
west પશ્ચિમમાં
collect એકત્ર
incidence બનાવ
mayor મેયર
ravan રાવણે
gujarat ગુજરાતની
residence ઘર
this ઇસે
preparation તૈયારી
express વ્યકત
follower અનુયાયીઓને
platform ફલક
present હોવાનો
after પછી
fulfills પૂરી
willing ઇચ્છતા
categories વર્ગો
method વિધી
stayed રહેતાં
campaign અભિયાન
contemplation સમાધી
1983 ૧૯૮૩
telugu તેલુગુ
devotee ભગત
large મોટાં
residence ભવન
version સંસ્કરણ
capable સમર્થક
mosque મસ્જીદ
speciality વિશેષતા
dignitary મહાનુભાવો
charitable સખાવતી
poet કવિઓએ
developing વિકસતા
everybody દરેકને
rigidity જટિલતા
clayey માટીના
working કામગીરી
five પાંચ
secret ગુપ્ત
accept સ્વીકારવામાં
areas વિસ્તારોની
always મોટાભાગે
on જારી
watch ઘડિયાળ
counting ગણી
continuous સતત
mistake દોષ
declared ઘોષિત
nonviolence અહિંસાના
thousands હજારો
types પ્રકાર
defined વ્યાખ્યાયિત
mountains પર્વતો
massive ધરખમ
rare અમુક
india ઝાંસી
taken લેવાયું
sentiment ભાવના
mixed ભળી
leaves પાંદડા
so એમ
starter શરૂઆતની
know ખબર
come આવ્યું
small નાણાં
below નીચેની
policy નીતિઓ
feel અહેસાસ
lessons અધ્યાય
ten દશ
custom રિવાજ
necessary જરૂરિયાત
successes સફળતાએ
administration વહીવટ
writes લેખમાં
terrorism આતંકવાદ
narad નારદ
declaration એલાન
technical તકનીક
rebellion વિદ્રોહ
daily દરરોજ
7 ૭
businessman વેપારી
after પછીનાં
that ધેટ
speed ગતિ
estimates અંદાજો
group ગ્રુપ
happening થવાનો
counting ગણતરીમાં
let લેટ
explanation ખુલાસો
christians ખ્રિસ્તીઓ
considered ગણાતા
her તેનામાં
the સૌથી
effort પ્રયાસ
network નેટવર્કના
vision દૃષ્ટિ
everywhere સર્વત્ર
tears ફાટે
does થતો
historical ઐતિહાસીક
extremely તદ્દન
since ત્યારથી
happened થઈ
friends મિત્રો
name હોગવર્ટ્સ
practice અધ્યયન
mention ઉલ્લેખ
mountain પર્વતોમાં
used વપરાયો
kyoto ક્યોટો
did કરેલો
name રાવણના
steps પગલા
khan ખાને
trend ફેરફાર
now અત્યારે
states સ્ટેટ્સ
sidereal તારક
lebanese લીબનીઝ
hotel હોટેલ
other અન્ય
union યુનિયને
thai થાઇ
efforts પ્રયત્નો
healthcare હેલ્થકેર
effective પ્રભાવી
spread વિસ્તૃત
decreasing ઘટવા
famous પ્રશિષ્ટ
courtesy વિવેક
having ધરાવતા
orbit પ્રદક્ષિણા
lonely ઉજ્જડ
persian પર્શિયન
offer અર્પણ
inspiring ઉત્તેજન
by દ્વાર
keep રાખ્યું
death દેહાંત
freshness તાજગી
happened થયેલાં
quality ગુણ
importance મહત્ત્વ
addition ઉમેરવામાં
king બાદશાહ
simultaneously એકસાથે
chawla ચાવલા
merged સમન્વિત
provide આપશે
at સુધીનું
yak યાક
date તા
spiritual આધ્યાત્મિક
food ભોજન
say કહું
considered રાખ્યો
large મોટાપાયા
happened થઇ
small ઓછા
institute ઇન્સ્ટીટ્યુટ
chinese ચીની
went જઇને
ramakrishna રામકૃષ્ણ
done હુએ
adding ઉમેરી
cities શહેરો
increase વધી
only કેવલ
types પ્રકારો
department ડિપાર્ટમેન્ટ
having વાળું
imagination કાલ્પનિક
mixed ભળે
cure ચિકિત્સા
head મસ્તક
beside બાજુમાં
famous જાણીતું
tourists પર્યટક
john જોહ્ન
gandhiji ગાંધીએ
modi મોદી
sick માંદા
seemed જણાયું
.com કોમ
acceptance સ્વીકૃતિ
prevailing પ્રચલીત
many મોટી
earlier પહેલાની
sister બહેન
rule નિયમો
important અગત્યનું
listened જણાવવામાં
nature સ્વરુપમાં
day દિવસીય
ambedkar આંબેડકર
dangerous ભયંકર
persons માણસોને
interesting રોચક
point પોઇન્ટ
0 ૦
against વિરુદ્ધ
interest રસ
giving આપતી
voice સુર
spoken બોલ્યા
man ચાહતા
built બાંધી
paid ચૂકવવામાં
fierce પ્રખર
started માંડ્યો
involved સંકળાયેલો
indian ઈન્ડિયન
surname નેહરુની
solar સૂર્યની
again ફરી
systems પદ્ધતિઓ
going જાતો
venus શુક્ર
part ભા
lava લાવારસ
extreme પ્રખર
chennai ચેન્નઈ
panduranga પાંડુરંગ
digest ચયાપચય
held યોજાયેલી
kingdom દરબાર
level સ્તર
having ધરાવતી
1869 ૧૮૬૯
notice ખરડો
bias પક્ષપાત
hymn સ્રોત
done થયેલું
keeping રાખવામાં
farming ખેતી
who જેમને
determination નિશ્ચય
manipur મણિપુર
ours આપણને
halt પડાવ
recognized ઓળખાયો
high તીવ્ર
settles ઠરે
hight ઊંચાઇ
prestigious ગૌરવપૂર્ણ
comet ધૂમકેતુ
sunset સૂર્યાસ્ત
speaking બોલનારા
united યુનાઈટેડ
god માતાજીની
formation નિર્માણ
valley ખાઈ
meeting મુલાકાતમાં
sardar સરદારે
movement ચળવળને
private ગુપ્ત
mythological પૌરાણીક
16th ૧૬મી
solder લશ્કરના
muslim મુસ્લિમ
agreed સહમત
collection કોષ
food અન્ન
immersion વિસર્જન
making બનાવવી
london લંડન
done દીધાં
whole સંપૂર્ણ
peoples લોકોનો
fall પડ્યા
person વ્યક્તિત્વ
virtue ગુણ
location જગ્યાએ
clearly સ્પષ્ટપણે
admission ભરતી
supporter ટેકેદારોએ
useless બાકાત
possession અપરિગ્રહ
give આપેલી
own અપની
color રંગ
injured દોષિત
name અશોક
drama નાટક
essential આવશ્યક
completely સદંતર
crowd સમુદાય
publications પ્રકાશનો
charming પ્રતિભાશાળી
critics ટીકાકારો
message મેસેજ
dave દવે
sisters બહેનો
take લેવી
earlier પહેલાના
legislative વિધાનસભાની
noble ઉમદા
disbursed વહેંચવામાં
does કરે
efficiency કાર્યક્ષમ
stone પત્થરની
sent સેંટ
rejection અસ્વીકાર
17th ૧૭મી
make કરવાનો
in ગોળાર્ધમાં
but પરંતુ
everywhere રંગે
advice સલાહ
fail અસફળ
only કેવળ
burst ફાટે
non-vegetarian માંસાહારી
hyderabad હૈદરાબાદ
hight ઊંચાઈ
campus સંકુલમાં
feels અનુભવે
fulfilled સાર્થક
faras ફ઼ારસ
leaders નેતાઓ
religion ભક્તિ
enlightened જ્વલંત
maybe શક્યા
hindu હિંદૂ
pages પેજીસ
in ઈન
was થયુ
atal અટલ
his તેમનાં
removed કાઢી
1948 ૧૯૪૮
control વર્ચસ્વ
having ધરાવતો
excellent ખુબજ
proved સાબિત
confirm પાકે
pain કષ્ટ
supreme શ્રીલ
wars સંઘર્ષો
1810 ૧૯૧૦
valencia વૅલેન્શિયા
known ઓળખતા
power શકિત
fall પાનખર
the ઘી
given આપેલી
does થતુ
given અપાવી
first આદિ
executive એક્ઝિક્યુટિવ
f. એફ
authority અધિકાર
panthera પેન્થેરા
intensity તીવ્રતા
sultan સુલતાને
origin મૂળ
indigenous સ્વદેશી
county કાઉન્ટી
probability સંભાવના
fighter લડવૈયા
gratitude આભાર
giving આપતો
television ટેલિવીઝન
2003 ૨૦૦૩માં
this ઇસી
appropriate યોગ્ય
patching ભરવા
duration સમયગાળો
islam ઇસ્લામ
energy શક્તિ
night રાત
increase વધશે
fight લડી
hindu હિંદુ
thrown ફેંકી
last પાછલી
like જેમ
nearby નજીકનાં
spring વસંત
ras રાસ
specialism લાક્ષણિકતા
puts મુકે
others અન્યો
middle તટસ્થ
threat ધમકી
living રહે
channel માધ્યમોમાં
brink અણી
put મુક્યો
corruption ભ્રષ્ટાચાર
equal સમાન
leaving છોડવામાં
sight દૃશ્ય
devotees ભક્તો
species પ્રજાતિ
break ભંગ
done કરાવ્યું
malay મલય
trophy ટ્રોફી
remaining બાકીના
hibernate સુષુપ્ત
transportation પરિવહન
drawing આલેખતી
their એમના
county કાઉન્ટિ
wheat ઘઉં
storm વંટોળ
existing હયાત
town ટાઉન
iran ફારસ
various બહુવિધ
users વપરાશકર્તાઓ
under નીચલી
kingdom સામ્રાજ્યમાં
greatness મહિમા
truth હકીકત
their ઇનકે
fund ભંડોળ
count સંખ્યાને
stream પ્રવાહની
famous ઓળખાતું
centuries સદીઓ
assurance બાંયધરી
limited લિમિટેડ
tap નળ
towards પ્રત્યેનો
explain સમજાવી
decision નિશ્ચય
attached જોડાયેલી
fourth ચોથી
dialogue બોલચાલમાં
friend કેરળ
australian ઓસ્ટ્રેલિયાના
financial નાણા
again નવેસરથી
british અંગ્રેજ
you તમે
considered ગણાવે
period સમયને
sat બેસી
umpire અમ્પાયર
regions ક્ષેત્રોમાં
parliamentary સંસદની
childhood બાળપણમાં
many અસંખ્ય
events કિસ્સાઓમાં
aquarius મીન
place જગ્યામાં
meet મેળાપ
co-operate સંગઠિત
centralized શાસિત
infrared ઇન્ફ્રારેડ
thomas થોમસ
72 ૭૨
progress પ્રગતિ
observed મળેલો
picture તસવીર
condition પરિસ્થિતિ
era યુગ
passed જતાં
given આપેલા
ease રાહત
are है
benefits હિતો
have ધરાવી
basic મૂળના
name મહંમદ
slinky ચુસ્ત
casualty મોત
buildings વસાહતો
register હસ્તગત
forth ચતુર્થ
symbol પ્રતિક
1897 ૧૮૯૭
place જગ્યા
alphabet વર્ણમાળા
saints મહંતો
works રચનાઓમાં
campus પરિસરમાં
percent ટકા
senior ઉપરી
lover પ્રેમી
pictures છબીઓ
where જ્યાં
spread ફેલાયેલ
about વિશેનું
different વિખૂટા
boat નૌકા
near નજીક
town નગરી
krishna કૃષ્ણને
group સમૂહ
saw દર્શાવે
services સેવાઓના
marie મેરી
level કક્ષાના
those જેમણે
name નેમ
master નિપુણ
latest તાજેતરના
and અનેં
online ઓનલાઇન
based મૂળનાં
is શુ
fell પડ્યો
based આધારિત
tree વડ
condition પરિસ્થિતી
heat ઉષ્મા
universe સૂર્યમંડળના
is હોતો
radioactive કિરણોત્સર્ગી
mechanical યાંત્રિક
association મંડળના
networking નેટવર્કિંગ
given દિધા
chicago શિકાગો
tigress વાઘણ
outsider બહારનો
held યોજાતી
message સંદેશા
wish ખેવના
imposed ઉભુ
lighting રોશની
years વર્ષ
belt પટ્ટા
oxford ઓક્સફર્ડ
disappointed નિરાશ
could શકી
game રમત
gave દીધાં
movement ગતિશીલ
luna લુના
force આગ્રહ
area પ્રદેશની
able ચતુર
on ઓન
d ઢાકા
center કેન્દ્ર
resides વસેલું
speech બોલીઓ
omnipresent સાર્વત્રિક
rich ધનિક
deputy નાયબ
unit એકમ
council કાઉન્સીલ
england ઈંગ્લેન્ડમાં
active કાર્યરત
explain સમજાવે
strength બળ
shops દુકાનો
descendents વંશજો
fourth ચોથા
role ભૂમિકા
colleagues સાથીઓએ
kept રહેલ
hour કલાકે
all બધું
independence આઝાદી
illustrations ઉદાહરણો
19 ૧૯
mensuration ક્ષેત્રફળ
heart હૃદય
ephemeral અલ્પજીવી
spicy તીખા
since સુધીનાં
hiv એચઆઇવીનો
4000 ૪૦૦૦
subject વિષય
veda વેદ
of મી
hinge કબ્જા
approximately અંદાજ
lower નીચા
museum સંગ્રહાલય
putting મૂકતા
or ઓર
signal સિગ્નલ
volume ગ્રંથમાં
nazi નાઝી
first પહલી
inshore તટવર્તી
also ભી
prestige મોભો
effective અસરગ્રસ્ત
simple સરળતા
levels સ્તરો
serial શ્રેણીબદ્ધ
crore કરોડ઼
set સમૂહને
modern આધુનિક
won જીત્યા
martin માર્ટીન
changing બદલવા
sitting બિરાજમાન
