take nemen
relate betreffen
organises organiseert
full volledige
hill heuvel
invasion invasie
count telt
display weergeven
emphasize benadrukt
fall herfst
discussion discussie
probable vermoedelijk
larvae larve
hit sloegen
shifted verschoof
dates stamt
accompanied vergezeld
without zonder
co-founder medeoprichter
ruins ruïnes
station stations
wooden houten
increase verhogen
destiny bestemming
treaty verdrag
specific concrete
end afloop
bulgarian bulgaarse
artificial kunstmatige
decision-making besluitvorming
driving rijdt
therefore daardoor
frost vorst
teutons germanen
sexual seksueel
today tegenwoordig
supplied versterkt
premier première
drag trok
officially officieel
unless tenzij
luck geluk
cardinal kardinaal
centers centra
shops winkels
justice justitie
view bezichtigen
understanding begrippen
mayor burgemeester
madina medina
wait wachten
complains klachten
flight vlucht
terrorism terrorisme
haemoglobin hemoglobine
decrease afname
your uw
calculate berekenen
so zo
assault aanslagen
shell romp
jewishness jodendom
fugitives vluchtelingen
tries probeert
official officiële
diseases ziektes
hurricane orkaan
evolution evolutie
drink drinken
growth kweek
obtain behaald
weed wier
mental verstandelijke
liver lever
posts plaatst
originate opgetreden
mild milde
mystic mystiek
chair zetel
regarded aangemerkt
performances voorstellingen
extremely uiterst
observer waarnemer
novel roman
as zoals
worldly wereldlijke
in im
consequences consequenties
parliament rijksdag
powerful machtig
contain bevatten
is bevindt
streets straten
demand aftrek
burgundian bourgondische
differs verschillen
lives woont
were liepen
flies vliegt
diabetes suikerziekte
changes veranderingen
intensified opgevoerd
burning verbranding
formed samengesteld
locations locaties
amphibians amfibieën
emphatically nadrukkelijk
magazine tijdschrift
usefulness effectiviteit
hit treffen
consideration overleg
provided verstrekt
standards normen
valley vallei
agreement bestand
lays ligt
succeed lukt
canadian canadese
figure rekenen
polish pools
bee bij
implemented ingevoerd
forward voorste
sold verkochte
nordic noordse
invented uitgevonden
grade groep
compose vormde
planned gepland
attitude houding
son schoonzoon
display weergegeven
reckon rekenen
court gerechtshof
won wonnen
monarch vorst
alerting waarschuwen
transformed omgevormd
weak zwakke
disabled gehandicapten
supported ondersteund
houses huisvest
reliable betrouwbare
result gevolg
fighting vecht
gene gen
process werking
opinion mening
oldest oudst
abolishment opheffing
incorrectly onrechte
sell verkopen
territories gebieden
mother moeder
characters karakters
america amerika
migrate trok
world-famous wereldberoemd
philosophers filosofen
horcrux gruzielement
europe europa
ecclesiastical kerkelijke
look onderzoekt
study bestuderen
region provincie
secondary secundair
soil bodem
inland binnenland
rain regen
fruit vruchten
volcanic vulkanische
achieved gehaald
pavement wegdek
win winnen
white blanc
fusion fusie
railway spoorlijn
dig graven
climate klimaat
etymological etymologie
austrian oostenrijkse
game wild
move verhuizen
mostly overwegend
novels romans
beloved geliefde
representatives vertegenwoordigers
isolated geïsoleerd
ongoing doorgaans
below hieronder
sending zenden
constructed aangelegde
present aanwezige
aims richt
starting beginnende
episodes afleveringen
diseases ziekten
compare vergelijk
gardens tuinen
consider kijkt
deprive afgenomen
wins wint
administration administratie
lights lichten
nationalism nationalisme
maps kaarten
wanted willen
which hetgeen
violently hevig
review beoordeling
band groep
mothers moeders
demonstrate aantonen
withdraw terugtrekken
pay betaalt
reunion hereniging
marriages huwelijken
land nicaragua
these deze
candidates kandidaten
wished gewenste
perimeter omtrek
accustomed gewend
further nader
expectations verwachting
diabetic suikerziekte
signals signalen
head kopje
crude ruwe
phone telefoon
gates poorten
affected aangetast
as als
metropole metropool
full volwaardige
language taalgebied
reckoned geacht
angle hoek
fleece vacht
three schema
noticeable waarneembaar
light lichte
their hun
connects verbindt
outside buiten
strange rare
gave schonk
rodent knaagdieren
coffee koffie
performances optredens
differs verschilt
aids hiv
noon middag
admiration bewondering
statistics statistieken
daniel daniël
confused verward
put zet
relatives nabestaanden
rooms ruimtes
brother broer
stage podium
spot vlek
comments opmerkingen
count tellen
sometimes soms
guitar gitaar
were bevonden
sacraments sacramenten
hookup verenigingen
powerful machtige
underside onderzijde
smashed geslagen
damp vochtige
lighted staken
expressed uitte
cured genezen
customers klanten
rest steun
ottomans ottomanen
grandmaster grootmeester
airways luchtwegen
make vormde
right correct
north noord
corner hoek
debate debat
fat dik
persia perzië
overdose overdosis
indeed inderdaad
led leidden
contradictory tegengestelde
spent besteed
got verkreeg
solve oplossen
agrees sluit
landscaped aangelegde
had moesten
drained afgevoerd
close dichtbij
degrees maten
greek griekse
princes vorsten
previous voorgaande
decline ondergang
raise gesteld
ruling regerende
then daarop
some nodige
support helpen
combined gecombineerd
walls muren
eigen own
need nood
send zond
measuring meten
theoretical theoretisch
shore ottomanen
stalin stalins
naturally uiteraard
landed aangevoerd
account rekening
specialised gespecialiseerde
traveled reed
distinguished onderscheiden
freedom vrijheid
views standpunten
impinge raakt
construction opbouw
votes uitgebrachte
active actieve
offered bood
louder harder
call roepen
arabic arabisch
survivors nabestaanden
periods periodes
thirteen dertien
upcoming komende
permitted toegestaan
forrest bos
hurdling hordelopen
noted vermelden
discussed besproken
curved gebogen
fat vet
mentions vermeldt
name benaming
giant gigantische
suspected vermoed
subspecies ondersoort
chinese chinezen
ruled regeerde
singers zangers
patterns patronen
songs nummers
decide beslissen
exertion inspanning
hindus hindoes
counties graafschappen
plough ploeg
john giovanni
classic klassiek
objective feitelijke
haiti haïti
aggressive agressief
weights maten
shut stil
five vijf
research onderzoekt
roughly ruwweg
turmoil onrust
verb werkwoord
moving verhuizen
are staan
eternal eeuwig
designations benamingen
hold greep
executed voerden
convert bekeren
indians indianen
dispose beschikken
dearest liefst
choose kiezen
issued uitgegeven
ratings kijkcijfers
sale koop
have beschikken
skyscrapers wolkenkrabbers
cave grot
take-over overname
everyday alledaagse
formula formule
exceptionally buitengewoon
turned draaide
fraction fractie
during durende
comical kosmische
abstinent matig
tighten aantrekken
leadership geleide
east oost
certain zeker
promise beloofd
return terugkeer
fatigue vermoeidheid
cheap goedkope
procedure aanpak
association betrekkingen
depressive depressief
roman romaanse
atmosphere sfeer
valuable waardevolle
rare zeldzaam
prehistory voorgeschiedenis
collaborate samenwerken
cocoon cocon
number nummer
chamber kamer
plant planten
highlands gebergten
death dode
stamped geslagen
lending lenen
policy beleid
suggests suggereert
. zat
saint heilige
previously eerder
proven bewezen
life levensloop
lutheran luthers
operation werking
associations verenigingen
following daarvoor
tolerance tolerantie
highway snelweg
sti soa
grind malen
civilisations beschavingen
coins munten
weakly wekelijks
beans bonen
class groep
understand begrijpen
obliged genoodzaakt
absolutely absoluut
psychic psychisch
surprisingly verrassend
flemish vlamingen
emerging opkomende
cooperate samenwerken
least minste
facilities faciliteiten
combination verenigingen
used ingezet
contacts contacten
annexation annexatie
chosen gekozen
see beschouwen
fast vasten
district arrondissement
driver coureur
mountainous bergachtig
translation vertaling
feeling gevoel
claim beweren
calm rustige
a per
star ster
units eenheden
fun plezier
lived leefden
crocodilians krokodilachtigen
sicknesses aandoeningen
obtained verkreeg
sumptuously rijk
sixteenth zestiende
society verenigingen
soaps televisieseries
displayed vertoond
knew kende
coast adriatische
new nieuwe
concerns betreffen
magic magische
become geworden
desired gewenst
honor ere
sixty zestig
inland binnenlandse
footnote voetnoten
suspect graaf
remarkable aanmerkelijk
hero held
waste afvalstoffen
dissatisfaction ongenoegen
from daaruit
harvest oogst
speed vaart
catalan catalaans
appear tekenen
nucleus kernen
impulse drang
england engeland
defenders verdedigers
pointed gewezen
fireplace schouw
liberal liberale
quiet stille
show toon
trio drietal
chin kin
founded gesticht
bloated opgeblazen
gifts gaven
sick zieke
catholicism katholicisme
look aanzien
stands houdingen
ludwig lodewijk
arranged geregeld
call oproep
carry voeren
decrease daling
sides kanten
germany duitsland
thread treden
point wijzen
diminished verminderd
throw gooien
revealed geopenbaard
opposition oppositie
chooses kiest
denied ontkende
specified bepaald
available beschikbaar
disturbance stoornissen
maintain onderhouden
follow-up hernieuwde
shown aangetoond
source bron
then dan
diocese bisdommen
12th twaalfde
pentecost pinksteren
slave slaven
molybdenum molybdeen
burgundy bourgondië
imagine voorstellen
series reeks
diamonds diamanten
geneva genève
left overgebleven
sweet zoete
growing toenemende
indian indische
then toen
senior sr
fox vos
defender verdediger
idealism ideaal
sink zinken
event gebeurtenis
reformed gereformeerde
applied aangebracht
decisive beslissende
gaudi gaudí
pure zuivere
if indien
reportedly verluidt
essentially werkelijk
understanding begrip
opportunities kansen
counted gerekend
consist bestaande
case zaak
fever koorts
abundance overschot
gms rups
praise lof
burning brandende
depressions depressies
determine vaststellen
salesman verkoper
musicians muzikanten
philosopher filosoof
pleasing bevallen
creatures wezens
eroticism erotiek
independent onafhankelijke
different verschillend
mention vermelden
known kenden
number tal
refused weigerden
anglican anglicaanse
illness aandoening
typical karakteristieke
custom gewoonte
periods perioden
held houd
anatomy klier
academy academie
subway tunnels
front voorste
eyes ogen
desert woestijn
formed bestaat
consequence gevolg
aged oud
suffering armoede
aliquot noemer
period periode
hour stond
taken meegenomen
foot voet
end eindigen
passive passief
suburbs buitenwijken
allowed mag
community gemeenschap
assumed veronderstelde
saw zag
very zeer
experiences ervaart
should zou
decreased verminderde
formal formele
concerts concerten
war oorlog
gradually geleidelijk
minerals mineralen
intelligence intelligentie
work werk
sterilisation sterilisatie
chosen verkozen
santa kerstman
honors lof
belly buik
homosexuals homoseksuelen
press pers
some bepaalde
civil civiele
parts delen
zealand zeeland
modern moderne
storms stormen
niet not
castle burcht
romania roemenië
bare blote
event gelegenheid
strokes banen
lice luis
church parochie
combated bestreden
japanese japanse
maritime maritieme
renamed omgedoopt
led gevoerd
continued voortgezet
nowadays tegenwoordig
closure afsluiting
bone bot
hands handen
inhabit wonen
fenix feniks
taxes omzetbelasting
subsequent daaropvolgende
am ben
excellent uitstekende
openings openingen
youth jongeren
philosophical filosofische
tied gebonden
irregular onregelmatig
devices apparaten
friendly bevriend
woman vrouw
principles principes
everybody iedereen
bend buigen
rumors geruchten
order volgorde
real echt
area streek
violent gewelddadige
empire keizerrijk
demands eisen
improve verbeteren
mandate regeerperiode
claim aanspraak
aviation luchtvaart
menstruation menstruatie
attempts pogingen
cites haalt
christ christus
cuban cubaanse
ten tien
out stoten
action actie
channels zenders
general algemeen
allied geallieerde
arrange regelen
right rechts
easy eenvoudig
tie band
copy exemplaar
mechanic mechanische
allow mochten
worship aanbidden
ailments aandoeningen
snakes slangen
succeeded slaagde
economic economisch
notes merkt
appreciation waardering
says vertelt
perception waarneming
president voorzitter
icelandic ijslandse
probably waarschijnlijk
terms voorwaarden
presently momenteel
farmers boeren
teens tieners
plate plaat
expressionist expressionistische
stand stond
wait wacht
court raad
accepted aangenomen
passion passie
chemical chemie
mean betekenen
experience ondervinden
comparable vergelijkbare
admitted toegelaten
servant knecht
act gedragen
took trof
nearby buurt
hybrid kruising
entreprises ondernemingen
country land
misery armoede
door deur
pompey pompeius
deteriorated verslechterde
province gewest
discomfiture nederlaag
dolphin dolfijn
ly constant
fifteen vijftien
belongings bezittingen
stop stoppen
estate landgoed
occurs komt
told verteld
study studie
ladies dames
complete volledig
temporarily tijdelijk
humanism humanisme
many vele
bicyclist wielrenner
supporter aanhanger
sled slee
while terwijl
district wijken
contamination besmetting
locally plaatselijk
wide breed
fascists fascisten
plan opzet
back achteren
allow laten
those datgene
agreement akkoord
philosophy levensbeschouwing
progress verloop
appears verschijnt
several verscheidene
halls zalen
digital digitale
officers officieren
hypothesis hypothese
reaches strekt
behave gedragen
significant noemenswaardige
neighbouring aangrenzende
heavenly hemelse
answered antwoordde
share aandeel
academic geleerde
health gezondheid
aid hulp
sphere bol
notes schoon
of van
wooded huidige
inspired geïnspireerd
private particuliere
manufactured vervaardigde
hung hing
millions miljoenen
infliction aandoening
fierce heftige
great grootse
politicians politici
infection infectie
profession beroep
belongs hoort
hemoglobin hemoglobine
fungus schimmels
chose kozen
mental geestelijk
republicans republieken
gospel evangelie
machinery machines
appeared bleken
paris parijs
sea mare
satellite satelliet
romans romeinen
elongated verlengde
backside achterzijde
blossom bloei
nausea misselijkheid
healthy gezonde
volunteer vrijwillige
eastend oostende
later latere
thorough grondig
reduced verminderd
latest laatst
medicines middelen
integrated geïntegreerd
color huidskleur
hold steun
following daaropvolgende
humour humor
if als
directives richtlijnen
independence afhankelijkheid
lack gebrek
legacy erfenis
scale schaal
root stam
theatres theaters
clan klan
danish deense
strive streven
sorry excuses
truly werkelijk
to ertoe
recognize erkennen
drop zakken
italia italië
safe veilige
weakness zwakte
expressive beeldende
reasonable matig
attention besteedde
asks vraagt
french-speaking franstalige
land schotland
first eersten
murders moorden
notable opvallend
crossing kruising
programme programma
economic economische
mainly grotendeels
sensed waargenomen
orientated georiënteerde
thanks dank
nation natie
formal nadrukkelijk
european europese
bones bonen
affected getroffen
adjoining aangrenzende
reachable bereikbaar
measured gemeten
francophone franstalige
comparison gelijkenis
colored gekleurde
instruments instrumenten
could kon
initiatives initiatieven
immigration immigratie
ad chr
backing steun
went gingen
considered beschouwde
appearance schijn
glaciers gletsjers
lower onderste
substructure infrastructuur
adjoined bijgezet
closed sloot
harsh harde
stand staan
cabinet kabinet
temperature temperatuur
visible zichtbare
demolished afgebroken
sickness misselijkheid
saw beschouwden
overall algehele
stimulation stimulatie
easier makkelijker
laborious moeizaam
rather nogal
of di
all allemaal
spontaneous spontaan
approach benaderd
driven bedreven
jaws bek
investigate onderzoekt
team elftal
serbia servië
belgium belgië
energy energie
tradition overleveringen
summoned opgeroepen
ethnic etnische
suitable geschikte
military militairen
slice knip
implementation uitvoering
immigrants allochtonen
cost kostte
necessary nodige
uncle oom
disgust afkeer
breastfeeding borstvoeding
drunk gedronken
guitarist gitarist
successful succesvol
way wijze
regions streken
madagascar madagaskar
called genoemd
inventions uitvindingen
socialistic socialistisch
turn draait
launched gelaten
lays legt
flying vliegende
sounds klinkt
supply aanbod
silent stil
received ontvingen
commission commissie
going gang
by qua
airport vliegveld
recognizes erkent
minor gering
palestinian palestijnen
bacteria bacteriën
so-called zogenaamde
put legden
sources bronnen
coming komende
garnish voorzien
normally doorgaans
fantasy fantasie
lady dame
ownership eigendom
processed uitgewerkt
task taak
committee comité
conquers overwinningen
power macht
controlled bestuurd
willingly graag
writers schrijver
himself hijzelf
robe mantel
limited beperkte
punishment straf
gaulish gallische
approach aanpak
assistant assistent
s seleen
ride rijden
glacier gletsjers
spread breidde
keeps houdt
failure uitblijven
masters meesters
yielded opgeleverd
cold koud
guitars gitaren
ly intern
anaemia anemie
borders grenst
motors motoren
mediterranean mediterraan
largely grotendeels
backup steun
erected vestigden
closely nauw
proficient bedreven
ethics ethiek
tired vermoeidheid
hart heart
commit plegen
flat vlak
serbian servisch
practices praktijken
chronological chronologische
just que
popularity populariteit
basin bekken
galaxies sterrenstelsels
godfather peter
contrary omgekeerd
focussed ingesteld
one men
municipal gemeentemuseum
better beter
retained behield
jews joden
industrial industrieel
previous vorige
especially voornamelijk
communities bevolkingsgroepen
continued zette
plaza palazzo
current stroming
hit getroffen
expelled verdreven
humanity mensheid
external uiterlijke
dwarf dwerg
efficiency rendement
bet wed
under daaronder
agreement afspraak
gmt utc
believe vindt
raised geheven
origin herkomst
sleep slaap
owner eigenaar
persuade halen
description beschrijving
bulb gloeilamp
equal gelijkwaardig
brain hersenen
finances financiering
revolt opstand
directed gerichte
much veel
buildings bouwwerken
fabricated vervaardigd
actually eigenlijk
proof bewijzen
heel heil
drink drinkt
completely volkomen
army landmacht
preparations voorbereidingen
wishes wensen
cultivated gekweekt
champions kampioenen
led leidde
photography fotografie
have hoeven
layers platen
incorporate overnemen
atmosphere atmosfeer
temporary tijdelijk
changed veranderden
breakout uitbraak
rhythm ritme
socalled zogenaamde
contact contacten
active actief
cocoa cacao
brick baksteen
man mannetje
prosperity welvaart
waterfalls watervallen
topmost hoogst
departments departementen
interference verstoring
het ut
restrain beperken
solid stevig
must moet
legal wettelijk
with met
enemy vijand
entry aansluiting
refuse weigert
clock klok
count gelden
deep dieper
perspective oogpunt
extracurricular publieke
twain tweeën
agricultural agrarische
sudden onverwachte
deliver afgegeven
egg eicel
but maar
importance betekenis
highlands hoogland
central centraal
consequences gevolgen
mind verstand
expect verwacht
awareness bewustzijn
applies slaat
kingdom koninkrijk
radical radicaal
registration registratie
universe scala
factions orden
oriented georiënteerde
iraq irak
factor aspect
police politie
pledge beloofd
somewhat enigszins
atrium boezems
suffering leed
park parken
replaced verving
taboo taboe
butterfly vlinder
offer bod
desire verzoek
permission toestemming
fact facto
differ afwijkt
conducts richt
automatically vanzelf
airforce luchtmacht
grotto grot
enlightenment voorlichting
subterranean ondergronds
easily makkelijk
brought bracht
retraction onttrokken
equipped uitgerust
absent afwezig
thought meende
juridical juridisch
area domein
located gevestigde
curve bocht
dutch-speaking nederlandstalige
supports steunt
relation betrekkingen
rolls rollen
commit verwijzen
as even
primes priemgetallen
factories fabrieken
that die
boss baas
argentinian argentijnse
ruling heerschappij
youth jeugd
founder oprichter
number getal
posthumous postuum
for wegens
hout wood
angry boze
delight genoot
airplane vliegtuig
apostles apostelen
moguls mongolen
big groot
techniques technieken
principality vorstendom
abolition afschaffing
worked werkten
paid netwerken
off ervan
with mee
south zuiden
lecture lezing
moved trokken
bad slechte
keep hou
show zien
calls roept
actual feitelijk
compound samengestelde
during tijdens
armenians armeniërs
symbolic symbolische
stab steekt
massive massaal
stay verblijven
further verdere
interest belangstelling
radioactive radioactieve
conversion wijziging
travellers reizigers
between tussen
ordination ordening
competitive concurrerende
nationwide landelijk
followed volgen
see ziet
broadcast uitgezonden
herbs kruiden
located bevonden
is wordt
customers klan
cruising cruise
eventual uiteindelijke
slovakia slowakije
stupid dom
bail borg
plain plein
italy italië
pay lossen
somebody iemand
pass passeren
flemings vlamingen
significantly aanzienlijk
scenes schermen
judaism jodendom
tribe stam
systems systemen
voivode stadhouder
forward vooruit
pulls trekt
academic academisch
dread vreesde
then daarna
offer bieden
plantation plantages
unique uniek
suspended opgehangen
weight gewicht
euclid euclides
components componenten
physical lichamelijke
recreation recreatie
nationalist nationalistische
finance financieren
deemed geacht
name carlos
himself zich
circumference omtrek
strike slaan
mould vormde
authorities bevoegdheden
acts daden
aunt tante
armies legers
lakes meren
milk melk
look zie
physical fysiek
fat dikke
cultural cultureel
primitive primitieve
role rol
regularly regelmaat
protein eiwit
leading vooraanstaande
archaeological archeologische
international internationale
score scoren
output rendement
delft delftse
outspoken uitgesproken
predilection voorkeur
inspiration inspiratie
perpetrator dader
after erna
feed voer
admission toegang
qualities kwaliteiten
presentation voorstelling
celts kelten
well-being gezondheid
younger jonger
world wereld
share delen
resources hulpbronnen
increasing toeneemt
money geld
religious kerkelijk
is verlopen
practicable bruikbaar
calculate voorzien
painting schilderij
write schrijft
as aangezien
nevertheless evenwel
german deutsche
society maatschappij
feast feestdag
notices merkt
hearing rechtszaak
borough stadsdelen
insight verstand
burn staken
spells zag
further verder
gold goud
quart kwartier
cooperation samenwerken
wereld world
expected verwachte
son-in-law schoonzoon
competitors concurrenten
supreme hoogste
stretches strekt
price bedrag
giant reusachtige
increases vergroot
time tijde
accent nadruk
brake remmen
british brits
dangerous schadelijke
diversity diversiteit
ulcer zwaar
storyline verhaallijn
core kern
residence verblijf
disappointed teleurgesteld
responds reageert
include omvatten
rounding ronden
pins kegeltjes
ancient oud
valleys valleien
happened gebeurd
women vrouw
merchants kooplieden
actors acteurs
radiation straling
spend besteedde
rules regels
archipelago archipel
quite nogal
motorways autosnelwegen
takes duurt
video filmpje
decay verval
respond reageren
destructive fatale
tends tiende
overweight overgewicht
sing zingen
desk bureau
dome koepel
complaints klachten
clergyman geestelijke
specific specifieke
obligations verplichtingen
assumption veronderstelling
banned verbannen
twitch trok
rivalry rivaliteit
technical technische
mantelpiece schouw
benefits voordelen
bananas bananen
supplemented aangevuld
climb klimmen
nationally nationaal
shield schild
desirable gewenst
teaching leren
side bijwerkingen
gross bruto
peeling vervelling
to jegens
evangelical evangelische
birthday verjaardag
bin handelen
triangle stelling
feminine vrouwelijk
matches overeenkomt
inborn aangeboren
assignments opdrachten
dutch nederlandstalig
depressed depressieve
too eveneens
caterpillar rups
improving aantrekken
floral bloemen
moved verhuisde
named benoemd
tow trok
crime criminaliteit
consecutive achtereenvolgens
hit inslag
principle principe
democracy democratie
associated bijbehorende
mister heer
increasing toenemende
reliable betrouwbaar
instance instantie
he hij
coach trainer
malm leem
rotation rotatie
everyone iedereen
disorder stoornis
began begon
developing bezig
illegal illegaal
labour arbeid
occurs ontstaat
human menselijke
fungi schimmels
belonged behoorde
separate apart
however echter
western westelijke
sung gezongen
cuisine keuken
act acteren
interior inrichting
beats klopt
creator bedenker
and ende
reviewed herziene
fossil fossiele
quickened versnelde
calculated berekend
mixing mengen
warsaw warschau
strives streeft
saved opgeslagen
examines controleert
center stadscentrum
positive werkelijkheid
choose kozen
exclaimed uitgeroepen
after hierna
quarterfinals kwartfinale
sealed afgesloten
fit paste
attack aanval
break uitbreken
remade bewerking
lead voorbeelden
crusade kruistochten
suicide zelfmoord
all alle
overview overzicht
bigger grotere
reveal geopenbaard
as alsof
fase stadium
useful handig
haarlem haarlemse
afraid bang
key sleutel
offices vestigingen
entry toetreding
prayer verzoek
example voorbeeld
daily dagelijks
speculated gespeculeerd
municipal burgerlijke
modernising modernisering
waters wateren
thus zo
related gerelateerde
substantial flink
studio atelier
postulation verzoek
invasions invallen
deployment inzetten
application aanvraag
genetic genetische
proudly trots
work werken
methods methoden
resulting ontstane
got kreeg
got kregen
weasley wemel
made gemaakt
offer kerstman
half-breed halfbloed
opinions meningen
proof bewijs
historically historisch
processing boven
fields terreinen
highway autosnelweg
abstracted onttrokken
scot schot
built gebouwd
second tweede
music muziek
aligning richtlijn
meanings betekenissen
primary primair
produced geproduceerde
sacred heilige
promise belofte
sex geslacht
maths wiskunde
put stelde
mary maría
cross steken
roundabout indirecte
previous geweest
prosecution vervolging
supported gesteund
prepare bereiden
mostly veelal
