seeing பார்த்தால்
very மிகப்
association கூட்டமைப்பில்
hindustani இந்துஸ்தானி
parva பர்வம்
religion சமயம்
organized ஏற்பாடு
control கட்டுப்பாட்டை
examples நிரல்
asin அசின்
god கடவுளாக
those ஆகியவைகள்
conference பேச்சுவார்த்தை
relative சார்பு
south தெற்கிலும்
philosophy தத்துவத்தின்
making செய்வதற்கு
university பல்கலைக்கழகங்களில்
prices விலைவாசி
wind வளி
seen கண்டார்
kural குறள்
for பொருந்தும்
up அமைக்கப்பட்டுள்ளன
all எல்லாப்
showing காட்டுகிறது
compensate ஈடாக
felt உணர்ந்து
electromagnetics மின்காந்தவியல்
freely சுதந்திரமாக
ragam ராகம்
tubes நீர்த்தாரைகள்
symbol வடிவமாகும்
addition கூட்டல்
german ஜெர்மன்
more ஈழ
legislature அரசமைப்பு
pig பன்றி
settings கிடக்கின்றன
vellalar வேளாளர்
nude நிர்வாணம்
needs தேவைகள்
heavy கன
famous சிறப்பு
must கட்டாயமாக
britishers ஆங்கிலேயர்
thought கருதிய
rupee நாணய
ship டைட்டானிக்
zonal மண்டலப்
against எதிர்க்கும்
security காவல்
shiver அதிர்ச்சி
state நிலைத்
bharatnatyam பரத
become ஆனார்
webpage வலைப்பக்கம்
space வெளியின்
of ஆப்
giving அளிப்பது
aeroplanes விமானங்கள்
hydrogen ஹைட்ரஜன்
fields களை
continuous தொடர்ந்தும்
born பிறந்தார்
migration குடியேற்ற
studies படிப்பை
officer அதிகாரி
organs உறுப்புக்கள்
village கிராமம்
generate இயற்றி
winning வெற்றியும்
epidermal தோலினுள்
ministers அமைச்சர்கள்
independence சுதந்திரமாக
akbar அக்பரை
veins சிரை
generally இயல்பை
raja ராசா
their இவர்களுடைய
period இடைவெளியில்
numbers மதிப்புகளை
risk சூழ்
victory வெற்றி
both இரண்டும்
functions பயன்பாடுகள்
get பெறலாம்
independently சார்பற்ற
page பக்க
people மக்களால்
create ஏற்படுத்தும்
thing பொருளை
unknown அறியப்படவில்லை
prices விலைகளில்
writings எழுத்து
temple ஆலயம்
design வடிவம்
trees மரங்கள்
party கழகத்தில்
letters கடதாசி
emails மின்னஞ்சலை
sathya சத்ய
parallelepiped இணைகரம்
gather திரட்டி
adham ஆதாம்
most அநேக
india இந்தியாவுக்கு
trust அறக்கட்டளையின்
explained விளக்கினார்
opposite எதிர்த்து
operating இயக்கும்
conclusion முடிவு
areas பகுதிகளாகும்
details விவரங்களை
dell டெல்
protect பேணி
shows நிகழ்ச்சிகளை
leaves இலைகள்
exclusively பிரத்தியேகமாக
flowers மலர்களில்
is ஆகும்
village ஊரு
have கொண்டுள்ளன
square சதுரங்கம்
compare ஒப்பீடு
farmer விவசாய
word வேர்ட்
prime முதன்மையாக
built கட்டினார்
organisation இயக்கங்கள்
body உடலை
chest மார்பகப்
dmk திமுக
time நேரத்திற்கு
purpose நோக்கில்
him அவரால்
internet இண்டநெட்
water நீரானது
control கட்டுப்பாட்டு
establishment நிறுவப்பட்ட
experiment பரிசோதனைகள்
bharathan பரதன்
earthquake நிலநடுக்கம்
incomes வருமானம்
appointed படுகிறார்கள்
section வெட்டு
antiquity பண்டை
leap லீப்
circle சுற்றும்
marked குறித்தது
wide பரந்த
circumference பரிதி
ramanathapuram இராமநாதபுரம்
corners முனைகளில்
believed நம்பினர்
suitable ஏற்ற
technology நுட்ப
scholar சான்றோர்
trainings பயிற்சிகள்
hot வெயில்
zoo உயிரியல்
poets கவிஞர்கள்
generated உருவாக்கப்படுகின்றன
power சக்தியை
thick அடர்த்தியான
healthy ஆரோக்கியம்
portion பகுதிக்கு
aero விமான
italy இத்தாலியும்
sidelining ஒதுக்கப்பட்டது
attack தாக்குதலில்
network வலையமைப்புகள்
connection தொடர்பு
highway நெடுஞ்சாலை
balance இருப்பு
own தனித்து
word வேதாந்த
will போகும்
forty நாற்பது
houses வீடுகள்
all சகல
operated இயக்கப்படும்
artificial செயற்கைத்
carrying விடாமல்
credit கடன்
mexican மிச்சிகன்
energy ஆற்றலை
assistant சீடர்
escape தப்பி
accurately துல்லியமாக
captaincy தலைமையிலான
hunting வேட்டை
safety பாதுகாப்புச்
buddhist புத்த
water தண்ணீர்
interpret உரை
border வேலி
send சென்றது
chemistry இயற்பியல்
pallava பல்லவ
doubles இரண்டாக
latin லத்தீன்
prevent தடுக்க
continent கண்டமாகும்
term சொல்லை
many பற்பல
chance சந்தர்ப்பங்களில்
matters விவகாரங்களில்
created ஏற்பட்டது
did புரிந்த
production உற்பத்தியும்
country நாட்டுத்
drawings சித்திரங்கள்
irish ஐரிஷ்
contains அடங்கும்
methods முறைகள்
regions மண்டலங்களில்
wrong தவறாக
article கட்டுரையை
event நிகழ்வு
around வாக்கில்
graft ஒட்டு
saw கண்டனர்
agreement ஒப்பந்தத்தின்
internal உள்ளார்ந்த
india இந்தியாவில்
temperate வெப்பமண்டல
corruption ஊழல்
incidents சம்பவங்கள்
buddhist பௌதீக
shadow நிழல்
liberation முக்தி
draw வரையப்பட்ட
effect தாக்கம்
literature இலக்கியப்
continents கண்டங்களின்
sixth ஆறாம்
region மண்டலம்
completed முடிந்த
countries நாடுகளும்
fast விரைவு
status நிலையிலும்
chemistry வேதியியற்
dream கற்பனைக்
air வளிமங்களின்
city மண்டலங்களும்
apex நுனியில்
concentrate கவனம்
ant எறும்பு
point புள்ளிக்
feast விருந்து
caught கைப்பற்றியது
not இருப்பதில்லை
gather கூடி
language மொழியும்
weapon ஆயுதங்களை
gaelic கேலிக்
that அதைப்
chemist வேதி
forthcoming வருகின்ற
changing மாற்றுதல்
important மகத்தான
variety வகை
south தென்
behaviour நடத்தை
brothers சகோதரர்
mentioned குறிப்பிட்டு
monthly மாதங்களில்
departments துறைகள்
bangle வளையல்
office அலுவலகங்கள்
being வைக்கும்
matching பொருத்து
barrier தடையாக
temples கோயில்களில்
lukka லூக்கா
twelve பன்னிரண்டு
the சென்ற
coming வருவதாலும்
sorrow துக்கம்
disease நோய்களும்
see சீ
principal கொள்கையை
artist கலைஞர்
efficiency திறனை
it அதைக்
established உருவாக்கியது
height உயரமான
particles துகள்கள்
rarely அரிது
mental மன
deep தீவுகளின்
veda வேத
given அளிக்கப்படுகிறது
countries நாடுகளுடனும்
layer படலம்
both இரண்டுமே
account கணக்கு
good வல்லது
chemistry உலோகவியல்
quantity அளவில்
five ஐந்து
centuries நூற்றாண்டுகளில்
boundaries எல்லை
list பட்டியலில்
national தேசியப்
me தனக்கு
structures கட்டமைப்புகள்
conform நிர்ணயம்
music இசையில்
party கழகத்தின்
right உரிமையை
diagnosis அறுதியிடல்
towns நகரங்களை
discussion விவாதங்கள்
sun சூரியனைச்
decrease குறைக்கும்
meanings பொருளும்
lower குன்றி
amount அளவானது
imperial ஏகாதிபத்திய
back புறம்
office அலுவலக
ensued நடைபெற்றது
often அவ்வப்போது
few சிலவும்
direction கோணத்தில்
allergy அழற்சி
civilians குடிசார்
etc சுரப்பி
temperature வெப்ப
money பணத்தை
terrorists பயங்கரவாத
rod கம்பி
himself தன்னைப்
confusion குழப்பம்
inscription கல்வெட்டுகளில்
test சோதனை
dancer மாதவியின்
world உலகத்தை
comets வால்மீன்கள்
wisdom சித்தி
orbit வட்டப்பாதையில்
event நிகழ்த்திய
video வீடியோ
arrange சீர்
human மனிதரின்
running ஓடும்
mechanism செயல்பாடு
soon விரைவிலேயே
always எப்பொழுது
data தரவுகளின்
continuous தொடர்ச்சி
poem திருமுறைகள்
mineral தாது
marries கல்யாண
areas பிரதேசங்கள்
company நிறுவனம்
attack தாக்குதல்
seasons பருவநிலை
improvement மேம்படுத்தல்
rating மதிப்பீடுகள்
values கலாசாரம்
resistance மின்னழுத்தம்
evidences சான்றுகள்
system அமைப்பாகும்
nerves தமனி
liked விரும்பிய
tactics உத்திகள்
democracy மக்களாட்சிக்
music ரமண
frequency அலைநீளம்
electro நுட்ப
gone சென்றன
prepare தயாரிப்பு
symmetry சமச்சீர்
now தற்பொழுது
save மீட்க
ship கப்பலில்
left இடமிருந்து
catholic கத்தோலிக்க
won வென்று
appearance தோற்றமும்
errors பிழைகள்
copies நிரல்களை
shock அதிர்ச்சி
round ஒலி
live வாழ்
metal இரிடியம்
deeds ஒப்பந்தங்கள்
canal கணவாய்
forests காடுகள்
naming பெயரிட்டார்
changes மாதிரிகளை
official அலுவலக
animals விலங்குகளைக்
fourteen பதினான்கு
that என்பதைக்
celebrated கொண்டாடப்படுகிறது
coast கரையை
clearly தெளிவாகிறது
behaviour பண்பு
development வளர்ச்சிக்
running விளங்கி
king மன்னனான
explorer எக்ஸ்புளோளர்
treatment சிகிச்சைக்கு
memory நினைவு
denied மறுத்தார்
in ஆகியவற்றால்
square பரப்பளவு
social சமூகவியல்
have போதும்
energy ஆற்றல்
word வார்த்தை
commander கட்டளை
erased அழித்தான்
west மேற்கு
famous பிரபலமானது
interfere தலையிட
virus வைரஸ்
measurement அளவீடு
people மக்களிடம்
are படுகின்றன
fruits பழ
them அவர்களை
programs நிரல்கள்
formulated குறியாக்கம்
germs கிருமி
this இதைக்
cambridge கேம்ப்ரிட்ஜ்
firstly முதற்
identified அறியப்படுகிறார்
who யாருக்கு
was செய்யப்பட்டு
call அழைக்கப்படுகின்றனர்
outcomes வெளியேற்றம்
team கட்சி
arthur ஆர்தர்
objection மறுப்பு
words எழுத்துக்களும்
pages பக்கங்களிலும்
caption தலைப்பில்
west மேற்கே
kolla கொல்ல
severe தீவிரமான
current மின்சாரம்
board சபையின்
devotees பக்தர்கள்
israel இசுரேல்
puducherry புதுச்சேரி
page பக்கம்
treatise நூல்களான
name கபிலர்
speak பேசப்படும்
structure கட்டமைப்பின்
stations நிலையங்களில்
culture வழக்குகள்
poetries செய்யுள்கள்
regarding பற்றித்
at வேகத்தில்
history புராணம்
grow உயரும்
grave கல்லறை
diversity பன்முகத்தன்மை
extra இன்ன
conducted நடத்தப்பட்ட
technical தொழில்நுட்ப
basketball கூடைப்பந்து
vowels உயிர்மெய்
skin தோல்
names பெயர்களால்
compiled தொகுக்கப்பட்ட
order வரிசை
core ஆய
vessels பாத்திரங்கள்
mixed கலப்புப்
drug சிரை
fully முழுமையாகக்
the வின்
continent கண்டத்தின்
no இல்லை
increase பெருக்கும்
believed நம்பினார்
rig ரிக்
created உருவெடுத்து
centers மையங்கள்
example உதாரணமாக
efficiency திறன்
trust நம்புவது
money பணம்
devar தேவரின்
way முறையாகும்
strong உறுதியான
related சம்பந்த
ali அலி
studies படிப்பு
promise உள்ளதை
points புள்ளிகள்
women பெண்களின்
geology மண்ணியல்
creation உருவாகிறது
consumption நுகர்வு
research ஆய்வுகளில்
happenings நிகழ்கின்றன
doctors மருத்துவர்கள்
copyrights காப்புரிமை
tell கூறுவது
chidambaram சிதம்பரம்
tubes குழாய்கள்
sit அமர்ந்து
than காட்டிலும்
appearance தோற்றத்தை
land தரையில்
differentiate வேறுபடுத்திப்
sang பாடியுள்ளார்
border எல்லை
towns நகரங்கள்
build வளர்ப்பு
living வாழ்கின்றன
condoms ஆணுறை
ceiling கூரை
famous பிரபலமான
atoms அணுக்கள்
effects விளைவை
registers பதிவகம்
defeat தோல்வியை
republic குடியரசாக
indicating குறிக்கப்படும்
marry மணந்து
basics அடிப்படையாக
somewhere எப்போதாவது
central மையத்தில்
departments துறைகளும்
megahertz பண்பலை
fundamentally அடிப்படையான
twelve பன்னிரு
placed அமைந்த
west தெற்காக
chandrasekar சந்திரசேகர்
aims நோக்கங்கள்
use பயன்
floating மிதக்கும்
continues தொடர்கிறது
receiver கொண்டார்
energy ஆற்றலையும்
society சமூகம்
attack தாக்குதலை
regions மண்டலத்தில்
fields துறைகள்
connections இணைப்புகள்
additional கூடுதலான
travel பயணிக்கும்
write எழுத
thana தன
second மணித்துளி
corrections திருத்தங்கள்
meet சந்தித்து
flood வெள்ளங்கள்
top ஈழம்
official நிர்வாகத்
support ஆதரவு
moon நிலவு
a வ
in இடங்களில்
anand ஆனந்த்
thought கருதப்பட்டது
ash சாம்பல்
relativity சார்பியல்
himalayan இமயமலை
things பொருட்களைக்
evidence சான்றாகும்
wrote எழுதி
arts மரபுக்
defeat தோற்று
manufactured தயாரிக்கப்படுகிறது
language மொழிக்கு
literature இயலும்
small சிறுக
thought கருத
encryption குறியாக்கத்
dense அடர்ந்த
christ கிறிஸ்து
male ஆண்
being இருத்தல்
contagious தோற்று
hearing கேட்கும்
maize மக்காச்சோளம்
vary வேறுபல
page பக்கத்தை
wonder அதிசயங்கள்
efficient திறனும்
candidate வேட்பாளர்
beginning ஆதி
intercourse புணர்ச்சி
earth நிலப்
continuously தொடர்ச்சியான
same ஒத்து
hurricane சூறாவளி
emblem முத்திரை
greek கிரேக்கக்
akbar அக்பர்
seen கண்ட
temple தலங்களில்
luke லூக்கா
award விருதைப்
clearly தெளிவாக
typewriting தட்டச்சுச்
nearest அண்டை
information விவரம்
so இவ்வளவு
work பணிகள்
team கழகத்தில்
head தலை
elephant யானைக்
madurai மதுரையை
island தீவின்
refused மறுத்தார்
organization அமைப்பாகும்
field துறையை
secretary செயலாளர்
mohamad முகமது
protection பாதுகாக்கப்பட்டுள்ளது
reasonings காரணிகள்
present இருப்பது
initiated துவங்கிய
boy சிறுவர்
ground தரையில்
andra ஆந்திர
through மூலமாகவோ
inner உட்புற
varieties வகைகள்
time வை
machu மச்சு
su சு
vertical செங்குத்தாக
st ல்
additionally கூடுதலான
finance நிதி
infections நோய்த்தொற்று
ltte விடுதலைப்புலிகள்
party கட்சியில்
created உருவாக்குகின்றன
till வரை
supreme சுப்ரீம்
structure கட்டுமான
that அவற்றைத்
action செயல்களில்
cause காரணமாகக்
geology நிலவியல்
collection சேகரிப்பு
woman தலைவி
existed விளங்கியது
archeological புதைபடிவ
haryana அரியானா
respect மதிப்பு
village ஊர்
father தந்தையான
careful கவனமாக
completely முற்றிலும்
forests காடுகளை
tibet திபெத்
behind பின்னால்
club கழகத்தின்
weather தட்பவெப்பநிலை
species இனம்
she ஆவாள்
application மனு
programming திட்டங்களின்
broadcast தொடர்பில்
odisha ஒரிசா
heavy கனரக
provided அளித்தது
accept ஏற்க
tea தேயிலை
earth எர்த்
yourself நீயே
mission மிஷன்
esteem பெறுமதி
immediately உடனுக்குடன்
operate இயங்க
possible ஏதுவாக
plants தாவரங்களின்
india திண்டுக்கல்
nano நானோ
last இறுதி
invent கண்டுபிடித்து
computers கணினிகளில்
background பின்னணி
flight விமானம்
have கொண்டார்
caste மரபினர்
efforts முயற்சிகளில்
including முதலியவை
company நிலைய
army படையில்
ovary கருப்பை
more அதிகளவு
raman இராமன்
talented திறனுள்ள
country நாடான
fault தவறு
permit அனுமதிக்கிறது
centuries நூற்றாண்டுகளுக்கு
it வது
consider கருதப்பட்டு
opposite எதிராகவும்
complex சிக்கலான
explanations விளக்கமான
alli அல்லி
seed மகரந்தங்கள்
newspaper நாளிதழின்
ornament நகை
be இருந்ததாக
built கட்டப்பட்டுள்ளது
computer கணினி
ethnic இனத்தவர்
still இன்ன
albert ஆல்பர்ட்
attack தாக்க
is கொண்டிருப்பது
left போகிறது
members உறுப்பினர்களால்
play விளையாடு
request வேண்டுகோளுக்கு
etc. போன்றவற்றைப்
these இவர்களின்
sells விற்கும்
intellect அறிவின்
authority ஆதிக்கத்தை
relations தொடர்புகள்
same இணையான
utilised பயன்படுகிறது
triangular முக்கோணம்
aids எயிட்ஸ்
electric மின்
led வகுத்தது
technique தொழில்நுட்பம்
luciana லூசியானா
all முதலியன
hier வாரிசு
ants எறும்பு
slowly மெதுவாக
than இதைவிட
hindi இந்தியில்
worldwide உலகளாவிய
corporation மாநகரம்
gabby கப்பி
doctor மருத்துவரின்
right ரைட்
experiment பரிசோதனை
lowered குறைக்கிறது
contains கொண்டிருந்த
karunanidhi கருணாநிதி
swimming நீச்சல்
usage பயன்வகை
institutions நிறுவனங்களில்
theirs அவர்களைத்
bacteria பாக்டீரியா
gift வரம்
construction கட்டுமான
special சிறப்பியல்புகள்
nothing ஏதும்
changes உருமாற்றம்
desire ஆசை
to பேச
evaluation மதிப்பீட்டு
channel கால்வாய்
has கொண்டிருந்தார்
explanation வரைவிலக்கணம்
created உருவாகிறது
naicker நாயக்கர்
shown காட்டுகிறது
raj ராஜ்
people மக்களைக்
employees பணியாளர்கள்
reprimand கண்டி
made கட்டப்பட்டுள்ளது
are என்பனவும்
so மிகத்
breeze தென்றல்
chemistry வேதியல்
set தொகுப்பு
build கட்டப்பட்ட
using பயன்படுத்தப்படுகிறது
net வலைப்
then என்பதோடு
management நிர்வாகத்தை
food உணவாகக்
above மேலிருக்கும்
so வண்ணம்
cat பூனை
book நூலை
against புறம்பாக
bosses முதலாளிகள்
are செல்கின்றன
1 பைசா
daughter மகள்
rocks பாறை
food உணவுகளை
that அவ்வளவு
connections இணைப்புகளை
autonomy தன்னாட்சி
different பலவாறு
sites தளங்கள்
communism பொதுவுடமை
half சரி
year சுக்கில
crab நண்டு
telecommunications தொலைதொடர்பு
avatar அவதார
evidence சான்றாக
alaska அலாஸ்கா
m ம்
tablets மாத்திரைகள்
imaginations கற்பனை
shakespear சேக்சுபியரின்
emery குருந்தம்
to செய்ய
spreads பரப்புதல்
news செய்திகளை
color வண்ணம்
location அமைவு
scalene நீளுருண்டை
web வலைச்
give தருகின்றன
seetha சீதை
pilgrimage யாத்திரை
sex பாலியல்
leave இழந்தார்
help உதவுகின்றது
city நகரின்
nothing பூச்சிய
useful உகந்த
measurement அளவைக்
through மூலமாகவே
pass பாஸ்
bharatiya பாரதிய
high அதி
efforts முயற்சிகள்
religion மதமும்
evolutionary படிவளர்ச்சி
aero ஏரோது
style நடையில்
address முகவரி
partner துணை
factor காரணியாக
shown காண்போம்
run ஓடி
bishop ஆயர்
that அந்தக்
sacred புனிதமான
internally உள்ளீடு
poems இலக்கியங்களை
surroundings சுழல்
wikipedia விக்கிப்பீடியா
tiger புலியை
hilly மலைகளின்
stone கற்கள்
ghost பேய்
no அற்ற
formally முறைப்படி
change மாற்றுதல்
disorder கோளாறு
stand நின்று
was இருந்ததாகவும்
than போலும்
news தகவல்
war போராட்டத்தை
states மாநிலங்களும்
honourable சிகாமணி
lin லின்
game ஆட்டம்
made அமைத்துக்
kan கான்
understood உணர்ந்து
of யின்
varieties வகைகளை
prince இளவரசன்
talks பேசும்
modest அளவான
countries நாடுகள்
army ராணுவ
fundamental அடிப்படை
pollution மாசு
potato உருளைக்கிழங்கு
malayalam மலையாளம்
one ஒருவரான
constitution அரசியலமைப்பின்
included உடையதாகும்
wrong தவறான
gain பெருக்கும்
foreword முன்னுரை
see பாக்க
curve வளைவு
which எந்த
books நூல்களும்
estimation மதிப்பீட்டு
invariable சீரான
giving தருகின்ற
jobs தொழில்கள்
test பரிசோதிக்க
noun பெயர்ச்சொல்
rugby ரக்பி
hearts மனத்தின்
mumbai மும்பை
memorial நினைவு
later பின்பு
communicate தொடர்பு
throne ஆட்சியைப்
given தரப்பட்டுள்ளன
knowledge அறிவை
of ஆஃப்
solace ஆறுதல்
tissue திசு
representation பங்களிப்பை
rein ஆட்சிக்காலம்
demands கோரிக்கை
intercourse புணர்ச்சிப்
director நிர்வாகி
sulphur கந்தகம்
varies வேறுபடும்
program நிகழ்வுகளின்
simplicity எளிமையாக
melt உருக்கு
known கருதப்படுகிறார்
overseas கடல்கடந்த
aftermath ஏற்படக்கூடிய
coming வருகின்றனர்
position நிலையைப்
national தேசீய
between இடை
support ஆதரவை
fix பொருந்தி
artery தமனி
genus பேரினம்
lie பொய்
lust காமம்
van வான்
established அமைக்கப்பட்டது
talk பேசி
pollen மகரந்த
destroy அழிப்பு
pondicherry பாண்டிச்சேரி
curry குழம்பு
alike போன்று
principle கொள்கைகள்
para துணை
flying பறக்கும்
carrying தாங்கிய
violet ஊதா
role சுருள்
partitioned பிரிக்கப்பட்டு
establish நிறுவ
daughter மகளை
muslim இசுலாம்
spilt பிளவு
party கட்சியை
office அலுவலகம்
defects குறைகள்
an ஓர்
plans உத்திகள்
reason காரணமானது
are செய்கின்றன
role பாத்திரம்
book நூல்
like என்னும்
satellite செயற்கைகோள்கள்
population மக்கள்தொகை
announced அறிவிக்கப்பட்ட
based அடிப்படையிலான
have வைத்துக்கொண்டு
comment விமர்சனம்
solve தீர்க்கும்
biggest பெரியதும்
notes குறிப்புகளை
informed கூறப்பட்டுள்ளது
emperor சக்கரவர்த்தி
found காணப்படும்
said சொல்லப்படும்
create உருவாக்கினர்
deep ஆழம்
surprises அதிசயங்கள்
wiki விக்கி
note குறிப்பிடப்பட்டுள்ளது
stars உடுக்கள்
arithmetic எண்கணிதம்
websites இணையத்தளம்
mode பாங்கு
experts வல்லுனர்கள்
outcome வெளிப்பாடு
their தமது
document சாசனம்
changed மருவிய
moon சந்திரன்
organs உறுப்புகள்
ordered இடும்
finalised நிர்ணயிக்கப்படுகிறது
chennai சென்னை
countries நாடுகளான
desire விருப்பம்
animal விலங்கியல்
took அழைத்துச்
white வெளிர்
target இலக்கை
capture பிடிக்க
omen ஓமான்
this இதுவே
position நிலையை
king இராஜராஜனின்
south தெற்குத்
language மொழியாகும்
called அழைத்து
connection தொடர்பையும்
finished செய்யப்பட்டன
influence பாதிப்பை
notes குறிப்புகள்
body உடல்
facility வசதியை
inflation பணவீக்கத்தின்
rail இரயில்
new புதிய
stories கதைகளில்
founded நிறுவிய
thiruvannamalai திருவண்ணாமலை
creative படைப்பு
steroids ஊக்கிகள்
later பின்னரே
prizes பரிசுகளை
considering கருதி
sense உணர்ச்சி
so அதற்குப்
food உணவுகள்
shapes வடிவமாக
manmohan மன்மோகன்
problems பிரச்சினைகள்
friday வெள்ளி
vitamin உயிர்ச்சத்துக்கள்
ruling அதிகாரத்தை
farms பண்ணைகள்
labourers தொழிலாளர்
traditionally தொன்று
savings சேமிக்க
technology தொழில்நுட்ப
center மையத்தின்
increased அதிகரிக்கிறது
parliament பாராளுமன்ற
tour சுற்றுலாத்
came வந்துள்ளன
tigres டைகிரிஸ்
jains சமணர்
saraswathi சரசுவதி
planning திட்டமிடல்
disturbance பாதிப்பை
acid ஓட்டங்கள்
distributed வழங்கினார்
poem நூல்களும்
news செய்திகள்
category வகைப்படுத்தலாம்
lived வாழ்ந்து
reasons காரணங்களுக்காக
light ஒளி
evidence விடயங்களை
ananth ஆனந்த்
hero நாயகன்
their அவர்களிடம்
earlier முன்னைய
sanitary சுகாதாரம்
need தேவையை
get பெறுவதற்கான
more அதி
diamond ரத்னா
introduce அறிமுகம்
scholar வல்லுநர்
safeguarded பாதுகாக்கும்
parts பகுதிகளைக்
blue நீலம்
raised வளர்ந்த
giving வழங்குதல்
freedom விடுதலைக்குப்
has கொண்டான்
son செல்வன்
statistical பொறிமுறை
games விளையாட்டுகளும்
approximately அண்ணளவாக
select பட்டுள்ளது
release வெளியிட
rotation சுழற்சி
departments துறையாகும்
slide படவில்லை
equipment சாதனம்
work பணிகளில்
generated இயற்றி
including உள்ளடக்கிய
nautical நாடினார்
tolerate கட்டுப்படுத்த
almost அனேகமாக
stoichiometry விகிதவியல்
opposed எதிர்த்தனர்
function செயல்பாடு
created ஏற்படுத்தியது
sect குலம்
west மேற்குத்
million லட்சம்
refugees அகதிகள்
shanthi சாந்தி
box உடுக்கள்
flower பூ
sections பகுதிகளையும்
century நூற்றாண்டுக்குப்
north மேற்கு
gland சுரப்பி
superstition மூடநம்பிக்கை
mine தமது
religion மதத்தை
rebuke கண்டி
non சாராத
part பாதம்
generation மரபு
here இங்குள்ளது
tribal இருளர்
evidences தரவுகளை
american அமெரிக்கர்
started ஆரம்பித்த
regular வழக்கமான
all அனைத்தையும்
collection தொகுப்புகள்
bravery வீர
amount தொகையை
differences வேறுபாடு
document ஆவணம்
explains விளக்குகிறது
respectively முறையை
that அதனுடைய
as போக
cooperate கூடி
ruling ஆட்சியைப்
communication தொடர்பாடல்
change மாறுதல்
him அவரைக்
serving பணியாற்றிய
send அனுப்பப்
expired இறந்து
justice நீதியின்
made அமைந்தது
say கருதலாம்
start துவக்கம்
important பிரதானமாக
cycle சுழற்சியின்
handle கையாள
habits பழக்க
suffered பாதிக்கப்பட்ட
students மாணவர்கள்
details விஷயங்களை
ohm ஓம்
compositions கட்டுரைகளை
form அமைத்தல்
run ஓடு
get பெறப்படும்
procedure முறைக்கு
look பார்
strong வலு
provide வழங்க
padmanabhan பத்மநாதன்
paisa பைசா
solstice கதிர்த்திருப்பம்
climbed ஏறிய
duties பணிகளில்
wrote எழுதினார்
grow வளரும்
louisiana லூசியானா
spacetime காலவெளி
comfortable வசதியான
challenge சபதம்
comparing ஒப்பிடுகையில்
pollens மகரந்தச்
qualified தகுதி
nobody எவரும்
efforts முயற்சிகளை
network இணைய
advertisements விளம்பரங்கள்
square நாற்கரம்
two டை
movie சினிமா
guide வழிகாட்டி
episode காண்டம்
special சிறப்புத்
remaining எஞ்சிய
thoughtful கருதினர்
birds பறவை
integrated சங்கமம்
others பிறர்
june சூன்
rocks பாறைகள்
platform இயங்குதளம்
archeological தொல்பொருளியல்
workers தொழிலாளர்களின்
